industria_io,tipo,anno,K_inizio_2012,I_2012,D_2012,K_fine_2012,delta_annuo,altre_variazioni_2012,altre_variazioni_rel,K_inizio_corrente,I_corrente,D_corrente,K_fine_corrente,rivalutazioni_e_altre_variazioni_corrente
111CA,E,2008,191175.2844,32437.53684,27378.39848,196255.6559,0.1432109729,21.23310625,0.000111066168,171211,30009,25306,184470,8556
111CA,E,2009,196255.6559,31168.5178,27866.06321,199582.2092,0.1419885867,24.09877491,0.0001227927664,184470,29650,26478,189642,2000
111CA,E,2010,199582.2092,32159.91066,28330.59968,203426.9829,0.1419495244,15.46271102,7.747539764e-05,189642,30828,27158,196078,2766
111CA,E,2011,203426.9829,36562.64626,29206.80601,210815.1004,0.1435739035,32.2772551,0.0001586675211,196078,35925,28706,208803,5506
111CA,E,2012,210815.1004,46647,30931,226602,0.1467209888,70.89955683,0.0003363115672,208803,46648,30931,226602,2082
111CA,E,2013,226602,53931.29386,33594.01772,247042.3446,0.1482511969,103.0684175,0.0004548433709,226602,54325,33835,249857,2765
111CA,E,2014,247042.3446,56664.84737,36557.59513,267241.2247,0.1479810888,91.62786501,0.0003708994309,249857,57856,37313,272805,2405
111CA,E,2015,267241.2247,40058.88513,38183.68337,269134.9078,0.1428809624,18.4813358,6.915600624e-05,272805,41147,39184,275638,870
111CA,E,2016,269134.9078,30898.84307,37853.09189,262159.769,0.1406472769,-20.88991435,-7.761874715e-05,275638,31912,39013,270427,1890
111CA,E,2017,262159.769,32563.74674,37062.11418,257652.8048,0.1413722415,-8.596770539,-3.279210449e-05,270427,33929,38525,267878,2047
111CA,E,2018,257652.8048,32580.20833,36477.18601,253749.5329,0.1415749618,-6.294203752,-2.442901313e-05,267878,34370,38431,269576,5759
111CA,E,2019,253749.5329,35727.2649,36181.51597,253300.2826,0.1425875175,5.000700715,1.970723121e-05,269576,38184,38667,270423,1330
111CA,N,2008,52.73333333,33.48717949,32.5483871,50.85714286,0.6172260511,-2.814982867,-0.05338147029,59,39,38,59,-1
111CA,N,2009,50.85714286,36.84615385,33.87096774,53.25714286,0.6660021747,-0.5751861042,-0.01130983913,59,42,39,58,-4
111CA,N,2010,53.25714286,35.66666667,35.03225806,53.39047619,0.6577945452,-0.5010752688,-0.009408602151,58,37,38,56,-1
111CA,N,2011,53.39047619,41.38461538,37.35483871,56.86190476,0.699653597,-0.5583481035,-0.01045782213,56,43,39,59,-1
111CA,N,2012,56.86190476,53,41,67,0.7210451386,-1.861904762,-0.03274432627,59,53,41,67,-4
111CA,N,2013,67,58.8974359,48.96774194,77.07619048,0.7308618199,0.1464965142,0.002186515138,67,56,47,75,-1
