misura,industria_fa,industria_io,bene,anno,corrente,costo_fisso_2017,tipo,valore_2012,prezzo_non_base,serie_corrente,serie_costo_fisso
K,110C,111CA,EP1A,2008,2,2,E,2,False,K1N110C1EP1A.A,K2N110C1EP1A.A
K,110C,111CA,EP1B,2008,21,17,E,17,False,K1N110C1EP1B.A,K2N110C1EP1B.A
K,110C,111CA,EP1D,2008,3,3,E,6,False,K1N110C1EP1D.A,K2N110C1EP1D.A
K,110C,111CA,EP1E,2008,4,3,E,3,False,K1N110C1EP1E.A,K2N110C1EP1E.A
K,110C,111CA,EP1G,2008,5,4,E,4,False,K1N110C1EP1G.A,K2N110C1EP1G.A
K,110C,111CA,EP1H,2008,11,13,E,11.375,False,K1N110C1EP1H.A,K2N110C1EP1H.A
K,110C,111CA,EP20,2008,183,86,E,136.7710843,False,K1N110C1EP20.A,K2N110C1EP20.A
K,110C,111CA,EP34,2008,17,18,E,17.18181818,False,K1N110C1EP34.A,K2N110C1EP34.A
K,110C,111CA,EP36,2008,20426,22442,E,21496.26223,False,K1N110C1EP36.A,K2N110C1EP36.A
K,110C,111CA,EP31,2008,15,15,E,16.875,False,K1N110C1EP31.A,K2N110C1EP31.A
K,110C,111CA,EP12,2008,3,3,E,3,False,K1N110C1EP12.A,K2N110C1EP12.A
K,110C,111CA,EI12,2008,2696,2859,E,2894.606593,False,K1N110C1EI12.A,K2N110C1EI12.A
K,110C,111CA,EI22,2008,337,344,E,345.7461929,False,K1N110C1EI22.A,K2N110C1EI22.A
K,110C,111CA,EI30,2008,389,411,E,411,False,K1N110C1EI30.A,K2N110C1EI30.A
K,110C,111CA,EI50,2008,1778,1953,E,1908.968727,False,K1N110C1EI50.A,K2N110C1EI50.A
K,110C,111CA,EI60,2008,503,535,E,539.3762781,False,K1N110C1EI60.A,K2N110C1EI60.A
K,110C,111CA,ET11,2008,6386,7317,E,7078.749781,False,K1N110C1ET11.A,K2N110C1ET11.A
K,110C,111CA,ET12,2008,2720,3147,E,2963.66233,False,K1N110C1ET12.A,K2N110C1ET12.A
K,110C,111CA,ET20,2008,2724,2872,E,2917.876067,False,K1N110C1ET20.A,K2N110C1ET20.A
K,110C,111CA,EO12,2008,246,269,E,259.8813559,False,K1N110C1EO12.A,K2N110C1EO12.A
K,110C,111CA,EO30,2008,94118,105588,E,101247.674,False,K1N110C1EO30.A,K2N110C1EO30.A
K,110C,111CA,EO21,2008,32086,34538,E,33855.9555,False,K1N110C1EO21.A,K2N110C1EO21.A
K,110C,111CA,EO40,2008,383,429,E,424.9655172,False,K1N110C1EO40.A,K2N110C1EO40.A
K,110C,111CA,EO22,2008,34,38,E,36.19047619,False,K1N110C1EO22.A,K2N110C1EO22.A
K,110C,111CA,EO60,2008,197,214,E,206.2533937,False,K1N110C1EO60.A,K2N110C1EO60.A
K,110C,111CA,EO72,2008,25,27,E,27,False,K1N110C1EO72.A,K2N110C1EO72.A
K,110C,111CA,EO80,2008,19158,19875,E,19424.28449,False,K1N110C1EO80.A,K2N110C1EO80.A
K,110C,111CA,SU60,2008,2724,3166,S,3101.091369,False,K1N110C1SU60.A,K2N110C1SU60.A
K,110C,111CA,SN00,2008,259234,304129,S,247310.2018,False,K1N110C1SN00.A,K2N110C1SN00.A
K,110C,111CA,ENS1,2008,42,30,N,34,False,K1N110C1ENS1.A,K2N110C1ENS1.A
K,110C,111CA,ENS2,2008,13,12,N,12.85714286,False,K1N110C1ENS2.A,K2N110C1ENS2.A
K,110C,111CA,ENS3,2008,4,4,N,4,False,K1N110C1ENS3.A,K2N110C1ENS3.A
K,113F,113FF,EP1A,2008,7,6,E,6,False,K1N113F1EP1A.A,K2N113F1EP1A.A
K,113F,113FF,EP1B,2008,78,61,E,64.53623188,False,K1N113F1EP1B.A,K2N113F1EP1B.A
K,113F,113FF,EP1D,2008,38,33,E,36.3,False,K1N113F1EP1D.A,K2N113F1EP1D.A
K,113F,113FF,EP1E,2008,28,23,E,25.09090909,False,K1N113F1EP1E.A,K2N113F1EP1E.A
K,113F,113FF,EP1G,2008,22,17,E,18.0625,False,K1N113F1EP1G.A,K2N113F1EP1G.A
K,113F,113FF,EP1H,2008,70,81,E,73.09756098,False,K1N113F1EP1H.A,K2N113F1EP1H.A
K,113F,113FF,EP20,2008,368,174,E,274.9350649,False,K1N113F1EP20.A,K2N113F1EP20.A
K,113F,113FF,EP34,2008,34,36,E,34.61538462,False,K1N113F1EP34.A,K2N113F1EP34.A
K,113F,113FF,EP35,2008,32,23,E,27.92857143,False,K1N113F1EP35.A,K2N113F1EP35.A
K,113F,113FF,EP36,2008,751,826,E,791.2279587,False,K1N113F1EP36.A,K2N113F1EP36.A
K,113F,113FF,EP31,2008,2,2,E,2,False,K1N113F1EP31.A,K2N113F1EP31.A
K,113F,113FF,EP12,2008,8,8,E,8,False,K1N113F1EP12.A,K2N113F1EP12.A
K,113F,113FF,EI12,2008,397,421,E,426.1466993,False,K1N113F1EI12.A,K2N113F1EI12.A
K,113F,113FF,EI22,2008,64,66,E,66,False,K1N113F1EI22.A,K2N113F1EI22.A
K,113F,113FF,EI30,2008,16,17,E,17,False,K1N113F1EI30.A,K2N113F1EI30.A
K,113F,113FF,EI40,2008,264,279,E,278.0761589,False,K1N113F1EI40.A,K2N113F1EI40.A
K,113F,113FF,EI50,2008,2736,3004,E,2936.183946,False,K1N113F1EI50.A,K2N113F1EI50.A
K,113F,113FF,EI60,2008,183,195,E,196.1746988,False,K1N113F1EI60.A,K2N113F1EI60.A
K,113F,113FF,ET11,2008,570,653,E,631.9677914,False,K1N113F1ET11.A,K2N113F1ET11.A
K,113F,113FF,ET12,2008,895,1035,E,975.3649168,False,K1N113F1ET12.A,K2N113F1ET12.A
K,113F,113FF,ET20,2008,183,193,E,195.895,False,K1N113F1ET20.A,K2N113F1ET20.A
K,113F,113FF,ET30,2008,404,457,E,428.1474614,False,K1N113F1ET30.A,K2N113F1ET30.A
K,113F,113FF,ET40,2008,2171,2413,E,2303.209693,False,K1N113F1ET40.A,K2N113F1ET40.A
K,113F,113FF,EO12,2008,506,552,E,531.2258065,False,K1N113F1EO12.A,K2N113F1EO12.A
K,113F,113FF,EO30,2008,11343,12725,E,12202.17031,False,K1N113F1EO30.A,K2N113F1EO30.A
K,113F,113FF,EO21,2008,1061,1142,E,1119.722793,False,K1N113F1EO21.A,K2N113F1EO21.A
K,113F,113FF,EO40,2008,4112,4596,E,4556.258393,False,K1N113F1EO40.A,K2N113F1EO40.A
K,113F,113FF,EO22,2008,209,232,E,220.5816555,False,K1N113F1EO22.A,K2N113F1EO22.A
K,113F,113FF,EO50,2008,1,1,E,1,False,K1N113F1EO50.A,K2N113F1EO50.A
K,113F,113FF,EO60,2008,97,105,E,100.8,False,K1N113F1EO60.A,K2N113F1EO60.A
K,113F,113FF,EO72,2008,31,33,E,31.26315789,False,K1N113F1EO72.A,K2N113F1EO72.A
K,113F,113FF,EO80,2008,1627,1688,E,1649.93299,False,K1N113F1EO80.A,K2N113F1EO80.A
K,113F,113FF,SOO1,2008,4074,4544,S,4107.440185,False,K1N113F1SOO1.A,K2N113F1SOO1.A
K,113F,113FF,SB32,2008,2,2,S,2,False,K1N113F1SB32.A,K2N113F1SB32.A
K,113F,113FF,SC01,2008,2654,3005,S,2710.719802,False,K1N113F1SC01.A,K2N113F1SC01.A
K,113F,113FF,SOMO,2008,394,496,S,445.1902439,False,K1N113F1SOMO.A,K2N113F1SOMO.A
K,113F,113FF,SC02,2008,615,695,S,628.1584699,False,K1N113F1SC02.A,K2N113F1SC02.A
K,113F,113FF,SI00,2008,723,796,S,720.4281236,False,K1N113F1SI00.A,K2N113F1SI00.A
K,113F,113FF,SU30,2008,13,16,S,13.86666667,False,K1N113F1SU30.A,K2N113F1SU30.A
K,113F,113FF,SU60,2008,147,171,S,167.8186047,False,K1N113F1SU60.A,K2N113F1SU60.A
K,113F,113FF,SU50,2008,1,1,S,1,False,K1N113F1SU50.A,K2N113F1SU50.A
K,113F,113FF,SB45,2008,184,218,S,177.2626263,False,K1N113F1SB45.A,K2N113F1SB45.A
K,113F,113FF,SB46,2008,650,764,S,620.1369472,False,K1N113F1SB46.A,K2N113F1SB46.A
K,113F,113FF,SN00,2008,40,47,S,38.31521739,False,K1N113F1SN00.A,K2N113F1SN00.A
K,113F,113FF,SO01,2008,1519,1859,S,1678.355124,False,K1N113F1SO01.A,K2N113F1SO01.A
K,113F,113FF,SO02,2008,682,820,S,741.1748999,False,K1N113F1SO02.A,K2N113F1SO02.A
K,113F,113FF,SO03,2008,2188,2556,S,2078.938356,False,K1N113F1SO03.A,K2N113F1SO03.A
K,113F,113FF,SO04,2008,3313,3622,S,3719.066546,False,K1N113F1SO04.A,K2N113F1SO04.A
K,113F,113FF,ENS1,2008,126,90,N,102.65625,False,K1N113F1ENS1.A,K2N113F1ENS1.A
K,113F,113FF,ENS2,2008,53,51,N,52.10869565,False,K1N113F1ENS2.A,K2N113F1ENS2.A
K,2110,211,EP1A,2008,75,57,E,59.42553191,False,K1N21101EP1A.A,K2N21101EP1A.A
K,2110,211,EP1B,2008,515,401,E,423.6981132,False,K1N21101EP1B.A,K2N21101EP1B.A
K,2110,211,EP1D,2008,89,77,E,83.16,False,K1N21101EP1D.A,K2N21101EP1D.A
K,2110,211,EP1E,2008,100,85,E,91.96721311,False,K1N21101EP1E.A,K2N21101EP1E.A
K,2110,211,EP1G,2008,87,67,E,71.78571429,False,K1N21101EP1G.A,K2N21101EP1G.A
K,2110,211,EP1H,2008,241,278,E,253.1044776,False,K1N21101EP1H.A,K2N21101EP1H.A
K,2110,211,EP20,2008,1433,678,E,1068.648199,False,K1N21101EP20.A,K2N21101EP20.A
K,2110,211,EP35,2008,6,4,E,5,False,K1N21101EP35.A,K2N21101EP35.A
K,2110,211,EP36,2008,1360,1494,E,1430.454299,False,K1N21101EP36.A,K2N21101EP36.A
K,2110,211,EP31,2008,165,164,E,168.0745342,False,K1N21101EP31.A,K2N21101EP31.A
K,2110,211,EP12,2008,11,11,E,11,False,K1N21101EP12.A,K2N21101EP12.A
K,2110,211,EI12,2008,1380,1464,E,1480.957529,False,K1N21101EI12.A,K2N21101EI12.A
K,2110,211,EI22,2008,181,185,E,187.2289157,False,K1N21101EI22.A,K2N21101EI22.A
K,2110,211,EI30,2008,506,535,E,535,False,K1N21101EI30.A,K2N21101EI30.A
K,2110,211,EI50,2008,2499,2744,E,2681.191439,False,K1N21101EI50.A,K2N21101EI50.A
K,2110,211,EI60,2008,1594,1696,E,1708.263196,False,K1N21101EI60.A,K2N21101EI60.A
K,2110,211,ET11,2008,471,540,E,522.2173436,False,K1N21101ET11.A,K2N21101ET11.A
K,2110,211,ET12,2008,258,298,E,281.2112676,False,K1N21101ET12.A,K2N21101ET12.A
K,2110,211,ET20,2008,420,443,E,450.2622951,False,K1N21101ET20.A,K2N21101ET20.A
K,2110,211,ET30,2008,1397,1581,E,1481.268924,False,K1N21101ET30.A,K2N21101ET30.A
K,2110,211,ET40,2008,11787,13105,E,12504.73561,False,K1N21101ET40.A,K2N21101ET40.A
K,2110,211,EO12,2008,957,1045,E,1004.564692,False,K1N21101EO12.A,K2N21101EO12.A
K,2110,211,EO21,2008,36,39,E,37.74193548,False,K1N21101EO21.A,K2N21101EO21.A
K,2110,211,EO40,2008,519,580,E,575.0143266,False,K1N21101EO40.A,K2N21101EO40.A
K,2110,211,EO22,2008,29,32,E,30.31578947,False,K1N21101EO22.A,K2N21101EO22.A
K,2110,211,EO50,2008,20138,20980,E,21038.81378,False,K1N21101EO50.A,K2N21101EO50.A
K,2110,211,EO60,2008,132,144,E,139.4042553,False,K1N21101EO60.A,K2N21101EO60.A
K,2110,211,EO72,2008,139,146,E,142.4819277,False,K1N21101EO72.A,K2N21101EO72.A
K,2110,211,EO80,2008,1090,1131,E,1105.446955,False,K1N21101EO80.A,K2N21101EO80.A
K,2110,211,SOO1,2008,13885,15487,S,13997.28271,False,K1N21101SOO1.A,K2N21101SOO1.A
K,2110,211,SC01,2008,46,52,S,46.90196078,False,K1N21101SC01.A,K2N21101SC01.A
K,2110,211,SOMO,2008,524,660,S,591.8949343,False,K1N21101SOMO.A,K2N21101SOMO.A
K,2110,211,SC02,2008,53,60,S,54.92957746,False,K1N21101SC02.A,K2N21101SC02.A
K,2110,211,SI00,2008,81120,89347,S,80835.51189,False,K1N21101SI00.A,K2N21101SI00.A
K,2110,211,SU30,2008,2903,3467,S,3154.100836,False,K1N21101SU30.A,K2N21101SU30.A
K,2110,211,SU40,2008,20832,24215,S,23718.89892,False,K1N21101SU40.A,K2N21101SU40.A
K,2110,211,SU50,2008,8415,9781,S,9580.276231,False,K1N21101SU50.A,K2N21101SU50.A
K,2110,211,SM01,2008,1216757,1450751,S,1311874.414,False,K1N21101SM01.A,K2N21101SM01.A
K,2110,211,SM02,2008,6126,7191,S,5846.248811,False,K1N21101SM02.A,K2N21101SM02.A
K,2110,211,SB42,2008,97,114,S,92.68292683,False,K1N21101SB42.A,K2N21101SB42.A
K,2110,211,SO01,2008,332,406,S,366.1538462,False,K1N21101SO01.A,K2N21101SO01.A
K,2110,211,SO02,2008,133,160,S,144.7619048,False,K1N21101SO02.A,K2N21101SO02.A
K,2110,211,SO03,2008,1027,1200,S,976.0714286,False,K1N21101SO03.A,K2N21101SO03.A
K,2110,211,SO04,2008,716,783,S,803.806993,False,K1N21101SO04.A,K2N21101SO04.A
K,2110,211,ENS1,2008,1169,835,N,952.5185185,False,K1N21101ENS1.A,K2N21101ENS1.A
K,2110,211,ENS2,2008,413,401,N,407.4074567,False,K1N21101ENS2.A,K2N21101ENS2.A
K,2110,211,ENS3,2008,139,135,N,137.0300752,False,K1N21101ENS3.A,K2N21101ENS3.A
K,2110,211,RD80,2008,6261,7224,N,6742.15983,False,K1N21101RD80.A,K2N21101RD80.A
K,2120,212,EP1A,2008,14,10,E,10.46511628,False,K1N21201EP1A.A,K2N21201EP1A.A
K,2120,212,EP1B,2008,100,78,E,82.31921824,False,K1N21201EP1B.A,K2N21201EP1B.A
K,2120,212,EP1D,2008,20,17,E,18.17241379,False,K1N21201EP1D.A,K2N21201EP1D.A
K,2120,212,EP1E,2008,21,18,E,19.55172414,False,K1N21201EP1E.A,K2N21201EP1E.A
K,2120,212,EP1G,2008,18,14,E,15.19148936,False,K1N21201EP1G.A,K2N21201EP1G.A
K,2120,212,EP1H,2008,42,49,E,44.72674419,False,K1N21201EP1H.A,K2N21201EP1H.A
K,2120,212,EP20,2008,306,145,E,228.7403101,False,K1N21201EP20.A,K2N21201EP20.A
K,2120,212,EP35,2008,13,9,E,11.04545455,False,K1N21201EP35.A,K2N21201EP35.A
K,2120,212,EP36,2008,950,1044,E,999.4629862,False,K1N21201EP36.A,K2N21201EP36.A
K,2120,212,EP31,2008,36,35,E,36.45833333,False,K1N21201EP31.A,K2N21201EP31.A
K,2120,212,EI12,2008,1639,1738,E,1758.993007,False,K1N21201EI12.A,K2N21201EI12.A
K,2120,212,EI21,2008,296,297,E,305.5909091,False,K1N21201EI21.A,K2N21201EI21.A
K,2120,212,EI22,2008,106,108,E,108,False,K1N21201EI22.A,K2N21201EI22.A
K,2120,212,EI30,2008,371,392,E,390.721044,False,K1N21201EI30.A,K2N21201EI30.A
K,2120,212,EI40,2008,51,54,E,54,False,K1N21201EI40.A,K2N21201EI40.A
K,2120,212,EI50,2008,7763,8525,E,8331.009516,False,K1N21201EI50.A,K2N21201EI50.A
K,2120,212,EI60,2008,1403,1493,E,1504.60636,False,K1N21201EI60.A,K2N21201EI60.A
K,2120,212,ET11,2008,436,499,E,482.7987013,False,K1N21201ET11.A,K2N21201ET11.A
K,2120,212,ET12,2008,1054,1220,E,1148.622862,False,K1N21201ET12.A,K2N21201ET12.A
K,2120,212,ET20,2008,322,340,E,345.7627119,False,K1N21201ET20.A,K2N21201ET20.A
K,2120,212,ET30,2008,117,133,E,125.1764706,False,K1N21201ET30.A,K2N21201ET30.A
K,2120,212,ET40,2008,42,47,E,44.94375,False,K1N21201ET40.A,K2N21201ET40.A
K,2120,212,ET50,2008,502,554,E,526.6726457,False,K1N21201ET50.A,K2N21201ET50.A
K,2120,212,EO12,2008,316,345,E,331.9318182,False,K1N21201EO12.A,K2N21201EO12.A
K,2120,212,EO21,2008,21,23,E,22.17857143,False,K1N21201EO21.A,K2N21201EO21.A
K,2120,212,EO40,2008,9899,11065,E,10968.94965,False,K1N21201EO40.A,K2N21201EO40.A
K,2120,212,EO22,2008,562,626,E,594.4469805,False,K1N21201EO22.A,K2N21201EO22.A
K,2120,212,EO50,2008,6808,7093,E,7113.077488,False,K1N21201EO50.A,K2N21201EO50.A
K,2120,212,EO60,2008,328,356,E,343.2857143,False,K1N21201EO60.A,K2N21201EO60.A
K,2120,212,EO72,2008,208,220,E,216.48,False,K1N21201EO72.A,K2N21201EO72.A
K,2120,212,EO80,2008,2684,2784,E,2720.916631,False,K1N21201EO80.A,K2N21201EO80.A
K,2120,212,SOO1,2008,2779,3100,S,2802.242303,False,K1N21201SOO1.A,K2N21201SOO1.A
K,2120,212,SC01,2008,167,189,S,170.1,False,K1N21201SC01.A,K2N21201SC01.A
K,2120,212,SOMO,2008,599,754,S,675.7429984,False,K1N21201SOMO.A,K2N21201SOMO.A
K,2120,212,SC02,2008,168,190,S,171.6477273,False,K1N21201SC02.A,K2N21201SC02.A
K,2120,212,SI00,2008,22110,24353,S,22033.44909,False,K1N21201SI00.A,K2N21201SI00.A
K,2120,212,SU30,2008,875,1045,S,950.9956332,False,K1N21201SU30.A,K2N21201SU30.A
K,2120,212,SU40,2008,943,1097,S,1074.181048,False,K1N21201SU40.A,K2N21201SU40.A
K,2120,212,SU50,2008,306,355,S,347.2211155,False,K1N21201SU50.A,K2N21201SU50.A
K,2120,212,SM02,2008,66014,77490,S,63000.51164,False,K1N21201SM02.A,K2N21201SM02.A
K,2120,212,SB43,2008,2,2,S,1.5,False,K1N21201SB43.A,K2N21201SB43.A
K,2120,212,SU12,2008,1,1,S,1,False,K1N21201SU12.A,K2N21201SU12.A
K,2120,212,SB46,2008,15,17,S,13.76190476,False,K1N21201SB46.A,K2N21201SB46.A
K,2120,212,SO01,2008,1279,1565,S,1413.090084,False,K1N21201SO01.A,K2N21201SO01.A
K,2120,212,SO02,2008,128,154,S,139.2866242,False,K1N21201SO02.A,K2N21201SO02.A
K,2120,212,SO03,2008,988,1154,S,939.1024209,False,K1N21201SO03.A,K2N21201SO03.A
K,2120,212,SO04,2008,917,1003,S,1029.366982,False,K1N21201SO04.A,K2N21201SO04.A
K,2120,212,ENS1,2008,128,92,N,104.794702,False,K1N21201ENS1.A,K2N21201ENS1.A
K,2120,212,ENS2,2008,77,75,N,75.88235294,False,K1N21201ENS2.A,K2N21201ENS2.A
K,2120,212,ENS3,2008,12,11,N,11,False,K1N21201ENS3.A,K2N21201ENS3.A
K,2120,212,RD80,2008,1089,1257,N,1172.808411,False,K1N21201RD80.A,K2N21201RD80.A
K,2130,213,EP1A,2008,31,24,E,25.18032787,False,K1N21301EP1A.A,K2N21301EP1A.A
K,2130,213,EP1B,2008,191,149,E,157.4180791,False,K1N21301EP1B.A,K2N21301EP1B.A
K,2130,213,EP1D,2008,34,29,E,31.37704918,False,K1N21301EP1D.A,K2N21301EP1D.A
K,2130,213,EP1E,2008,36,31,E,34,False,K1N21301EP1E.A,K2N21301EP1E.A
K,2130,213,EP1G,2008,38,29,E,30.87096774,False,K1N21301EP1G.A,K2N21301EP1G.A
K,2130,213,EP1H,2008,92,107,E,97.73593074,False,K1N21301EP1H.A,K2N21301EP1H.A
K,2130,213,EP20,2008,1708,808,E,1274.578588,False,K1N21301EP20.A,K2N21301EP20.A
K,2130,213,EP35,2008,41,29,E,34.5,False,K1N21301EP35.A,K2N21301EP35.A
K,2130,213,EP36,2008,1087,1194,E,1143.255,False,K1N21301EP36.A,K2N21301EP36.A
K,2130,213,EP31,2008,63,62,E,63.63157895,False,K1N21301EP31.A,K2N21301EP31.A
K,2130,213,EP12,2008,12,13,E,13,False,K1N21301EP12.A,K2N21301EP12.A
K,2130,213,EI12,2008,1761,1868,E,1890.326693,False,K1N21301EI12.A,K2N21301EI12.A
K,2130,213,EI22,2008,85,87,E,87,False,K1N21301EI22.A,K2N21301EI22.A
K,2130,213,EI30,2008,374,395,E,395,False,K1N21301EI30.A,K2N21301EI30.A
K,2130,213,EI50,2008,6024,6615,E,6464.781022,False,K1N21301EI50.A,K2N21301EI50.A
K,2130,213,EI60,2008,3965,4218,E,4249.31071,False,K1N21301EI60.A,K2N21301EI60.A
K,2130,213,ET11,2008,1296,1485,E,1436.4,False,K1N21301ET11.A,K2N21301ET11.A
K,2130,213,ET12,2008,1651,1911,E,1799.862494,False,K1N21301ET12.A,K2N21301ET12.A
K,2130,213,ET20,2008,469,494,E,501.6146435,False,K1N21301ET20.A,K2N21301ET20.A
K,2130,213,ET30,2008,218,247,E,230.7142857,False,K1N21301ET30.A,K2N21301ET30.A
K,2130,213,ET40,2008,12969,14418,E,13757.69065,False,K1N21301ET40.A,K2N21301ET40.A
K,2130,213,EO12,2008,747,816,E,784.9769585,False,K1N21301EO12.A,K2N21301EO12.A
K,2130,213,EO21,2008,3,3,E,2,False,K1N21301EO21.A,K2N21301EO21.A
K,2130,213,EO40,2008,2376,2656,E,2633.134986,False,K1N21301EO40.A,K2N21301EO40.A
K,2130,213,EO22,2008,167,186,E,176.8823529,False,K1N21301EO22.A,K2N21301EO22.A
K,2130,213,EO50,2008,15711,16368,E,16414.32578,False,K1N21301EO50.A,K2N21301EO50.A
K,2130,213,EO60,2008,254,275,E,265.6143345,False,K1N21301EO60.A,K2N21301EO60.A
K,2130,213,EO72,2008,37,39,E,39,False,K1N21301EO72.A,K2N21301EO72.A
K,2130,213,EO80,2008,2550,2645,E,2585.089157,False,K1N21301EO80.A,K2N21301EO80.A
K,2130,213,SOO1,2008,4158,4638,S,4191.958296,False,K1N21301SOO1.A,K2N21301SOO1.A
