serie_g17,industrie_io,metodo_capacita_fed,anno,capacita_perc_produzione_2017,utilizzo_percento,produzione_approssimata_perc_2017
G321,321,indagine+capitale,1997,134.794025,80.95088333,109.1169539
G321,321,indagine+capitale,1998,140.6425833,80.98263333,113.8960676
G321,321,indagine+capitale,1999,145.0659917,81.39751667,118.0801147
G321,321,indagine+capitale,2000,149.016975,78.13314167,116.4316442
G321,321,indagine+capitale,2001,150.9025333,72.32590833,109.1416279
G321,321,indagine+capitale,2002,151.6839917,75.07271667,113.8732933
G321,321,indagine+capitale,2003,149.311125,76.157175,113.7111348
G321,321,indagine+capitale,2004,147.3613083,79.15780833,116.647982
G321,321,indagine+capitale,2005,153.902875,80.80509167,124.3613592
G321,321,indagine+capitale,2006,161.0671083,77.88155833,125.4415739
G321,321,indagine+capitale,2007,160.7828917,72.95760833,117.3033524
G321,321,indagine+capitale,2008,158.6580083,63.14515833,100.1848506
G321,321,indagine+capitale,2009,152.132525,50.35948333,76.61315357
G321,321,indagine+capitale,2010,141.506525,56.05920833,79.32743766
G321,321,indagine+capitale,2011,131.5887583,60.48550833,79.59212939
G321,321,indagine+capitale,2012,125.83265,66.84085,84.10761284
G321,321,indagine+capitale,2013,124.7385833,71.49995833,89.18803511
G321,321,indagine+capitale,2014,128.2461667,71.43511667,91.61279878
G321,321,indagine+capitale,2015,129.2362083,73.81276667,95.39282091
G321,321,indagine+capitale,2016,129.3551833,76.40136667,98.82912792
G321,321,indagine+capitale,2017,128.50935,77.82493333,100.012316
G321,321,indagine+capitale,2018,124.984875,80.7836,100.9672815
G321,321,indagine+capitale,2019,122.7330583,78.89104167,96.82538819
G327,327,indagine+capitale,1997,134.1825833,84.227725,113.0189373
G327,327,indagine+capitale,1998,140.1730667,84.701625,118.7288653
G327,327,indagine+capitale,1999,144.9834417,82.62891667,119.7982472
G327,327,indagine+capitale,2000,149.6925167,80.090425,119.8893728
G327,327,indagine+capitale,2001,153.3760583,75.24231667,115.4036995
G327,327,indagine+capitale,2002,154.9796,74.50065833,115.4608223
G327,327,indagine+capitale,2003,156.7399833,74.350875,116.5375491
G327,327,indagine+capitale,2004,160.8596333,74.64686667,120.076676
G327,327,indagine+capitale,2005,166.5054417,75.17459167,125.1697859
G327,327,indagine+capitale,2006,173.7830833,73.39575833,127.5494119
G327,327,indagine+capitale,2007,184.080275,68.51620833,126.1248247
G327,327,indagine+capitale,2008,188.57275,59.097575,111.4419224
G327,327,indagine+capitale,2009,185.0844083,45.35553333,83.94602052
G327,327,indagine+capitale,2010,177.7370833,48.71594167,86.58629384
G327,327,indagine+capitale,2011,171.2323,51.386925,87.99101358
G327,327,indagine+capitale,2012,167.666425,53.8483,90.28551953
G327,327,indagine+capitale,2013,162.2331917,58.54721667,94.98301823
G327,327,indagine+capitale,2014,156.3220667,63.00815,98.49564225
G327,327,indagine+capitale,2015,150.15665,66.04788333,99.17528901
G327,327,indagine+capitale,2016,148.9459167,67.47775,100.5053533
G327,327,indagine+capitale,2017,147.73105,67.69320833,100.0038874
G327,327,indagine+capitale,2018,142.987475,70.204025,100.3829627
G327,327,indagine+capitale,2019,137.6143167,73.24569167,100.7965581
G331,331,fisico,1997,130.882625,89.274025,116.8441874
G331,331,fisico,1998,136.7032083,86.970475,118.8914296
G331,331,fisico,1999,138.0661667,85.96011667,118.6818379
G331,331,fisico,2000,138.7968583,82.55555,114.5845098
G331,331,fisico,2001,141.8623917,73.436575,104.1788817
G331,331,fisico,2002,136.32045,76.5242,104.3181338
G331,331,fisico,2003,135.1996167,75.69001667,102.3326124
G331,331,fisico,2004,133.6421417,83.19178333,111.1792809
