industria_io,nome,settore,industrie_fixed_assets,capitale_nel_modello,vincolo_di_capacita,serie_g17,metodo_capacita_fed,gruppo_klems,riga_fte_nipa_6_5D,comparto_scorte
111CA,Farms,privato,110C,"E,S,N",si,,,111CA,5,Agricoltura
113FF,"Forestry, fishing, and related activities",privato,113F,"E,S,N",si,,,113FF,6,Altre industrie
211,Oil and gas extraction,privato,2110,"E,S,N",si,G21,fisico,211,8,"Estrattivo, utility, costruzioni"
212,"Mining, except oil and gas",privato,2120,"E,S,N",si,G21,fisico,212,9,"Estrattivo, utility, costruzioni"
213,Support activities for mining,privato,2130,"E,S,N",si,G21,fisico,213,10,"Estrattivo, utility, costruzioni"
22,Utilities,privato,2211;2212;2213,"E,S,N",si,G2211A2,fisico,22,11,"Estrattivo, utility, costruzioni"
23,Construction,privato,2300,"E,S,N",si,,,23,12,"Estrattivo, utility, costruzioni"
321,Wood products,privato,3210,"E,S,N",si,G321,indagine+capitale,321,15,Manifattura durevole
327,Nonmetallic mineral products,privato,3270,"E,S,N",si,G327,indagine+capitale,327,16,Manifattura durevole
331,Primary metals,privato,3310,"E,S,N",si,G331,fisico,331,17,Manifattura durevole
332,Fabricated metal products,privato,3320,"E,S,N",si,G332,indagine+capitale,332,18,Manifattura durevole
333,Machinery,privato,3330,"E,S,N",si,G333,indagine+capitale,333,19,Manifattura durevole
334,Computer and electronic products,privato,3340,"E,S,N",si,G334,indagine+capitale,334,20,Manifattura durevole
335,"Electrical equipment, appliances, and components",privato,3350,"E,S,N",si,G335,indagine+capitale,335,21,Manifattura durevole
3361MV,"Motor vehicles, bodies and trailers, and parts",privato,336M,"E,S,N",si,G3361T3,fisico,3361MV,22,Manifattura durevole
3364OT,Other transportation equipment,privato,336O,"E,S,N",si,G3364T9,indagine+capitale,3364OT,23,Manifattura durevole
337,Furniture and related products,privato,3370,"E,S,N",si,G337,indagine+capitale,337,24,Manifattura durevole
339,Miscellaneous manufacturing,privato,3380;3390,"E,S,N",si,G339,indagine+capitale,339,25,Manifattura durevole
311FT,Food and beverage and tobacco products,privato,3110;3120,"E,S,N",si,G311A2,indagine+capitale,311FT,27,Manifattura non durevole
313TT,Textile mills and textile product mills,privato,313T,"E,S,N",si,G313A4,indagine+capitale,313TT,28,Manifattura non durevole
315AL,Apparel and leather and allied products,privato,315A,"E,S,N",si,G315A6,indagine+capitale,315AL,29,Manifattura non durevole
