industria_io,anno,x_corrente_use,x_corrente_make,indice_prezzo_2012,x_2012,fte_migliaia
111CA,2008,327859,327859,0.8348650878,392093.5645,627
113FF,2008,44786,44785,0.9129302145,49034.30677,460
211,2008,388369,388370,1.475953796,287554.6479,159
212,2008,116163,116164,0.8330227734,136592.871,223
213,2008,110034,110035,0.9353359536,117297.7081,326
22,2008,524903,524903,1.067664212,492440.247,554
23,2008,1275759,1275759,0.9548187655,1336109.107,7111
321,2008,88840,88841,0.9665577618,92003.31798,444
327,2008,114425,114425,0.9519475289,120395.0625,456
331,2008,280348,280349,1.013846557,277634.7031,436
332,2008,357756,357757,0.9468102547,377949.3757,1505
333,2008,353921,353923,0.9292995865,380335.6718,1168
334,2008,423151,423151,1.131590215,384073.9608,1227
335,2008,126914,126916,0.9246866518,136783.4636,414
3361MV,2008,425090,425090,0.9484114174,448203.8143,866
3364OT,2008,269278,269279,0.9385580667,286154.7541,724
337,2008,76947,76946,0.9301207907,82737.45207,469
339,2008,169707,169708,0.9426073578,179854.498,613
311FT,2008,778637,778639,0.8648497721,899655.9063,1615
313TT,2008,56513,56514,0.8868608678,63624.22544,293
315AL,2008,26695,26695,0.9311554021,28762.57125,225
322,2008,177373,177372,0.9256832467,191585.6733,430
323,2008,99163,99164,0.9823478936,101892.1725,577
324,2008,733552,733554,0.8895731729,824761.1493,115
325,2008,735751,735749,0.8828336509,828898.3224,837
326,2008,198939,198939,0.8976530067,221116.7369,716
42,2008,1327139,1327140,0.8961069418,1477042.944,5783
441,2008,184496,184497,0.9213380747,200488.2345,1607
445,2008,194115,194114,0.9188984423,211888.4297,2515
452,2008,200669,200670,0.9248421222,217199.1994,2650
4A0,2008,697997,697996,0.9609387524,728177.2198,6649
481,2008,170930,170930,0.9035649263,189103.9668,466
482,2008,68392,68392,0.8906022153,76662.47451,189
483,2008,50679,50680,1.061235289,48047.59143,64
484,2008,283669,283670,0.9394120311,301701.4828,1350
485,2008,45047,45046,0.8523087308,52833.82166,409
486,2008,31245,31245,0.8786163594,35434.16404,39
487OS,2008,177776,177775,0.8826566176,200977.6968,1143
493,2008,76898,76898,1.050371046,73400.39689,639
511,2008,312912,312913,1.042826945,308737.2329,807
512,2008,131084,131084,1.026282202,127801.4009,328
513,2008,672760,672760,1.011313855,671426.2822,1299
514,2008,138181,138182,0.9943681454,139706.5607,366
521CI,2008,700968,700970,1.025075305,692941.3785,2660
523,2008,457332,457334,0.917575651,496634.6735,886
524,2008,715930,715930,0.9449716976,757480.8331,2262
525,2008,118349,118349,0.9225907809,128267.4255,7
HS,2008,1593858,1593857,0.9496522142,1678219.852,
ORE,2008,813980,813979,1.012225778,804216.8407,1399
532RL,2008,289535,289535,0.9459846841,306045.5749,596
5411,2008,292117,292118,0.9026983403,323555.2005,1119
5415,2008,281939,281940,1.042059008,273557.9291,1374
5412OP,2008,1050187,1050188,0.9552469465,1098725.076,5022
55,2008,432624,432623,0.9577940463,451049.891,1821
561,2008,602714,602714,0.9694621596,621394.7324,7087
562,2008,79533,79534,0.9138332763,86897.3973,349
61,2008,257298,257296,0.9085511879,280636.4088,2773
621,2008,745734,745733,0.9322896648,799539.1615,5116
622,2008,569355,569356,0.9254399272,614776.8079,4347
623,2008,181439,181438,0.9247679209,196186.9033,2741
624,2008,145407,145406,0.9286152473,156577.1074,2219
711AS,2008,131788,131786,0.9441582015,139603.014,458
713,2008,115811,115810,0.937036187,124075.2423,1199
721,2008,198026,198025,0.9591014146,209287.347,1730
722,2008,532912,532915,0.9062134975,587870.7189,7628
81,2008,550403,550403,0.9131001137,602419.4169,5972
GFGD,2008,606076,606075,0.9451811075,640842.9905,1566
GFGN,2008,316550,316550,0.9288669221,340072.3622,1959
GFE,2008,102573,102573,0.9175816685,109459.0249,759
GSLG,2008,1857129,1857130,0.9201676123,2014029.406,15159
GSLE,2008,240504,240504,0.9030874881,247978.2148,1128
111CA,2009,297681,297681,0.7243262805,409424.3147,634
113FF,2009,41297,41297,0.8769997406,47051.69185,426
211,2009,227567,227568,0.7955227738,292254.0595,158
212,2009,104941,104940,0.8425231543,122795.371,204
213,2009,72385,72384,0.8883066109,81206.39104,268
22,2009,436524,436525,1.000702397,436743.8523,555
23,2009,1098747,1098747,0.947990624,1159009.331,5856
321,2009,65869,65871,0.9159399949,71842.64542,347
327,2009,90035,90034,0.9699556988,93085.96326,377
331,2009,167211,167213,0.8181316644,204141.1412,353
332,2009,280361,280360,0.9470049388,296354.2727,1273
333,2009,285342,285341,0.9522073284,299552.2483,999
334,2009,350204,350205,1.078617172,330884.4557,1117
335,2009,102766,102768,0.932739901,109808.5341,364
3361MV,2009,343186,343187,0.9582105406,358368.9338,658
3364OT,2009,248147,248147,0.9527149992,260012.3858,671
337,2009,59639,59638,0.9556352995,62493.11386,371
339,2009,161342,161343,0.9520047403,169111.3305,561
311FT,2009,772430,772430,0.8510984135,906347.4254,1578
313TT,2009,46382,46382,0.8964453045,51829.79868,240
315AL,2009,24387,24387,0.946713563,25791.61877,189
322,2009,160567,160569,0.9275934562,173094.2317,393
323,2009,84041,84040,0.9804171945,86268.90229,506
324,2009,482433,482432,0.5859765287,803982.7654,113
325,2009,621358,621358,0.8410809185,730455.8619,786
326,2009,167833,167832,0.8915389042,187708.8916,614
42,2009,1154926,1154927,0.9401010575,1227984.384,5394
441,2009,147771,147772,0.9460070406,157105.4358,1423
445,2009,190738,190738,0.9341315303,204936.0455,2459
452,2009,207359,207360,0.9139817385,226762.9318,2588
4A0,2009,662018,662017,0.9724380417,682263.9795,6153
481,2009,146642,146642,0.8388050351,174585.0825,436
482,2009,54709,54710,0.8462039651,64455.98026,177
483,2009,42696,42696,0.9205084244,46477.79615,60
484,2009,231349,231348,0.8995861984,256645.8437,1213
485,2009,44886,44886,0.8966215554,50062.95381,405
486,2009,27305,27304,0.8692439016,31330.1139,39
487OS,2009,154922,154921,0.8644353925,178864.9156,1049
493,2009,78609,78610,1.056226939,74686.75629,600
511,2009,288304,288304,1.034477766,284900.5319,728
512,2009,123108,123107,0.9705729193,126824.6378,314
513,2009,664849,664849,1.003447488,666651.9513,1235
514,2009,143356,143359,0.9983697263,144344.067,350
