industria_io,fonte_calibrazione,kappa_calibrato,moltiplicatore_u_nel_vincolo,theta_deriva_annua,K_cap_a0,capacita_a0,x_osservato_a0,utilizzo_implicito_a0,kappa_2010,kappa_2011,kappa_2012,kappa_2013,kappa_2014,kappa_2015,kappa_2016,kappa_2017,kappa_2018,kappa_2019
111CA,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.086201694,0.9878816159,-0.006799743786,446.0334841,415.6732562,410.635968,0.9878816159,1.073038685,1.080385026,1.087781663,1.095228939,1.102727201,1.110276799,1.117878084,1.125531409,1.133237131,1.140995609
113FF,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.008782961,0.7700798607,-0.03815677949,48.39364295,62.29523261,47.97230405,0.7700798607,0.7768434424,0.8076611924,0.8397014972,0.8730128563,0.9076456928,0.9436524305,0.9810875727,1.020007785,1.06047198,1.10254141
211,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",4.014338248,1,0.0419592298,1494.570665,372.3081049,310.2504248,0.8333163333,4.014338248,3.852682651,3.697536853,3.548638706,3.40573662,3.268589138,3.136964522,3.010640371,2.889403237,2.773048267
212,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.9400114995,1,0.02162940027,138.2431524,147.0653843,122.5519868,0.8333163333,0.9400114995,0.9201100705,0.9006299841,0.8815623198,0.8628983461,0.8446295162,0.8267474644,0.809244002,0.7921111136,0.7753409538
213,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",1.034421748,1,0.01424732436,111.8175172,108.0966418,90.07869719,0.8333163333,1.034421748,1.01989103,1.005564427,0.9914390731,0.9775121405,0.9637808423,0.9502424301,0.9368941947,0.9237334644,0.9107576053
22,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",3.312219311,1,-0.02078691278,1934.838315,584.1516316,484.3502015,0.8291515,3.312219311,3.382531703,3.454336698,3.527665983,3.602551916,3.67902754,3.757126603,3.836883567,3.918333627,4.001512723
23,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.2662594523,0.6463203832,-0.02840406576,285.6463403,1659.876504,1072.812018,0.6463203832,0.1720889112,0.1771198347,0.1822978344,0.18762721,0.1931123869,0.1987579199,0.204568497,0.210548943,0.216704224,0.2230394513
311FT,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.2486192453,1,-0.0149547892,295.4147334,1188.221503,901.9630011,0.7590865833,0.2486192453,0.2523937405,0.2562255394,0.2601155121,0.2640645417,0.2680735247,0.2721433715,0.2762750059,0.2804693662,0.2847274045
313TT,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.5218734328,1,-0.01006379473,44.98112903,86.1916438,54.22248795,0.6290921667,0.5218734328,0.5271788526,0.5325382078,0.5379520468,0.5434209234,0.5489453972,0.5545260334,0.5601634029,0.5658580824,0.5716106547
315AL,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.5462508033,1,-0.0362557625,19.48075988,35.66266588,24.45383947,0.6856985833,0.5462508033,0.566800591,0.5881234553,0.6102484792,0.6332058397,0.6570268491,0.6817439976,0.7073909976,0.7340028299,0.7616157911
321,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.3081668123,1,-0.02585046393,40.78434046,132.345012,74.19156597,0.5605920833,0.3081668123,0.3163444635,0.3247391204,0.3333565416,0.3422026386,0.3512834795,0.3606052937,0.3701744756,0.3799975896,0.3900813741
322,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.5360655494,1,-0.01207901694,115.9774372,216.3493576,175.7695379,0.8124338333,0.5360655494,0.542619864,0.5492543162,0.5559698858,0.5627675648,0.5696483569,0.5766132785,0.5836633581,0.5907996369,0.5980231689
323,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.3786464063,1,-0.01427401724,53.04127374,140.0812813,85.58333584,0.6109548333,0.3786464063,0.3841294771,0.3896919467,0.3953349648,0.4010596978,0.4068673291,0.412759059,0.4187361054,0.4247997037,0.4309511072
324,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.2038423567,1,-0.02182758486,201.2003777,987.0391068,794.8962343,0.8053340833,0.2038423567,0.2083910296,0.2130412046,0.2177951466,0.2226551713,0.2276236457,0.23270299,0.2378956781,0.2432042393,0.2486312592
325,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.6540086891,1,-0.05103998043,725.9078834,1109.936145,789.840828,0.71160925,0.6540086891,0.6891846607,0.726252578,0.7653141998,0.8064767578,0.8498532511,0.8955627566,0.9437307559,0.9944894795,1.04797827
326,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.3194291514,1,-0.02661512522,95.17247915,297.9455028,203.1143406,0.6817164167,0.3194291514,0.3281632576,0.3371361793,0.3463544462,0.355824767,0.3655540333,0.3755493257,0.3858179179,0.3963672827,0.4072050974
327,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.4799609692,1,-0.03301608584,94.46053985,196.8087947,95.87725762,0.4871594167,0.4799609692,0.4963484523,0.5132954592,0.5308210941,0.548945113,0.567687947,0.5870707245,0.6071152952,0.627844255,0.6492809713
331,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.4609192966,1,-0.01670213714,167.8776421,364.2235057,252.4715087,0.6931774167,0.4609192966,0.4687483967,0.4767104805,0.484807807,0.4930426733,0.5014174157,0.5099344102,0.5185960729,0.5274048612,0.5363632742
332,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.4044669297,1,-0.01733665801,167.9295288,415.1872908,310.3419818,0.7474746667,0.4044669297,0.4116027457,0.4188644555,0.4262542802,0.43377448,0.4414273551,0.4492152462,0.4571405354,0.4652056466,0.4734130466
333,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.4332899279,1,-0.02255210953,205.411054,474.0729953,333.6215223,0.7037345,0.4332899279,0.4432869845,0.4535146977,0.4639783891,0.4746835035,0.485635611,0.4968404103,0.5083037318,0.52003154,0.5320299374
334,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",1.069681765,1,0.04080904999,477.1681273,446.0841932,349.1128872,0.7826165833,1.069681765,1.027740646,0.9874439945,0.9487273334,0.9115287126,0.8757886113,0.8414498426,0.8084574617,0.776758678,0.7463027709
335,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.4441447265,1,-0.007936006526,69.18829087,155.7787062,113.7506109,0.7302064167,0.4441447265,0.447697658,0.4512790112,0.4548890134,0.4585278937,0.4621958833,0.4658932149,0.4696201232,0.473376845,0.4771636186
3361MV,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.2625105188,1,-0.01175338103,198.8655115,757.5525446,450.373889,0.59451175,0.2625105188,0.2656326,0.2687918125,0.2719885982,0.2752234037,0.2784966813,0.2818088886,0.2851604884,0.2885519494,0.2919837457
3364OT,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.4599787731,1,0.003093321067,161.9151255,352.0056468,258.369358,0.7339920833,0.4599787731,0.4585602989,0.4571461989,0.4557364597,0.4543310679,0.4529300099,0.4515332725,0.4501408424,0.4487527062,0.4473688507
337,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.2198172883,1,-0.04250032367,22.93249524,104.3252576,59.88056791,0.5739795833,0.2198172883,0.2295742691,0.2397643307,0.2504066964,0.2615214423,0.273129536,0.2852528755,0.297914331,0.3111377877,0.324948191
339,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.4147912552,1,-0.04057530616,90.85510281,219.0381347,165.57078,0.7558993333,0.4147912552,0.4323333117,0.4506172443,0.4696744281,0.4895375646,0.5102407388,0.5318194769,0.5543108076,0.5777533257,0.6021872581
42,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.3551009801,0.8787389919,0.0113927446,508.2407303,1628.76226,1431.256907,0.8787389919,0.3120410773,0.308526118,0.3050507527,0.3016145353,0.2982170249,0.2948577855,0.2915363859,0.2882523999,0.2850054061,0.2817949878
441,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.946239549,0.6112780409,0.01848869936,192.9667722,333.6127512,203.930149,0.6112780409,0.5784154577,0.5679154399,0.5576060296,0.5474837668,0.5375452542,0.5277871562,0.5182061976,0.5087991628,0.4995628947,0.4904942932
445,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.027438079,0.8400754648,-0.01717113089,221.104743,256.1675416,215.2000665,0.8400754648,0.8631255217,0.8782052999,0.8935485388,0.9091598415,0.9250438912,0.9412054532,0.957649376,0.9743805927,0.9914041227,1.008725073
452,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.84648173,0.9854132735,-0.01775220434,195.9427811,234.9055463,231.4790434,0.9854132735,0.8341343325,0.8492096762,0.8645574772,0.8801826596,0.8960902366,0.9122853119,0.9287730814,0.9455588351,0.9626479584,0.980045934
481,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.254376983,0.6360458229,0.0005064275679,229.8069955,288.035995,183.2040915,0.6360458229,0.7978412403,0.7974373961,0.7970337562,0.7966303206,0.7962270893,0.795824062,0.7954212388,0.7950186194,0.7946162039,0.794213992
482,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,4.903805089,0.9526259321,0.004468111723,366.9582637,78.55269195,74.83133139,0.9526259321,4.671491894,4.650711993,4.630024527,4.609429082,4.588925252,4.568512627,4.548190802,4.527959374,4.50781794,4.487766099
483,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.9241193173,0.9254788248,0.007139268646,43.7066361,51.10375908,47.2954469,0.9254788248,0.8552528598,0.8491902624,0.8431706407,0.83719369,0.8312591079,0.8253665941,0.8195158503,0.8137065804,0.8079384905,0.8022112886
