industria_io,fonte_calibrazione,kappa_calibrato,moltiplicatore_u_nel_vincolo,theta_deriva_annua,K_cap_a0,capacita_a0,x_osservato_a0,utilizzo_implicito_a0,kappa_2012,kappa_2013,kappa_2014,kappa_2015,kappa_2016
111CA,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.148933464,0.9467751587,-0.006799743786,464.3598424,426.8869924,404.166,0.9467751587,1.087781663,1.095228939,1.102727201,1.110276799,1.117878084
113FF,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,1.125480904,0.7460824026,-0.03815677949,52.77605057,62.85096638,46.892,0.7460824026,0.8397014972,0.8730128563,0.9076456928,0.9436524305,0.9810875727
211,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",3.678034539,1,0.03780783161,1527.37793,415.2701432,362.616,0.8732050833,3.678034539,3.544041996,3.414930865,3.290523314,3.170647989
212,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",1.092029554,1,0.02354861886,155.8384134,142.7053076,124.611,0.8732050833,1.092029554,1.066905405,1.042359284,1.018377891,0.9949482343
213,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.8818419919,1,0.007309122249,127.4381507,144.5135884,126.19,0.8732050833,0.8818419919,0.87544327,0.8690909778,0.8627847784,0.8565243373
22,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",3.421381678,1,-0.02571486506,2013.496984,588.504053,461.578,0.78432425,3.421381678,3.511684162,3.604370052,3.699502253,3.797145333
23,H9c (inviluppo_tendenza): inviluppo dei massimi 1997-2019 di x/K^cap,0.2572300158,0.7086958099,-0.02840406576,276.6449657,1517.543895,1075.477,0.7086958099,0.1822978344,0.18762721,0.1931123869,0.1987579199,0.204568497
311FT,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.2571975818,1,-0.00997147977,299.7396023,1165.40599,895.874,0.7687226667,0.2571975818,0.2597880531,0.2624046155,0.2650475316,0.2677170669
313TT,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.5233813362,1,-0.004327444894,42.04664143,80.33653194,51.802,0.6448125,0.5233813362,0.5256560839,0.5279407183,0.5302352822,0.532539819
315AL,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.6735427995,1,-0.02851605705,18.54512716,27.53370264,19.244,0.69892525,0.6735427995,0.6933133629,0.7136642535,0.7346125056,0.7561756537
321,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.3174611111,1,-0.01355397958,38.18508952,120.2827313,80.398,0.6684085,0.3174611111,0.3218230947,0.326245013,0.3307276893,0.3352719586
322,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.5266634119,1,-0.0261412003,113.1065899,214.7606751,179.235,0.8345801667,0.5266634119,0.5408005884,0.5553172478,0.5702235766,0.5855300345
323,"G.17: u osservato nell'anno a0, deriva θ = crescita capacità G.17 / crescita K^cap",0.386547627,1,-0.02216132012,50.34722054,130.2484274,83.081,0.6378656667,0.386547627,0.3953081781,0.4042672745,0.4134294162,0.4227992047
