industria_io,tipo,K_inizio_a0,delta,w_costo_uso,I_anno_precedente
111CA,E,199.5822092,0.1436462927,1.533969816,31.1685178
111CA,N,0.05325714286,0.7104280223,6.121448472,0.03684615385
111CA,S,251.5530717,0.0242876835,0.5547711563,7.144159844
113FF,E,30.65515579,0.1344993227,1.290059359,4.532818141
113FF,N,0.1479211957,0.6339261649,4.822399824,0.09119601329
113FF,S,18.27248203,0.02512499458,0.4451139788,0.8677317016
211,E,50.39024429,0.1392785146,1.551122843,7.369314445
211,N,8.295168687,0.2356629875,2.514411624,2.185294792
211,S,1437.855178,0.07330094226,0.9705787893,92.06227022
212,E,38.29061063,0.1528349619,1.294253323,4.996458382
212,N,1.328023886,0.2392648482,1.639392838,0.2801015141
212,S,98.75629077,0.04088608066,0.875977103,7.840608017
213,E,59.04813662,0.1376412785,1.12487222,9.664201596
213,N,1.507880617,0.3822406045,2.405211599,0.5682434335
213,S,53.32493809,0.05903773675,0.7832946119,4.276921175
22,E,470.1482883,0.07585640561,1.439943142,51.34747041
22,N,8.282850024,0.5286377119,6.333212826,4.758647763
22,S,1465.628469,0.0227625288,0.8224420338,63.80478087
23,E,190.7714845,0.1718526007,1.111967512,15.86441155
23,N,6.596464229,0.3613160777,1.609541408,1.417368763
23,S,87.39683877,0.02605264207,0.7196755165,4.769095502
311FT,E,146.0845231,0.1021146417,1.060909109,15.58245881
311FT,N,22.1581452,0.2305484159,1.414703055,5.382169068
311FT,S,128.0282355,0.03115400375,0.8520396771,3.420567025
313TT,E,18.29991891,0.1115183036,1.391080852,1.296487234
313TT,N,2.293720089,0.219555297,2.508561092,0.5740848485
313TT,S,24.35523546,0.03042334252,0.5654030854,0.1700528634
315AL,E,5.739676062,0.1235089994,1.592888319,0.318145832
315AL,N,2.208100413,0.2119134822,2.684368165,0.4974436887
315AL,S,11.72325135,0.02891296349,0.3762388392,0.08142857143
321,E,17.75177663,0.1518092321,1.308048986,1.45350247
321,N,0.5882287465,0.332053222,1.960496796,0.160989648
321,S,22.20276104,0.03102334796,0.7391389947,0.297774942
322,E,69.78714097,0.1114076247,1.09527904,4.395498402
322,N,6.952298732,0.2290167162,1.617467331,1.589883126
322,S,39.51002282,0.03121637664,0.7161708948,0.4386918422
323,E,29.53336045,0.1284634805,1.095174472,2.252302094
323,N,4.125216418,0.2871979837,1.776739186,1.217099316
323,S,19.55142716,0.03080653733,0.6837177428,0.3418571429
324,E,105.9681518,0.09547558489,0.9983092619,15.67203961
324,N,33.1061043,0.2070975148,1.162108634,8.051956489
324,S,62.49926312,0.03116574345,0.9110267513,2.027688629
325,E,152.0024846,0.1230067583,1.067523672,19.40978373
325,N,426.7004105,0.121760614,1.061145364,69.84080508
325,S,150.2367371,0.03085442388,0.7378386455,4.399275458
326,E,52.78665463,0.1334849121,1.076597688,4.786197476
326,N,11.27112019,0.2164668184,1.339378331,2.571680781
326,S,31.37188879,0.03133248891,0.7409880498,0.6700879121
327,E,46.07126157,0.1137506821,1.080686659,3.221712843
