anno,blocco,riga,colonna,valore,categoria
2012,U,111CA,GFGN,-267,da esaminare
2012,U,Used,111CA,-50,riga o colonna speciale (Used/Other)
2012,U,Used,481,-218,riga o colonna speciale (Used/Other)
2012,U,Used,483,-66,riga o colonna speciale (Used/Other)
2012,U,Used,484,-367,riga o colonna speciale (Used/Other)
2012,U,Used,711AS,-123,riga o colonna speciale (Used/Other)
2012,U,Used,GFGD,-34,riga o colonna speciale (Used/Other)
2012,F,111CA,F030,-18301,riduzione delle scorte
2012,F,111CA,F050,-32285,importazioni (segno negativo per convenzione)
2012,F,113FF,F050,-16124,importazioni (segno negativo per convenzione)
2012,F,211,F050,-335111,importazioni (segno negativo per convenzione)
2012,F,212,F050,-6497,importazioni (segno negativo per convenzione)
2012,F,213,F050,-992,importazioni (segno negativo per convenzione)
2012,F,22,F050,-2099,importazioni (segno negativo per convenzione)
2012,F,321,F050,-13620,importazioni (segno negativo per convenzione)
2012,F,327,F050,-20384,importazioni (segno negativo per convenzione)
2012,F,331,F050,-84060,importazioni (segno negativo per convenzione)
2012,F,332,F050,-57624,importazioni (segno negativo per convenzione)
2012,F,333,F050,-143189,importazioni (segno negativo per convenzione)
2012,F,334,F050,-297795,importazioni (segno negativo per convenzione)
2012,F,335,F050,-79271,importazioni (segno negativo per convenzione)
2012,F,3361MV,F050,-266095,importazioni (segno negativo per convenzione)
2012,F,3364OT,F050,-46011,importazioni (segno negativo per convenzione)
2012,F,337,F050,-30020,importazioni (segno negativo per convenzione)
2012,F,339,F050,-79712,importazioni (segno negativo per convenzione)
2012,F,311FT,F050,-80395,importazioni (segno negativo per convenzione)
2012,F,313TT,F050,-27520,importazioni (segno negativo per convenzione)
2012,F,315AL,F050,-134840,importazioni (segno negativo per convenzione)
2012,F,322,F050,-21433,importazioni (segno negativo per convenzione)
2012,F,323,F030,-80,riduzione delle scorte
2012,F,323,F050,-2461,importazioni (segno negativo per convenzione)
2012,F,324,F050,-100229,importazioni (segno negativo per convenzione)
2012,F,325,F050,-208004,importazioni (segno negativo per convenzione)
2012,F,326,F050,-45416,importazioni (segno negativo per convenzione)
2012,F,481,F050,-46100,importazioni (segno negativo per convenzione)
2012,F,511,F030,-58,riduzione delle scorte
2012,F,511,F050,-3714,importazioni (segno negativo per convenzione)
2012,F,512,F050,-6834,importazioni (segno negativo per convenzione)
2012,F,513,F050,-155,importazioni (segno negativo per convenzione)
