anno,prodotto,quota_stesso_codice,industria_principale,principale_coincide
2012,111CA,0.9983270314,111CA,True
2012,113FF,0.8422518692,113FF,True
2012,211,0.9936674788,211,True
2012,212,0.9727301707,212,True
2012,213,0.6751547222,213,True
2012,22,0.7680138669,22,True
2012,23,0.9214676918,23,True
2012,321,0.9857751224,321,True
2012,327,0.9876631279,327,True
2012,331,0.9837754226,331,True
2012,332,0.9722621465,332,True
2012,333,0.9691623296,333,True
2012,334,0.9761854115,334,True
2012,335,0.970847572,335,True
2012,3361MV,0.9914491306,3361MV,True
2012,3364OT,0.9856940371,3364OT,True
2012,337,0.9810847296,337,True
2012,339,0.9396080376,339,True
2012,311FT,0.9686305626,311FT,True
2012,313TT,0.9532397584,313TT,True
2012,315AL,0.9200201969,315AL,True
2012,322,0.9825984768,322,True
2012,323,0.8947765499,323,True
2012,324,0.9651236408,324,True
2012,325,0.9341346982,325,True
2012,326,0.9559127976,326,True
2012,42,0.945205214,42,True
2012,441,0.9885199012,441,True
2012,445,0.9705020832,445,True
2012,452,0.9694927775,452,True
2012,4A0,0.965250934,4A0,True
2012,481,0.9989535739,481,True
2012,482,0.9981646902,482,True
2012,483,0.9684084109,483,True
2012,484,0.9883242865,484,True
2012,485,0.7712323159,485,True
2012,486,0.9110859729,486,True
2012,487OS,0.8956100404,487OS,True
2012,493,0.9540471837,493,True
2012,511,0.9449071108,511,True
2012,512,0.9901745135,512,True
2012,513,0.9973782107,513,True
2012,514,0.8251548328,514,True
2012,521CI,0.962092947,521CI,True
2012,523,0.9266273774,523,True
2012,524,0.9860858383,524,True
2012,525,0.8380171322,525,True
2012,HS,0.9963484793,HS,True
2012,ORE,0.9668501779,ORE,True
2012,532RL,0.7816801253,532RL,True
2012,5411,0.9990158026,5411,True
2012,5415,0.7730529948,5415,True
2012,5412OP,0.6782719232,5412OP,True
2012,55,1,55,True
2012,561,0.9741189226,561,True
2012,562,0.8509957767,562,True
2012,61,0.7235919536,61,True
2012,621,0.9728297698,621,True
2012,622,0.8093519484,622,True
2012,623,0.9905891004,623,True
2012,624,0.9746870183,624,True
2012,711AS,0.9584889656,711AS,True
2012,713,0.600012965,713,True
2012,721,0.8169071269,721,True
2012,722,0.834374799,722,True
2012,81,0.7847823575,81,True
2012,GFGD,1,GFGD,True
2012,GFGN,1,GFGN,True
2012,GFE,0.9935624023,GFE,True
2012,GSLG,1,GSLG,True
2012,GSLE,0.9823353117,GSLE,True
2013,111CA,0.9983874378,111CA,True
2013,113FF,0.8413659816,113FF,True
2013,211,0.9987543037,211,True
2013,212,0.9867033616,212,True
2013,213,0.6648983853,213,True
2013,22,0.7696200775,22,True
2013,23,0.9384622115,23,True
2013,321,0.986654654,321,True
2013,327,0.9877631939,327,True
2013,331,0.9822275837,331,True
2013,332,0.9764928189,332,True
2013,333,0.9735764492,333,True
2013,334,0.9764352929,334,True
2013,335,0.9661002755,335,True
2013,3361MV,0.9933258351,3361MV,True
2013,3364OT,0.9855594116,3364OT,True
2013,337,0.981701879,337,True
2013,339,0.9485211079,339,True
2013,311FT,0.9710208725,311FT,True
2013,313TT,0.9547068743,313TT,True
2013,315AL,0.9159617321,315AL,True
2013,322,0.9786412427,322,True
2013,323,0.9018577093,323,True
2013,324,0.9616728289,324,True
2013,325,0.9440677605,325,True
2013,326,0.9617424946,326,True
2013,42,0.9446832006,42,True
2013,441,0.9897175387,441,True
2013,445,0.9712397899,445,True
2013,452,0.9703194002,452,True
2013,4A0,0.9649843965,4A0,True
2013,481,0.9991444489,481,True
2013,482,0.9982662798,482,True
2013,483,0.9716326407,483,True
2013,484,0.9892705873,484,True
2013,485,0.7814942864,485,True
2013,486,0.9128188189,486,True
2013,487OS,0.8878396761,487OS,True
2013,493,0.9510962989,493,True
2013,511,0.9394645456,511,True
2013,512,0.989870648,512,True
2013,513,0.9973186184,513,True
2013,514,0.7838466559,514,True
2013,521CI,0.9644489785,521CI,True
2013,523,0.9333568065,523,True
2013,524,0.986720239,524,True
2013,525,0.8647203973,525,True
2013,HS,0.9963188188,HS,True
2013,ORE,0.9695449285,ORE,True
2013,532RL,0.7842405977,532RL,True
2013,5411,0.9991071747,5411,True
2013,5415,0.7737025062,5415,True
2013,5412OP,0.6715998341,5412OP,True
2013,55,1,55,True
2013,561,0.975965779,561,True
2013,562,0.8355574225,562,True
2013,61,0.726649324,61,True
2013,621,0.9604096264,621,True
2013,622,0.8042895776,622,True
2013,623,0.9911051553,623,True
2013,624,0.9784958464,624,True
2013,711AS,0.9600685921,711AS,True
2013,713,0.6036554055,713,True
2013,721,0.8199909201,721,True
2013,722,0.8388600872,722,True
2013,81,0.7879135443,81,True
2013,GFGD,1,GFGD,True
2013,GFGN,1,GFGN,True
2013,GFE,0.9951595129,GFE,True
2013,GSLG,1,GSLG,True
2013,GSLE,0.9781255914,GSLE,True
2014,111CA,0.9982904647,111CA,True
2014,113FF,0.8512833184,113FF,True
2014,211,0.9985927556,211,True
2014,212,0.9870865617,212,True
2014,213,0.734790183,213,True
2014,22,0.7757228938,22,True
2014,23,0.9350286288,23,True
2014,321,0.9874940636,321,True
2014,327,0.9865527462,327,True
2014,331,0.9829588194,331,True
2014,332,0.9767512426,332,True
2014,333,0.9746747624,333,True
2014,334,0.9777216816,334,True
2014,335,0.9636530213,335,True
2014,3361MV,0.9937429445,3361MV,True
2014,3364OT,0.9858690151,3364OT,True
2014,337,0.9811568472,337,True
2014,339,0.9491055462,339,True
2014,311FT,0.9745467944,311FT,True
2014,313TT,0.9531421317,313TT,True
2014,315AL,0.9061491987,315AL,True
2014,322,0.979593833,322,True
2014,323,0.9048995218,323,True
2014,324,0.9526760896,324,True
