,2012,2013,2014,2015,2016
111CA,1,1.041921258,1.035373428,0.9222255887,0.8194802134
113FF,1,1.034006399,1.06377551,1.059322034,1.062067624
211,1,1.068516935,1.058708921,0.599541409,0.5310642359
212,1,0.9494506301,0.9291097179,0.865773845,0.8493707719
213,1,1.017759478,1.036829081,1.037244993,1.01841454
22,1,1.039217147,1.103773786,1.052328551,1.02147631
23,1,1.026848297,1.061170183,1.077261043,1.095107065
321,1,1.073740883,1.142776615,1.108713158,1.113809447
327,1,1.028513894,1.061112709,1.092204131,1.122236925
331,1,0.9448489179,0.9536398086,0.8661831074,0.8188642386
332,1,1.005451155,1.01391479,1.014601307,1.008279197
333,1,1.015785613,1.033048803,1.045528473,1.051693897
334,1,0.988578822,0.9724476878,0.9578244843,0.9335300469
335,1,0.9987326361,0.9994810794,0.9936731598,0.9827758263
3361MV,1,1.007247811,1.019702382,1.033500297,1.030688646
3364OT,1,1.015214999,1.03124471,1.041582021,1.046703064
337,1,1.012677154,1.032477866,1.044065661,1.050559098
339,1,1.010582451,1.016019211,1.025291849,1.02889903
311FT,1,1.009513268,1.047207347,1.009014669,0.9846930126
313TT,1,1.007608474,1.023803219,1.017335506,1.012110409
315AL,1,1.027472353,1.047287092,1.054585591,1.047023036
322,1,1.027810089,1.041672447,1.040082384,1.026956364
323,1,1.005168962,1.010266416,1.014270829,1.015813345
324,1,0.9636004414,0.9142489291,0.6006787465,0.4907918313
325,1,1.007941442,1.021808884,0.9713626792,0.9505565026
326,1,1.021353118,1.031207612,1.019544576,1.007758231
42,1,1.018910967,1.030690346,1.037939195,1.042853488
441,1,0.9964350172,0.9887064205,0.9690677436,0.9165400904
445,1,1.021684479,1.053080482,1.101936565,1.136891164
452,1,0.9929709183,1.006053658,1.005430192,1.009774345
4A0,1,1.025702408,1.040845989,1.05292238,1.056726977
481,1,1.005863237,1.028777823,0.9939605724,0.9678843406
482,1,1.030891585,1.048659158,1.013878978,0.9994001634
483,1,0.9990051647,1.027950639,1.023357463,1.012065024
484,1,1.013638984,1.030160168,1.013268415,1.006670235
485,1,1.031857328,1.036125295,1.051433362,1.074232147
486,1,1.059763741,1.07709935,1.073444321,1.11958477
487OS,1,1.02852444,1.053138886,1.060871743,1.062908426
493,1,0.9873554164,0.9888375275,1.002601468,1.00908959
511,1,0.9941604008,0.9886200207,0.9802708416,0.9718830536
512,1,0.9913822151,0.9921378029,0.9879616488,1.019839284
513,1,1.002876081,0.9987333816,0.9782960649,0.969791627
514,1,0.9994269341,0.999071238,0.9980733129,0.9899417054
521CI,1,1.04913333,1.105202663,1.147175395,1.234806849
523,1,1.080112094,1.167563084,1.190032171,1.203164271
524,1,1.012167381,1.029508544,1.043464,1.055155266
525,1,1.027540734,1.062163031,1.10433106,1.17068352
HS,1,1.02335961,1.05186645,1.084233712,1.120554139
ORE,1,1.015071815,1.037740446,1.063376928,1.083387781
532RL,1,1.012664319,1.022195831,1.015387608,1.010637209
5411,1,1.035112343,1.071710118,1.106483268,1.130542592
5415,1,0.9873232707,0.9771200495,0.9638249431,0.9521882115
5412OP,1,1.013748854,1.022200669,1.041662226,1.048792446
55,1,1.009070134,0.998816939,1.010870005,1.010596991
561,1,1.014278563,1.030450776,1.049506998,1.071958731
562,1,1.017182548,1.041277869,1.048201685,1.074892057
61,1,1.023937089,1.048676164,1.067389198,1.087216102
621,1,1.00793659,1.017763834,1.018584503,1.02798583
622,1,1.01756458,1.031813454,1.047785194,1.065349775
623,1,1.009821478,1.022817907,1.044240593,1.070519088
624,1,1.020891194,1.039239306,1.061692042,1.08712286
711AS,1,1.015614959,1.035841122,1.07294497,1.105336144
713,1,1.016536061,1.035498432,1.058854389,1.077018919
721,1,1.019561649,1.048301196,1.069593471,1.092862008
722,1,1.022567732,1.046655099,1.07937264,1.107043627
81,1,1.021901597,1.0407564,1.060858622,1.08200956
GFGD,1,1.005159548,1.020449812,1.022658057,1.028173436
GFGN,1,1.017048424,1.040062707,1.049936858,1.063360042
GFE,1,1.022872424,1.081180851,1.074290808,1.041046615
GSLG,1,1.033641561,1.056596215,1.05531855,1.056769457
GSLE,1,1.023091955,1.049801798,1.068282061,1.082842946
Used,1,1.015779774,1.031905091,1.019580742,1.021706352
Other,1,1.015779774,1.031905091,1.019580742,1.021706352
