tavola,anno,riga,colonna
Use,2012,111CA,211
Use,2012,111CA,22
Use,2012,111CA,321
Use,2012,111CA,327
Use,2012,111CA,331
Use,2012,111CA,332
Use,2012,111CA,333
Use,2012,111CA,334
Use,2012,111CA,335
Use,2012,111CA,3361MV
Use,2012,111CA,3364OT
Use,2012,111CA,337
Use,2012,111CA,315AL
Use,2012,111CA,322
Use,2012,111CA,323
Use,2012,111CA,324
Use,2012,111CA,326
Use,2012,111CA,481
Use,2012,111CA,482
Use,2012,111CA,483
Use,2012,111CA,484
Use,2012,111CA,485
Use,2012,111CA,486
Use,2012,111CA,493
Use,2012,111CA,511
Use,2012,111CA,512
Use,2012,111CA,513
Use,2012,111CA,514
Use,2012,111CA,523
Use,2012,111CA,524
Use,2012,111CA,525
Use,2012,111CA,532RL
Use,2012,111CA,562
Use,2012,111CA,621
Use,2012,111CA,622
Use,2012,111CA,623
Use,2012,111CA,624
Use,2012,111CA,711AS
Use,2012,111CA,GFE
Use,2012,111CA,GSLE
Use,2012,111CA,F02S
Use,2012,111CA,F02E
Use,2012,111CA,F02N
Use,2012,111CA,F02R
Use,2012,111CA,F06C
Use,2012,111CA,F06S
Use,2012,111CA,F06E
Use,2012,111CA,F06N
Use,2012,111CA,F07C
Use,2012,111CA,F07S
Use,2012,111CA,F07E
Use,2012,111CA,F07N
Use,2012,111CA,F10C
Use,2012,111CA,F10S
Use,2012,111CA,F10E
Use,2012,111CA,F10N
Use,2012,113FF,211
Use,2012,113FF,213
Use,2012,113FF,22
Use,2012,113FF,23
Use,2012,113FF,331
Use,2012,113FF,332
Use,2012,113FF,333
Use,2012,113FF,334
Use,2012,113FF,335
Use,2012,113FF,3361MV
Use,2012,113FF,3364OT
Use,2012,113FF,313TT
Use,2012,113FF,324
Use,2012,113FF,42
Use,2012,113FF,441
Use,2012,113FF,452
Use,2012,113FF,481
Use,2012,113FF,482
Use,2012,113FF,483
Use,2012,113FF,484
Use,2012,113FF,485
Use,2012,113FF,486
Use,2012,113FF,493
Use,2012,113FF,511
Use,2012,113FF,512
Use,2012,113FF,513
Use,2012,113FF,514
Use,2012,113FF,521CI
Use,2012,113FF,523
Use,2012,113FF,524
Use,2012,113FF,525
Use,2012,113FF,HS
Use,2012,113FF,ORE
Use,2012,113FF,532RL
Use,2012,113FF,5411
Use,2012,113FF,5415
Use,2012,113FF,562
Use,2012,113FF,621
Use,2012,113FF,622
Use,2012,113FF,623
Use,2012,113FF,624
Use,2012,113FF,711AS
Use,2012,113FF,GFGD
Use,2012,113FF,GSLE
Use,2012,113FF,F02S
Use,2012,113FF,F02E
Use,2012,113FF,F02N
Use,2012,113FF,F02R
