,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,0.1549932453,0.01543973386,0,0.0002086493167,0.0001267929313,0,0.00122364309,0,0,0,0,0,0,0,0,0,0,0.001762542148,0.263141915,0.04882050886,0,0,0,0,0.02899390325,0,0.001126869153,0.001757746479,0.005373677647,0.001000768362,0.0005371279897,0,0,0,0,0,0,0.0004112522899,0,0,0,0,0,1.312992454e-06,0,0,0,0,5.623708656e-06,0,9.774056396e-06,2.823080376e-06,0.001212783431,0.0001002409961,0.001705055611,0,0.0004909402151,0,0,0,0,0,0.0030458293,0.0002186270223,0.003785121086,6.944094829e-05,1.626489902e-05,-0.0007208851498,0,0.001652232954,0
113FF,0.05739225962,0.1045380875,0,0.0008105223455,0,0,0,0.1103136894,1.007110198e-05,0,0,0,0,0,0,0,0.001536612454,0.002247879841,0.007953127337,0,0.003533568905,0.01594554635,0.0004092391762,0,0.0005944367271,0.01067043596,0,0,0.003341695598,0,3.930204803e-06,0,0,0,0,0,0,1.602281649e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002251168071,2.297189493e-05,1.511574123e-06,0,0.0002034817997,0,0,0,0,0,0.001260055409,0.001776926011,0.004333996218,0.0001284657543,0,0.0002240953836,9.098905098e-05,0.001677399076,0
211,0,0,0.07551238776,0.0001604994744,2.377367462e-05,0.05326510362,0,2.48762407e-05,0,2.228677132e-05,2.914780561e-06,0,0,0,0,0,0,0,1.116228398e-06,0,0,1.673780233e-05,0,0.6399311548,0.009518544033,9.238472696e-06,1.99392397e-05,1.802816901e-05,2.889074004e-05,1.422893406e-05,1.834095575e-05,0,0,0,0,0,0.001811097086,0,4.591874219e-05,1.687860569e-05,7.593072081e-06,2.728036578e-06,3.159657493e-05,0,0,0,0,0,0.0005263791302,0,0,0,1.423663603e-05,7.726910113e-05,1.511574123e-06,7.180125413e-05,0.000965731081,1.035370559e-05,6.907450037e-05,3.828135841e-05,2.94674061e-05,6.907651606e-06,7.510264028e-05,8.838113667e-05,8.306418907e-05,3.992854526e-05,0,0.0006128873745,0.02065451457,0,0.05789597079
212,0.005354235636,2.132559925e-05,0.000413660732,0.05600629158,0.0005547190744,0.02307085693,0.009165235519,0.0001119430832,0.078312889,0.04983693512,0.002011198587,0.0005314520754,2.540557172e-05,0.00086323436,0.0001432168438,0.0003060364837,0.0002129957857,0.000836568918,0.001419842522,0.002007644492,0,0.009540547326,0,0.003333037277,0.009615517821,0.0006559315614,1.450126524e-05,0,0,0,3.930204803e-06,0,0.001352017286,0,1.343300624e-05,0,0,1.068187766e-05,2.755124532e-05,0.0002025432683,0.0002201990903,0.0003287284076,0.001566287357,0,0,0,0,1.158303618e-06,0,0,0,0,0.0007803456121,9.606428789e-05,0.0005955602045,0.0009453831794,0.0009011336843,0,8.599070455e-05,0.0001339847544,4.714784976e-05,0.001312453805,0.004472779465,0.0003767827406,0.0006482264167,0.00168567902,0,0.006776860397,0,0.0007621739832,0.01833740831
213,0,0,0.03431729433,0.01635489644,0.01065853079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.292222081e-05,4.176708169e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.01115630706,0.002495095112,0.01382178393,0.0325813933,0.001933592202,0.054424171,0.003802963708,0.02631906266,0.03790762785,0.03839639251,0.01287750052,0.005465304831,0.004426215163,0.008306594785,0.005838989431,0.004666196723,0.009934732006,0.006603147032,0.009356226434,0.02692946218,0.003273747662,0.03748709794,0.01618902035,0.008552835302,0.0195798894,0.02516559962,0.00964515404,0.009744225352,0.03941178453,0.02372437606,0.01731779243,0.0005629045877,0.001200389179,0.001899126402,0.004003035859,0.001392375275,0.03281927446,0.004406274535,0.1166887077,0.003574888686,0.002832215886,0.005501085759,0.005497804038,0.003247030339,0.002551884131,0.0004783424807,0.01792612934,0.0001604250511,0.06217122393,0.00644973327,0.00198087543,0.0008779779969,0.003857238573,0.01674859976,0.003323951497,0.006186874731,0.02253803172,0.003868834656,0.01284785707,0.01166145881,0.007237194939,0.004338005208,0.01956841016,0.02777958675,0.03075166576,0.009022115206,0.003380141741,0.00366652447,0.01324396187,0.008766027995,0.008909133537
23,0.004117120193,0.00085302397,0.003902199572,0.02341687331,0.02016007608,0.0162637734,0.000206420035,0.002873205801,0.003887445364,0.003551025563,0.002060749856,0.001342225474,0.0006887732779,0.001278564099,0.0009483277498,0.0007117927205,0.001825678163,0.001194186165,0.001163109991,0.001621559013,0.0004676782374,0.003782743326,0.002997075144,0.008942909884,0.002188836932,0.002674537845,0.001343179692,0.001667605634,0.002499049013,0.002480577505,0.00268432988,0.001796177366,0.02671181815,0.001199448254,0.001051132738,0.004039849388,0.02845617694,0.00854016119,0.00841231357,0.0003882079309,0.0002885367391,0.003168614485,0.000613876313,0.004613855484,0.002811043535,0.0005209174659,0.003701208436,0.03720181645,0.05453422758,0.0008639829615,0.0004170264062,9.598473278e-05,0.0006548852572,0.001054618813,0.0005592824255,0.0004547412761,0.002306127063,0.0004682175751,0.001140434098,0.001287210677,0.001502837711,0.001105224257,0.003196034581,0.003767827406,0.002574989861,0.006053514667,0.009500179653,0.005200092878,0.006450112725,0.01394768117,0.1418360853
321,0.0005715473345,0.0009809775655,0,0.0004092736596,0.001267929313,0,0.02439103765,0.1942336874,0.002004149294,0.0009917613235,0.0003322849839,0.002076370899,0.0008750808038,0.001759043601,0.005827377254,0.001014390592,0.07908229244,0.005096045775,0.0003270549207,0.0007335624107,0,0.02336039278,1.203644636e-05,0,0.0002732897665,0.004365178349,0.001299071677,0.0002073239437,0.001834561992,0.0003699522856,0.0007532892539,0,0.01671699877,0,0.0001947785905,0,0.0003292903792,0.0004272751064,0.001074498567,0.0003544507195,0.0006833764873,0.0009425366375,0.004143665112,9.322246425e-05,8.359980772e-06,0,0,4.633214472e-06,0.006064607415,0.0008773780461,4.561226318e-05,5.363852714e-05,0.0004724783581,4.176708169e-06,0.0005985833527,0.0002273706381,8.720648558e-05,0.0002243302878,0.0003496015529,1.914067921e-05,0.007089857908,2.072295482e-05,0.0009095764211,0.001562950628,0.0008110973757,0.0004340059268,2.66152893e-05,0.0001538968297,2.021978911e-05,0.001364106536,0.0005358877315
327,1.484538531e-05,0.001279535955,0.001704282216,0.002704416143,0.004247563198,8.015979964e-05,0.03750800807,0.006393193861,0.1013454992,0.01005876279,0.003314105498,0.004936324626,0.0008214468191,0.01278564099,0.0118579676,0.0009937589189,0.004655479317,0.004955553285,0.005494076176,0.0005212153971,0,0.002811950791,1.203644636e-05,0.001549496264,0.001780791382,0.005806380089,0.0002048303714,0.0004867605634,0.0002455712903,0.001256889176,0.000631452905,0,0.0001137210801,0,6.380677964e-05,0,5.488172987e-05,0.0002617060027,0.000753067372,2.363004797e-05,1.518614416e-05,0.002871258498,0.003245419625,5.120670572e-05,5.015988463e-05,6.261027234e-06,0,4.633214472e-06,0.0001203473652,0.001285928129,1.954811279e-05,0.0002004387067,0.002422897494,0.0001608032645,0.001457157455,0.000921449428,0.000216401279,0.001769333244,0.002211793696,0.0007608419985,0.001249418019,6.216886445e-05,0.0008010948296,0.0002884016039,0.002195500527,0.00181240875,3.252979803e-05,0.001179875695,0,0.0007750138414,0.006246441371
331,0.0002325777032,0,0.01202649635,0.00528845768,0.004009826452,6.499443214e-06,0.00374717451,0.002388119107,0.010171813,0.3018854609,0.215673358,0.1175127054,0.01404928116,0.138980732,0.07516755403,0.03662465829,0.0469199288,0.03252401144,0.00225813005,0.005057719779,0,0.004424359082,0.0002286924808,1.440275381e-05,5.919179274e-05,0.007797270955,0.0007782345676,2.253521127e-05,0,0,0.0006982663867,0,0.0129262961,0,0,0,0,0.002232512431,0,0.0001046473553,7.593072081e-05,0.0003942012855,0.001214211237,0,0,0,0,0,0.001939054745,0.0002478090665,0,0.0001101001347,0.001408537177,7.309239296e-05,0.0007195092826,0.004200373367,0.0004489519072,0.0002392856403,0.0001663426744,0.0001100589054,0.002033251021,0.0001381530321,0.002528455556,7.442622036e-05,0.0001433264439,0.001538117005,0.0001138542931,0.0009530803665,0,0.0001530511098,0.001426801085
