,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other
111CA,0.9982904647,0.08014948883,0,0,0,0,0,0.000105535328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01373255047,0,0,0,0,0,0,0,0,0,0
113FF,4.825301122e-05,0.8512833184,0,0,0,0,0.000913371012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0.9985927556,0.0008018828626,0.2224375909,0,0.001060545774,0,0,0,4.334758987e-05,0.0005697039059,0,0,0,0,0,0,0,0,0,0,0,0.04101458016,0.0003650736105,0,0.0007468327817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002331136884,0.001050099446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0.9870865617,0.04277222605,0,0.00647125211,0,0.002323539098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001048932711,0.003336367163,0,0.0002819347249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.220130366e-06,9.702005747e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,0,0,0.0006361515858,0.0002915937682,0.734790183,0,0.006925349115,0,0,0,0.002964975147,0,0,0,0,0,0,0,0,0,0,0,0,3.933497666e-06,0,0,0.000413004948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001731701686,0.0004166155409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0.0002781441999,0,0,0.7757228938,0.001303125282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003027989645,0,0,0,0.0004072718687,0,0,0,0,0,0.06967293701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009857378825,7.932816464e-05,0,0,1.817801732e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02657461292,0,0
23,0,0,0,0,0,0,0.9350286288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006083157203,6.220697802e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0.0004999504487,0.9874940636,0.0007318233378,0,0.0007513582245,0,0,0,0,0,0.005012905247,6.697519908e-06,0,0,0,0.000711906224,0,0,1.267616703e-05,0.0007302224099,0.000618437461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.774221622e-05,0.0001266967809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005249343832,0
327,0,0,5.507805938e-06,0.005082062818,0,0,0.0006678332177,0.0001160888607,0.9865527462,0,0.0006299849728,1.012806944e-05,0,0.001751270888,0,3.374160678e-05,0.001327823116,2.009255973e-05,0,0.008329005328,0.0003072039322,0.001016232549,0,3.277914722e-05,0.0001635225547,0.0006906320383,0.0009292611331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.216365025e-05,0.0005119234797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009998750156,0
331,0,0,0,0,0,0,0.000235183791,0,6.403454206e-05,0.9829588194,0.003967749393,0.000802649503,3.415872192e-06,0.006032155279,0,0,0,0,0,0.0003462404063,0,1.086879731e-05,0,0.003377563329,0.0003080308589,0,0.0006505362912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001287675612,0.0004114791849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09323834521,0
332,0,0,0,0,0,0,0.001530173785,0.002374544879,0.0008233012551,0.0119437179,0.9767512426,0.008889912949,0.001673777374,0.002278273701,0.002476320934,0.001538617269,0.001760484581,0.00147345438,0,0.0003462404063,0,1.630319597e-05,0.002070640111,1.048932711e-05,0.0001102826532,0.004953195383,0.002588235672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006171962418,0.00159911883,0,0,0,0,0,0,0,0,0,0,0,0,0.0001491161303,0,0,0,0,0,0.1513560805,0
333,0,0,0,0,0,0,0.000570949329,0,0.001198360716,9.545810344e-05,0.007039648596,0.9746747624,0.003313396026,0.0117318934,0.001770767367,0.0006883287782,0.000104435526,0.001875305574,4.186898984e-06,0.001192605844,0,2.717199328e-05,0,1.311165889e-06,0.0001939453556,0.0008841849662,0.005214454959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.046421827e-06,0,0.001602934124,0.00441212979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01762279715,0
334,0,0,0,0,0,0,2.736415178e-05,1.05535328e-05,0.0002927293351,0.0001527329655,0.0004421454167,0.001433121825,0.9777216816,0.007126699584,2.92546601e-05,0.009150723757,0.0001193548868,0.005358015927,0,1.923557813e-05,0,3.260639194e-05,8.938014867e-05,0,0.0003105660923,0.001258094032,0.002402597437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002937232474,0.02859352306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,7.469673864e-05,0,0.001344725383,0.004009240344,0.0006386544908,0.001430589808,0.002442348617,0.9636530213,0.0003131969493,9.110233829e-05,7.459680427e-05,0.0004956164732,0,0.0007501875469,0,0.0004130142979,0,1.048932711e-05,0.0001178883534,5.278716216e-05,0.001263088967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000563913113,0.001506664422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3361MV,0,0,0,0,0,0,0.0004807215853,0,3.659116689e-05,9.545810344e-05,0.001875505722,0.004020843567,0.0003313396026,0.0006324033761,0.9937429445,0.001002125721,0.0003879033822,0.0004956164732,0,0.005886086906,0,0,0,0,1.140855033e-05,0.0009369721284,0.00227794698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007082215868,0.006894701849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0927384077,0
3364OT,0,0,0,0,0,0,0.0008364555584,0,0,3.818324138e-06,0.0008987400301,0.004681700098,0.004871033745,0.004232237978,0.0003476141964,0.9858690151,0,4.018511945e-05,0,0.0004424182969,0,0,0,0,3.295803428e-05,0.0004794833896,0.001115969328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139202174,0.01161843724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01474815648,0
337,0,0,0,0,0,0,0.0002973078112,0.004348055512,0.00111603059,6.872983448e-05,0.0007426887065,0.0001823052499,2.049523315e-05,9.729282709e-05,3.441724717e-06,0,0.9811568472,0.001714565097,0,0.003981764672,5.120065537e-05,8.695037851e-05,0.000134070223,0,1.647901714e-05,0.0005586641329,0.0008955573614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.880521464e-05,0.0001461007924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0.0005058670221,0.000770407894,0.0002927293351,0.0002481910689,0.0009738758525,0.0004355069858,0.001731847201,0.0005756492269,0.0001187395027,0.0007760569558,0.003506049801,0.9491055462,1.046724746e-06,0.001019485641,0.01341457171,0.0006466934401,0.004320040519,2.491215189e-05,0.0003815526276,0.003228814752,0.002989471049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008769514946,0.006433000516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT,0,0,0,0,0,0,0.000154570479,0,0,0,0,0,0,0,0,0,0,1.339503982e-05,0.9745467944,0,0.001280016384,0.0004673582845,0,9.178161221e-06,0.004626800966,4.39893018e-06,0.00764219648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002353338188,0.002116749372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002499687539,0
313TT,0,0,0,0,0,0,5.694701856e-05,0,9.147791723e-06,1.145497241e-05,0.000239856664,0.0001417929721,2.049523315e-05,0,0.0003871940307,6.748321355e-06,0.003267340027,0.0007836098293,0,0.9531421317,0.009267318622,0.0001847695543,0.001281115464,0,0.004266797823,0.001183312218,0.000402305338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.330195549e-05,0.0001227018374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315AL,0,0,0,0,0,0,1.479143339e-06,0,6.403454206e-05,0,0,0,0,0,0,0,0,2.679007963e-05,0.0003778676333,0.0006155385,0.9061491987,0,8.938014867e-05,0,2.788756747e-05,4.39893018e-06,0.0003568319953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.216365025e-05,9.702005747e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0.0001079774638,0.001129228009,0.00111603059,3.818324138e-06,1.733903595e-05,0,0.002483339083,0,0,0,0,0.0006831470307,0,0.002115913594,0,0.979593833,0.003575205947,0,0.0001673254048,0.002903293919,0.000922841367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001354279523,0.000660307097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04561929759,0
323,0,0,0,0,0,0,5.916573357e-06,9.498179516e-05,0,0,0.0004161368628,2.53201736e-06,0.0001332190155,0,0,0,5.967744342e-05,0.003522895472,0,0.01086810164,0.001228815729,0.005521349035,0.9048995218,0,0,0.002173071509,0.000607737851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004573468554,0.01001418205,0,0.000160643004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007999000125,0
324,0,0,0.0001239256336,0.001780804799,0,0,0.0001737993424,0,0.002314391306,0.0001260046965,0,0,0,4.864641354e-05,0,0,0,0,0,0,0,3.80407906e-05,0,0.9526760896,0.03527016715,4.39893018e-06,0.006468449257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.436495391e-05,8.275240196e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,2.08281263e-05,0,0,0.0001760180574,2.110706559e-05,0.0005580152951,0.0001680062621,0.0004074673448,0.0004076547949,0.003395376959,0.001013466949,0,1.012248203e-05,0,0.002993791399,0.00939540132,0.0005001250313,0.00143361835,0.001032535745,1.489669144e-05,0.002697068233,0.9491787111,0.01602530265,0.00914228181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001085643749,0.02560815882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0.0001109357505,0.001414173395,0.001161769549,0.0001107314,0.00119928332,0.001557190676,0.000409904663,0.0008269890302,0.0004216112778,0.0008097985626,0.003222581945,0.003810888828,0,0.01044491892,0,0.007146234233,0.001996156654,3.671264488e-05,0.0009722620113,0.9639287725,0.002004571943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002775162958,0.00151750784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007624046994,0
42,0,0.007984062761,0,0,0,0,0.002668374584,0,0,0,0,0.0007545411731,0.000266438031,0,0.000388914893,2.361912474e-05,0,0.006697519908,0.002778007476,0,0,0,0,0,0,0,0.9422654391,0,0,0,0,0,0,0,0,0,0.01562124489,0.003453820816,0.001074337203,0,0,0,0,0,0,0,0,0,0,0.02663077689,0,0.02526508357,0.0003167419523,0,3.104864783e-05,0,0,0,0,0,0,0,0,0,0,0.08179603247,0,0,0,0,0,0,0
441,0,0,0,0,0,0,1.479143339e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9903451159,0,0,0,0,0,0,4.972356804e-05,0,0,0.001050411087,0.001446889621,0,0,0,0,0.004717723302,0,0,0,0,0,0.001200240518,0,5.994351988e-05,7.419180865e-06,0,0,0,7.366106843e-05,0,0,0,0,0,0.0008488230015,0,0,0.08234970715,0,0,0,0,0,0,0
445,0,0,0,0,0,0,2.218715009e-06,0,0,0,0,0,0,0,0,0,0,0,0.008641759502,0,0,0,0,0,0,0,0,0,0.9719314683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002985744002,0,0,0,0,0,0.0009653597903,0,6.660391098e-06,3.994943543e-06,0,0.000160643004,0,0,0,0,0,0,0,0.0001946345736,0,0.01587761257,1.685660604e-05,0,0,0,0,0,0,0
452,0,0,0,0,0,0,0.001728378992,0,0,0,0,0,0,0,0,0,0,0,0.00232686911,0,0,0,0,0,0,0,0,0,0,0.9708246502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003499722841,0,0,0.0001637926853,0,0.0001471435919,0,0,0.0009398767884,0,0,0,0,0,0,0.008258355718,0.003974269039,0,0,0,0,0,0,0
4A0,0.000434277101,0,0,0,0,0,0.00374740965,0,0,0,0,0,0,0,0,0,0,0.01321420678,2.198121966e-05,0,0.00839690748,0,0.0003724172861,0,0,0,0,0,0,0,0.963575729,0,0,0,0,0,0,0.007447976554,0.0001992722232,0,0.00376061345,7.366319713e-05,0,0.000301052196,0,0,0,0,0,0.006125689375,0,0.003265811768,0.0007727362224,0,0.00174007422,0,0.0003824709322,0.0003190014612,0,0,0,0,0.00127593776,0,0.01816189173,0.01643908087,0,0,0,0,0,0,0
481,0,0.01030052198,0,0,0,0,7.395716697e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.349805026e-06,0,0,0,0,0.9993303958,0,0,0,0,0,0.003445175458,0,0,0,0,0,0,0,0,0,0,0,0.000570760168,0,0.0005927748077,0.0007390645554,0,0,0,0,6.315800742e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0.001477664196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9984069816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006882005318,0,0.0002686357743,2.51110737e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,0,0,0,0,0,0,1.035400338e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9762748944,0,0,0,0.0108542479,0,0,0,0,0,0,0,0,0,0,0,0,0,2.220130366e-05,3.424237322e-06,0,0,0,0,0,0,0,0,0,0.001194840021,0,0,0,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0.0005177001688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9905898147,0,0,0.03762892391,0.04144862242,0,0,0,0,0,0,0,0,0,0,0.0007563159428,0,0.0001509688649,5.535850338e-05,0,0,0.02673986348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,0,0,0,0,0,0,4.437430018e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.209883016e-06,0,0,0,8.263487192e-06,0,0,0,0,0.7934736046,0,0.0001945205716,0,0,0,0,0,0,0,0,0,0,3.720674112e-06,0,0,0,7.989887086e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
