,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N
111CA,74027.44061,0,0,0,0,5550.702629,38832.1474,-40738.4055,0,0,0,0,0,0,0,0,0,0,0,0
113FF,5345.872,0,0,0,0,698.56,5997.232,-15148.368,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,12341.09919,24835.64901,-239022.6894,0,0,0,0,0,0,0,0,0,0,0,0
212,382.3169317,0,318.7899491,0,0,1021.051866,16214.39603,-6729.240013,0,0,0,0,0,0,0,0,0,0,0,0
213,0,124176.0633,2715.84825,0,0,-1.928184771,4348.056658,-1279.350595,0,0,0,0,0,0,0,0,0,0,0,0
22,249443.0087,0,0,0,0,0,3556.873939,-2537.230408,0,0,0,0,0,0,0,0,0,0,0,0
23,0,399920.7088,0,0,446232.6035,0,90.9714508,0,0,6594.501903,0,0,0,12355.40827,0,0,0,258201.1126,0,0
321,4766.787478,411.2876235,0,0,3853.11563,1329.469204,4682.90645,-16285.54678,0,0,0,0,0,0,108.2335851,0,0,0,0,0
327,10936.60028,0,0,0,0,1067.566004,7795.246107,-22505.86617,0,0,0,0,0,0,0,0,0,0,0,0
331,606.1074102,0,0,0,0,2063.074175,34077.09034,-84676.09143,0,0,0,0,0,0,0,0,0,0,0,0
332,16209.3227,0,13839.91909,0,0,4738.807219,31914.99928,-63978.8255,0,0,967.8678637,0,0,0,1568.103637,0,0,0,397.2003555,0
333,6752.565985,0,211600.1676,0,0,3166.819543,97477.02016,-144851.1485,0,0,500.2254972,0,0,0,549.9611107,0,0,0,8571.741693,0
334,75970.07718,0,194471.955,0,267.2723492,5608.543202,101718.0095,-329399.5979,0,0,15474.6514,0,0,0,9474.595971,0,0,0,13130.79818,0
335,41382.8225,0,28124.94201,0,6187.145078,2137.523771,31696.53894,-92622.00462,0,0,319.0183783,0,0,0,975.1697431,0,0,0,1206.634182,0
3361MV,193134.9228,0,268771.0888,0,0,9897.433055,100891.1176,-307201.6534,0,0,11030.47579,0,0,0,551.5237894,0,0,0,12695.6906,0
3364OT,19205.40062,0,64207.13744,0,0,7773.751691,120737.4911,-54230.0067,0,0,32961.39843,0,0,0,1843.34979,0,0,0,444.5161212,0
337,41998.31644,0,28316.22676,0,511.4620853,941.5116664,3733.481664,-36951.69897,0,0,0,0,0,0,109.1885351,0,0,0,1949.11113,0
339,84154.57519,0,46055.17936,0,0,3585.320612,30410.85329,-89690.5599,0,0,43.88994221,0,0,0,186.2884214,0,0,0,1027.99998,0
311FT,552659.9536,0,0,0,0,14421.99053,62733.47847,-87450.66125,0,0,0,0,0,0,0,0,0,0,0,0
313TT,21541.56605,0,2039.641777,0,515.0709838,1153.011954,8898.735908,-31162.77748,0,0,0,0,0,0,73.72199195,0,0,0,10.81255882,0
315AL,133649.6546,0,0,0,0,3059.969743,4087.861656,-143043.866,0,0,0,0,0,0,0,0,0,0,0,0
322,20468.57087,0,0,0,0,2164.251634,20348.38809,-22103.05678,0,0,0,0,0,0,0,0,0,0,0,0
323,4848.803553,0,0,0,0,999.7329815,2169.045916,-2439.190726,0,0,0,0,0,0,0,0,0,0,0,0
324,294568.4379,0,0,0,0,16246.62111,113491.6133,-100379.7793,0,0,0,0,0,0,0,0,0,0,0,0
325,267427.4044,0,2019.842889,0,0,14083.30821,154652.8431,-242686.9027,0,0,0,0,0,0,0,0,0,0,0,0
326,33759.19091,0,238.3417122,0,34.3290532,3277.934165,24193.15503,-47319.16693,0,0,0,0,0,0,37.27154347,0,0,0,0,0
42,502719.2369,63.58753993,199572.3844,22110.15839,2736.191112,19095.53093,191945.7334,36729.51189,0,0,8353.090472,450.8934649,0,0,5259.46031,556.8726981,0,0,8175.816118,1769.853195
441,209809.8934,0,20340.16727,0,5.159598008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,194261.6361,0,145.1989208,0.9074932547,6.352452783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,211811.8212,0,1678.883341,384.9098656,160.1304609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A0,718316.0074,0,26819.64078,6766.880576,5149.477401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,125547.2334,0,516.1170516,47.28557782,5.030380619,47.28557782,44012.81219,-40838.64202,0,0,34.20658821,1.006076124,0,0,10.06076124,1.006076124,0,0,23.13975085,4.024304496
482,7610.375764,0,3458.006406,0,31.56195236,1053.38016,10504.21227,387.6202275,0,0,258.413485,0,0,0,9.863110114,0,0,0,135.1246086,0
