,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other
111CA,428549.1585,5213.712,0,0,0,0,0,9.92141197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2276.044776,0,0,0,0,0,0,0,0,0,0
113FF,26.02400139,50812.688,0,0,0,0,818.7430572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,336370.4274,98.17806404,19798.60123,0,970.0527151,0,0,0,5.913652935,119.5567632,0,0,0,0,0,0,0,0,0,0,0,25253.09925,165.7465367,0,985.6068689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.0535433,1548.486602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,94148.14327,7795.651029,0,10315.97686,0,220.654723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.836155,2843.428164,0,462.4548358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.037532808,150.7206426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,0,0,345.2638915,24.255757,121983.7173,0,6286.312906,0,0,0,748.0770963,0,0,0,0,0,0,0,0,0,0,0,0,3.329566781,0,0,477.869997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.47716535,599.0425538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,123.4276714,0,0,458365.4025,2165.677497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817.9669909,0,0,0,482.4667134,0,0,0,0,0,2306.593786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475.1900262,240.9610273,0,0,2.862044626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2826.968747,0,0
23,0,0,0,0,0,0,1295011.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.5225722,88.32037653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,952.415393,86814.15863,92.47355612,0,270.0568174,0,0,0,0,0,378.3286961,0.9753320491,0,0.9829598927,0,146.1422694,0,0,11.32429754,178.5110766,1194.674993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.63805774,111.3604748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.23181202,0
327,0,0,3.33588301,567.1226993,0,0,1285.667953,15.33309123,103152.8785,0,233.5892909,4.782270527,0,268.7000221,0,4.800390077,75.66573922,4.876660245,0,419.7238742,8.534157945,184.6007613,0,44.94915154,123.5377914,136.3353827,1924.968254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.16351706,732.4831227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.846362404,0
331,0,0,0,0,0,0,549.5418252,0,7.324638109,254507.3878,1228.068593,354.8444731,1.044032614,628.9794525,0,0,0,0,0,10.81255882,0,2.884386896,0,3402.81725,211.0437269,0,1330.521101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.28950131,639.3627257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711.0765929,0
332,0,0,0,0,0,0,2601.040869,215.5652237,75.07754061,3705.91388,323903.5842,3014.743341,485.4751655,296.8783016,1362.360518,341.7877735,113.0197117,222.3757072,0,24.57399732,0,2.884386896,137.0442647,13.31826712,101.9186779,1083.817251,5263.3141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.8094488,3414.734558,0,0,0,0,0,0,0,0,0,0,0,0,109.3453902,0,0,0,0,0,1160.28084,0
333,0,0,0,0,0,0,968.1961549,0,129.0967467,28.86225763,2089.490704,339910.3987,1226.738321,1646.416615,926.9470004,183.374901,6.704559171,264.3149853,2.973197608,40.3013556,0,3.845849194,0,1.66478339,143.0979417,168.7027757,9109.396818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.60598514,0,752.2112861,7922.913777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.8120199,0
334,0,0,0,0,0,0,63.12304749,0.9019465427,14.64927622,48.48859282,134.0427999,568.1337387,300183.3892,794.0236608,14.51378393,2893.675139,7.662353338,792.9449559,0,0,0,4.807311493,4.92964981,0,219.2795797,273.6515955,4273.853441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396.51916,46222.27706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,137.3854563,0,192.2717504,1103.692732,197.1217645,411.2752654,759.0117103,119687.2421,161.5867944,34.56280856,4.788970836,75.10056778,0,44.23319517,0,104.7993905,0,19.97740068,86.47645395,10.789131,2349.848635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.4207349,2280.969724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3361MV,0,0,0,0,0,0,781.6118528,0,3.662319054,28.86225763,647.5449964,1423.203709,119.019718,75.4775343,590387.8324,238.0993478,26.81823668,77.05123188,0,414.8090747,0,0,0,0,11.32429754,219.7059405,4685.245555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.8979003,11752.3701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856.2342973,0
3364OT,0,0,0,0,0,0,1447.188692,0,0,0,340.0350438,1043.491429,1159.920234,425.6932934,364.7797695,284072.6836,0,8.777988442,0,15.72735828,0.9482397716,0,0,0,31.91392943,123.5845915,2153.305329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633.9325459,20536.40755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.6954361,0
337,0,0,0,0,0,0,587.6013097,396.8564788,129.0967467,28.86225763,252.3158586,89.90668592,8.352260911,18.11460823,2.902756786,0,67462.23217,213.5977187,0,208.3874972,0.9482397716,18.26778367,8.873369658,0,16.47170551,133.3928924,1715.90013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.46377953,284.1612114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,833.5955389,64.03820453,38.45435007,68.11492801,332.1501732,169.2923767,496.9595242,62.39476168,56.11996453,175.6942768,220.2926585,140945.2344,0.9910658694,48.16503474,350.8487155,114.4140135,261.2714399,19.97740068,297.5201809,539.4565502,5748.891678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.1632546,10946.92667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT,0,0,0,0,0,0,291.4799546,0,0,0,0,0,0,0,0,0,0,1.950664098,921794.3294,0,11.37887726,88.45453146,0,18.31261729,2891.813799,0.9808300913,14187.72898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.2787402,3262.093907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.942385901,0
313TT,0,0,0,0,0,0,95.61285135,0,0.9155797636,2.30898061,68.00700876,25.82426085,9.396293525,0,322.2060033,1.920156031,196.3478043,103.3851972,0,46264.97327,144.1324453,29.80533125,68.02916738,0,3350.962591,359.9646435,696.5725965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.52545932,232.3209904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315AL,0,0,0,0,0,0,4.641400551,0,9.155797636,0,0,0,0,0,0,0,0,5.851992294,534.1845036,34.40359624,16144.73035,0,8.873369658,0,33.97289262,1.961660183,547.2382224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.97585302,187.2007981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,159.6641789,105.5277455,108.9539919,1.154490305,4.928044113,0,1048.208744,0,0,0,0,97.53320491,0,97.31302937,0,171434.4966,188.3126227,0,114.272457,558.092322,2096.461922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.13937008,1073.284576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351.1247176,0
323,0,0,0,0,0,0,23.20700275,11.72530506,0,0,113.3450146,0.9564541055,46.98146762,1.006367124,0,0,6.704559171,528.6299706,0,574.0485773,20.86127498,1132.602588,60205.81313,0,0,487.4725554,1266.933561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.6566929,15951.428,0,112.4337429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.79010393,0
324,0,0,40.03059612,143.2244699,0,0,377.8100048,0,227.0637814,57.72451526,0.9856088225,0,0,10.06367124,0,0,0,0,0,0,0,1.922924597,0,791486.3025,16088.73836,0.9808300913,7992.761079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.3511811,118.0805034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,1.155036047,0,0,220.0023861,1.803893085,63.17500369,49.64308312,129.1147558,146.3374781,1082.661821,125.7958905,0,2.880234046,0,474.0113758,7969.160656,17.69327807,39.82607041,222.097791,0.985929962,2410.606349,720166.6432,3260.279224,18318.99218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509.4286089,43520.82554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,178.2297812,80.2732423,127.2655871,33.48021885,391.2867026,545.1788401,114.8435875,90.57304116,237.0584709,237.1392698,220.2926585,556.9146,0,412.8431549,0,1322.972123,111.4100857,66.59133561,772.111196,217858.0566,4072.492898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.0293963,1870.087973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.77089923,0
42,0,303.968,0,0,0,0,3436.492968,0,0,0,0,184.5956424,56.37776115,0,173.1978216,3.840312062,0,630.0645037,2077.274062,0,0,0,0,0,0,0,1742385.304,0,0,0,0,0,0,0,0,0,312.0795308,670.2035419,193.4966248,0,0,0,0,0,0,0,0,0,0,10998.75546,0,10262.23701,1227.845235,0,21.91505159,0,0,0,0,0,0,0,0,0,0,61855.55609,0,0,0,0,0,0,0
441,0,0,0,0,0,0,5.569680661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248796.8479,0,0,0,0,0,0,10.85595863,0,0,153.6472255,114.7016075,0,0,0,0,3341.250184,0,0,0,0,0,399.8473064,0,40.46377953,9.600040927,0,0,0,16.86357707,0,0,0,0,0,127.4962841,0,0,56334.55651,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0.9282801102,0,0,0,0,0,0,0,0,0,0,0,8182.239818,0,0,0,0,0,0,0,0,0,191022.7927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.4203059,0,0,0,0,0,248.1810867,0,4.150131234,4.800020463,0,78.13192306,0,0,0,0,0,0,0,23.61042299,0,11280.62687,8.483694069,0,0,0,0,0,0,0
452,0,0,0,0,0,0,1888.121744,0,0,0,0,0,0,0,0,0,0,0,2125.83629,0,0,0,0,0,0,0,0,0,0,212865.1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.46940381,0,0,189.1208063,0,70.50929642,0,0,585.1257292,0,0,0,0,0,0,6473.204659,2520.599771,0,0,0,0,0,0,0
4A0,207.1076777,0,0,0,0,0,4470.597011,0,0,0,0,0,0,0,0,0,0,1830.698256,14.86598804,0,105.2546147,0,14.78894943,0,0,0,0,0,0,0,827517.7893,0,0,0,0,0,0,1123.60425,15.95848452,0,496.9828541,31.68774884,0,230.1304588,0,0,0,0,0,2187.342038,0,1526.210761,2468.170522,0,845.1587287,0,117.1081741,206.1684616,0,0,0,0,252.1593175,0,14627.01519,11503.88916,0,0,0,0,0,0,0
481,0,658.912,0,0,0,0,7.426240881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.744133022,0,0,0,0,218299.4034,0,0,0,0,0,970.8996458,0,0,0,0,0,0,0,0,0,0,0,345.6807994,0,225.1446194,1256.645357,0,0,0,0,65.77755681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,0,0,0,0,0,0,1784.154372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78989.70366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.0445054,0,124.503937,27.84011869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,0,0,0,0,0,0,12.99592154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47880.62994,0,0,0,2315.077214,0,0,0,0,0,0,0,0,0,0,0,0,0,9.337795276,3.840016371,0,0,0,0,0,0,0,0,0,226.6600607,0,0,0,0,0,0,0,0,0,0
484,0,0,0,0,0,0,234.8548679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312512.455,0,0,10721.37143,5016.948571,0,0,0,0,0,0,0,0,0,0,306.2869761,0,74.7023622,83.52035606,0,0,3298.029424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,0,0,0,0,0,0,7.426240881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.853790299,0,0,0,4.748688124,0,0,0,0,63588.4331,0,32.04911452,0,0,0,0,0,0,0,0,0,0,2.82120095,0,0,1.037532808,10.56004502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,0,0,0,0,0,133.9885721,61.26648727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40932.72389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.12598425,16.32006958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
