,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,85101.50563,610.1428586,0,23.18542863,9.762285738,0,1880.46029,0,0,0,0,0,0,0,0,0,0,350.2220008,252852.9629,2367.354291,0,0,0,0,16261.52747,0,1020.15886,695.5628588,917.6548593,163.5182861,350.2220008,0,0,0,0,0,0,54.91285727,0,0,0,0,0,1.220285717,0,0,0,0,8.542000021,0,2.440571434,1.220285717,1011.61686,24.40571434,1465.563146,0,176.941429,0,0,0,0,0,457.607144,45.15057154,4001.316867,25.62600006,15.86371432,-244.0571434,0,3166.641436,0
113FF,22297.07363,5498.708246,0,57.4351375,0,0,0,11232.8064,0.9415596312,0,0,0,0,0,0,0,71.55853197,209.9677977,6777.346225,0,56.49357787,2518.672013,21.65587152,0,276.8185316,1297.469172,0,0,538.572109,0,0,0,0,0,0,0,0,0.9415596312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.7989904,14.12339447,0.9415596312,0,54.61045861,0,0,0,0,0,142.1755043,338.0199076,3591.108433,89.44816496,0,79.09100902,13.18183484,3201.302746,0
211,0,0,13226.27194,11.29806828,1.883011381,14853.19377,0,0,0,3.766022761,0,0,0,0,0,0,0,0,0,0,0,13.18107966,0,428042.381,8479.200247,0,5.649034142,7.532045523,0,1.883011381,35.77721623,0,0,0,0,0,11.29806828,0,139.3428422,56.49034142,1.883011381,3.766022761,15.06409105,0,0,0,0,0,551.7223345,0,0,0,62.13937556,0,0,1.883011381,497.1150045,41.42625037,0,5.649034142,3.766022761,0,52.72431866,3.766022761,1.883011381,47.07528452,0,0,2391.424453,0,23452.90675
212,1413.987907,0,64.75381756,9544.712708,63.57647542,4883.615186,14889.84601,14.12810565,9926.17156,9273.924016,548.641436,103.6061081,9.418737099,78.88192321,72.99521252,131.8623194,16.48278992,130.6849773,1430.470697,61.22179114,0,1782.495996,0,2593.684729,5643.000865,151.8771357,15.30544779,0,0,0,1.177342137,0,97.7193974,0,5.886710687,1.177342137,0,2.354684275,3.532026412,37.6749484,18.8374742,307.2862979,330.8331406,0,0,0,0,4.70936855,0,0,0,0,934.8096571,34.14292198,674.6170447,67.10850183,408.5377217,0,44.73900122,37.6749484,28.2562113,255.4832438,806.4793641,113.0248452,666.3756498,1315.091167,0,3021.059925,0,1913.180973,5495.833097
213,0,0,7554.880351,955.4066262,2082.648976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.71069478,0.9819184236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,8567.01219,87.12879498,3025.033444,3963.870684,548.2261257,15685.14105,9587.104374,2019.625888,3957.996833,5513.588465,4922.287429,2581.557667,2012.773062,814.5073868,3476.341022,2084.238253,693.114459,1005.407556,8250.803192,919.2577358,46.01183555,6010.907879,1417.556125,3895.342418,13587.19714,4907.602801,13387.4862,4373.082328,8118.641537,7170.99352,14344.92396,259.4284345,66.57031527,222.227376,3275.651101,188.9422183,686.2616324,1541.885979,4792.083724,1038.692713,505.1512159,4515.033735,1689.711238,3314.81011,1086.662499,508.0881415,2354.435415,307.3982205,51649.75387,1242.31956,672.5559792,470.887083,5075.986539,5150.388656,3085.729908,1114.073806,6160.691088,4047.083578,9306.138484,3746.538184,1283.436519,977.9962493,3229.639266,6245.861932,18538.85383,6311.453272,3503.752329,1289.310371,2558.062262,20418.48626,2957.484153
23,1456.478596,25.56827629,518.6707476,2631.706152,1521.312439,6806.640409,273.0326647,225.548723,669.3409472,685.7776962,1054.691397,672.9935581,361.608479,127.8413814,584.4177438,313.2113846,105.0125633,249.2906938,1192.577458,69.39960707,5.478916348,775.2666632,240.1591666,8198.285162,1509.441454,563.4152311,2424.420484,1004.467997,643.7726709,1324.071451,2457.293982,237.4197084,2081.075059,52.0497053,467.534195,281.2510392,602.6807983,1327.724062,760.6562196,110.4914797,83.09689794,2102.990725,335.1270499,5037.863582,1204.448444,422.7897115,132.4071451,68004.30971,43866.03059,531.4548857,137.8860614,45.65763623,1181.619626,540.586413,570.7204529,89.48896701,1502.136232,527.8022748,937.8078482,457.489515,366.1742426,184.4568504,389.9162134,2029.938507,1405.342043,2971.398966,8028.438755,825.4900631,561.5889257,27512.37844,45693.24919
321,324.1128911,35.91278571,0,64.64301428,59.25609643,1.795639286,36548.44202,18276.01665,261.2655161,244.2069429,134.6729464,699.4015018,285.5066464,242.4113036,3072.338818,274.7328107,5323.172662,861.0090375,243.3091232,43.09534286,0,3414.408102,1.795639286,0,169.6879125,1184.224109,2767.977959,99.65798036,326.80635,85.29286607,523.4288518,0,1985.07923,0,99.65798036,0,1.795639286,70.92775178,86.19068571,55.66481786,46.68662143,607.8238982,564.7285553,65.54083393,2.693458929,0,0,17.05857321,6674.391225,259.4698768,8.080376786,17.05857321,601.5391607,1.795639286,623.9846518,15.26293393,22.44549107,189.4399446,238.820025,2.693458929,764.0445161,3.591278571,137.3664054,391.4493643,474.9465911,313.3390554,16.16075357,49.38008036,2.693458929,2086.53285,202.9072393
327,2.673232303,53.46464605,303.8574051,244.155217,327.0254183,92.67205315,54630.17533,618.4077393,13298.43963,1723.343758,1203.845614,1416.81312,299.4020179,1439.090056,5583.491203,225.4425908,258.4124559,768.9998257,3923.413943,31.1877102,0,458.0138012,0.8910774342,1290.280125,1596.810762,1481.861773,215.6407391,125.6419182,41.88063941,214.7496616,425.0439361,0,8.910774342,0,59.70218809,0,0.8910774342,27.62340046,56.13787835,4.455387171,0.8910774342,2258.881296,392.074071,36.5341748,39.2074071,10.69292921,0,26.73232303,136.3348474,420.5885489,2.673232303,161.2850156,3520.646942,48.11818145,842.9592527,141.681312,76.63265934,1298.299822,1436.416824,123.8597634,271.7786174,8.019696908,134.5526926,72.17727217,1374.041403,1036.323056,61.48434296,449.1030268,0,1179.786523,2066.40857
331,69.60860825,0,2063.834175,482.3754432,263.7799892,6.106018268,4865.275356,221.0378613,1408.047813,64420.93513,75736.60819,37721.75966,5666.384953,16342.14729,44627.66632,9503.406832,3205.659591,5521.061718,2514.458323,305.3009134,0,848.7365392,18.3180548,15.8756475,45.18453518,1830.584277,489.7026651,4.884814614,0,0,652.122751,0,774.2431164,0,0,0,0,285.7616549,0,19.53925846,7.327221922,333.3885974,225.9226759,0,0,0,0,0,2287.314443,61.06018268,0,13.43324019,1243.185319,26.86648038,383.4579472,255.2315636,127.00518,152.6504567,56.17536807,10.99083288,184.4017517,12.21203654,240.5771198,18.3180548,75.71462652,736.3858031,105.0235142,479.9330359,0,323.6189682,473.8270176
