,x_reale,q_reale
111CA,461597.7536,456347.8091
113FF,48120.54667,55483.28439
211,363165.8128,315031.57
212,107043.4337,89080.0608
213,71532.34164,83357.01882
22,460032.7092,597029.9986
23,1377646.28,1461485.412
311FT,966236.5365,966109.2216
313TT,51006.43607,47534.33968
315AL,17734.03157,17919.37651
321,92851.85132,90395.1751
322,174597.221,172217.6386
323,84211.99313,68776.4148
324,854853.3907,869759.7897
325,802014.8884,747596.8005
326,229377.9193,224152.9695
327,111813.9082,107458.5921
331,249889.7303,246635.5111
332,340200.0873,322583.2694
333,340633.2211,323133.9469
334,365153.1145,311330.0969
335,124947.6687,121244.3335
3361MV,607153.2051,587104.556
3364OT,288304.3838,266677.3506
337,72178.26789,69290.72354
339,153122.97,138430.493
42,1842878.735,1857291.578
441,355902.7205,302144.9939
445,210153.5874,196568.5081
452,226574.7737,220264.063
481,228822.564,224677.6716
482,75605.02952,73984.37854
483,50079.62994,48489.96737
484,334369.9988,313956.8341
485,63473.3522,79420.44952
486,40386.76408,42373.74539
487OS,214990.0956,238488.0898
493,117089.0189,121643.3122
4A0,907812.2411,899002.316
511,363367.7901,288870.1464
512,146924.0731,146241.6699
513,882603.5539,760089.0537
514,321035.5843,276172.8277
521CI,803976.0459,725579.8758
523,441652.7574,445169.4694
524,927925.2361,930470.6438
525,135054.9824,157466.1272
532RL,337819.7812,430320.5901
5411,296406.8177,295995.0402
5412OP,1249919.785,1810112.199
5415,452647.9139,512687.5066
55,535927.5138,519328.6788
561,819522.1816,786159.9288
562,98080.74578,114324.968
61,322998.2993,344613.1816
621,987293.6635,1013691.988
622,771413.0264,943342.763
623,223790.6487,223999.7424
624,192454.026,194244.8345
711AS,166242.7471,154890.4384
713,133940.1647,188972.5394
721,246495.4318,205903.3971
722,701279.6302,816240.6411
81,630990.3739,760717.8629
GFE,94171.57242,71309.00664
GFGD,594871.4443,570427.1083
GFGN,377678.832,353424.9786
GSLE,322429.5374,94477.22812
GSLG,2075765.401,1600214.681
HS,1748037.831,1741016.282
ORE,1129464.425,1153517.717
Other,,3154.526733
Used,,8120.728609
