anno,tipo,fixed_assets,use_totale,use_riga_used,use_senza_used,nipa_535,scarto_fa_use,scarto_relativo,use_meno_nipa,nipa_535_strutture_nuove
2012,E,979963,983401,-102007,1085408,983401,-3438,-0.003496030612,0,
2012,S,461449,479436,-1375,480811,479435,-17987,-0.03751699914,1,466206
2012,N,655692,655691,0,655691,655691,1,1.525108626e-06,0,
2012,R,432015,432014,-1384,433398,432015,1,2.3147398e-06,-1,
2013,E,1034580,1035250,-104087,1139337,1035250,-670,-0.0006471866699,0,
2013,S,474125,491463,-2146,493609,491463,-17338,-0.03527834242,0,476854
2013,N,694570,694598,0,694598,694599,-28,-4.031108641e-05,-1,
2013,R,511361,511537,-623,512160,511538,-176,-0.0003440611334,-1,
2014,E,1105949,1109084,-106611,1215695,1109086,-3135,-0.002826656953,-2,
2014,S,555118,574607,-2011,576618,574608,-19489,-0.03391709464,-1,555449
2014,N,741394,741460,0,741460,741461,-66,-8.901356783e-05,-1,
2014,R,563649,564033,-800,564833,564034,-384,-0.0006808112291,-1,
2015,E,1130001,1144104,-101780,1245884,1144101,-14103,-0.0123266766,3,
2015,S,558117,584525,-2203,586728,584524,-26408,-0.04517856379,1,560158
2015,N,778769,778878,0,778878,778879,-109,-0.0001399448951,-1,
2015,R,640219,640856,-452,641308,640855,-637,-0.0009939830477,1,
2016,E,1101218,1119783,-108858,1228641,1119782,-18565,-0.01657910506,1,
2016,S,534382,566206,-2371,568577,566206,-31824,-0.05620569192,0,537586
2016,N,842853,843007,0,843007,843007,-154,-0.0001826793846,0,
2016,R,709296,710242,-71,710313,710242,-946,-0.001331940381,0,
