anno,industria_io,E,N,S
2012,111CA,46646,53,8364
2012,113FF,5893,65,389
2012,211,10868,2616,149235
2012,212,11870,435,10443
2012,213,20059,1269,2914
2012,22,61957,5475,60117
2012,23,32604,2786,1255
2012,311FT,18568,5960,3680
2012,313TT,1273,638,207
2012,315AL,438,599,53
2012,321,2164,166,390
2012,322,8354,1904,727
2012,323,2670,1409,196
2012,324,9327,8666,7496
2012,325,23306,69173,3765
2012,326,6776,2936,607
2012,327,3403,3491,722
2012,331,8734,2851,1142
2012,332,13394,4432,1354
2012,333,11366,12136,1779
2012,334,22479,74822,5291
2012,335,3028,4441,496
2012,3361MV,20616,17834,3864
2012,3364OT,5811,13272,1335
2012,337,1215,715,121
2012,339,5480,7292,857
2012,42,41821,21228,7646
2012,441,6182,1199,2107
2012,445,7721,1396,2023
2012,452,7792,3578,4397
2012,481,11965,992,889
2012,482,5280,760,8960
2012,483,4012,269,101
2012,484,21178,545,338
2012,485,2324,294,120
2012,486,3085,477,14282
2012,487OS,6143,1152,1653
2012,493,1428,384,305
2012,4A0,29903,9908,9317
2012,511,5817,50181,1052
2012,512,1874,27354,635
2012,513,74935,42947,15958
2012,514,14185,22224,1852
2012,521CI,73696,20221,5606
2012,523,5712,10111,1549
2012,524,8652,24290,1708
2012,525,197,808,129
2012,532RL,76242,995,622
2012,5411,3362,2133,341
2012,5412OP,26164,61363,4973
2012,5415,8078,17235,838
2012,55,9425,24888,3560
2012,561,16586,17653,1967
2012,562,4027,317,517
2012,61,9458,10195,14224
2012,621,29001,4513,5952
2012,622,44994,8720,24338
2012,623,2874,669,3195
2012,624,2084,583,1914
2012,711AS,3430,8020,3643
2012,713,5125,541,5535
2012,721,4670,1028,9148
2012,722,13689,801,3799
2012,81,15201,7551,6321
2012,ORE,13352,2733,23136
2013,111CA,54328,57,9097
2013,113FF,5760,73,342
2013,211,13975,3083,147400
2013,212,8183,396,10271
2013,213,15958,1058,7391
2013,22,60822,5744,55978
2013,23,37698,3107,1107
2013,311FT,18796,6524,4724
2013,313TT,1269,671,370
2013,315AL,561,687,63
2013,321,3062,227,696
2013,322,7191,2014,888
2013,323,2268,1353,241
2013,324,18395,10562,6859
2013,325,23533,74465,3932
2013,326,7547,3184,1290
2013,327,3635,3724,920
2013,331,8083,3037,1503
2013,332,12616,4611,2127
2013,333,11769,12884,2265
