anno,tipo,iterazioni,convergenza,scarto_righe,scarto_colonne,scala_colonne_use_su_fa,spostamento_relativo_da_struttura_iniziale,celle_negative,industrie_con_investimento
2012,E,18,True,0.0001579608652,2.910383046e-11,1.107601001,0.1114395188,0,65
2012,S,69,True,0.0002697518212,7.275957614e-12,1.041959133,0.06025649806,0,65
2012,N,26,True,0.0001765356865,1.455191523e-11,0.9915021077,0.251905751,0,65
2013,E,18,True,0.0002158759162,1.455191523e-11,1.101255582,0.1167980385,0,65
2013,S,59,True,0.0002643361222,2.910383046e-11,1.041094648,0.06635251788,0,65
2013,N,26,True,0.0002614618861,7.275957614e-12,0.9925363894,0.2569523891,0,65
2014,E,18,True,0.0001995348721,1.455191523e-11,1.099232424,0.1194004555,0,65
2014,S,55,True,0.000310319796,1.455191523e-11,1.038730504,0.07136804609,0,65
2014,N,25,True,0.0003587036626,1.455191523e-11,0.9930549748,0.2574446825,0,65
2015,E,19,True,0.0001076956396,1.455191523e-11,1.102551237,0.1248549272,0,65
2015,S,48,True,0.0004218895338,7.275957614e-12,1.051263445,0.08778377715,0,65
2015,N,25,True,0.0002810624428,1.455191523e-11,0.9938646762,0.2646216492,0,65
2016,E,18,True,0.0002365880646,1.455191523e-11,1.115710967,0.1431791225,0,65
2016,S,46,True,0.000377975055,1.455191523e-11,1.063989805,0.1059277811,0,65
2016,N,25,True,0.0002120099962,1.455191523e-11,0.9928991176,0.2680700541,0,65
