,phi_R
111CA,0
113FF,0
211,0
212,0
213,0
22,0
23,0.7239235068
321,0.006395968602
327,0
331,0
332,0
333,0
334,0.0006968190901
335,0.01168671752
3361MV,0
3364OT,0
337,0.0009944669795
339,0
311FT,0
313TT,0.0006898970461
315AL,0
322,0
323,0
324,0
325,0
326,4.845430759e-05
42,0.00403324427
441,4.614695961e-06
445,1.384408788e-05
452,0.0003461021971
4A0,0.01000927554
481,6.922043941e-06
482,6.460574345e-05
483,0
484,0.001499776187
485,0
486,0
487OS,0
493,0
511,0
512,0
513,0
514,0
521CI,0
523,0
524,0.01369641761
525,0
HS,0
ORE,0.1907069253
532RL,0
5411,0.03275049723
5415,0
5412OP,0.002431944771
55,0
561,0
562,0
61,0
621,0
622,0
623,0
624,0
711AS,0
713,0
721,0
722,0
81,0
GFGD,0
GFGN,0
GFE,0
GSLG,0
GSLE,0
