,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113FF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,8.482573132e-05,0.0001875449842,5.657125961e-05,9.817197655e-05,1.925693725e-05,0.0007006845968,0.0001267562077,0.0004932373199,0.001168390523,0.001090521964,0.003957991149,0.0007440249037,0.0003538310205,0.0005416688459,0.001513098569,0.0003581627569,0.00107665756,0.0005263457643,0.00207885281,0.001291867879,0.001827754752,0.000432804916,8.365862721e-05,0.0004788062399,0.0012927724,0.0009358561936,0.0004467373552,6.263111376e-05,0.000150807072,0.0002026670285,0.0001866563158,2.932109093e-05,1.807880462e-05,0.0001633025859,4.275858248e-05,1.066917105e-05,0.0001263754919,8.131975467e-05,0.000556186122,1.522248229e-05,1.50663875e-05,6.838266202e-05,1.532323549e-05,1.173944802e-05,1.504735669e-05,1.458449688e-05,1.525310668e-05,0,1.447491805e-05,0.0001617635791,1.410183116e-05,1.478361894e-05,8.767619796e-05,1.487206986e-05,3.991713766e-05,0.001041285752,3.153148744e-05,1.855887204e-05,2.546434142e-05,4.363700806e-05,0.0005405130766,7.50248497e-05,3.429265933e-05,3.46744049e-05,0.0001883689837,0.0001517697991,0,0,0,0,0
213,0.0001595210178,0.0001639612312,0.07255808871,0.03818404125,0.06021336021,0.005260842557,0.0005581550793,0.000164439494,0.001223273706,0.0004123123399,0.0003555713471,0.002232943433,0.000463551703,0.0003777543553,0.0001668046481,0.0001644829926,0.0001626154456,0.0003671630055,0.0001665450388,0.000168258398,0.000165457858,0.0001686565957,0.0001672238065,0.01842152487,0.0008775074531,0.0001680450313,0.0005930508572,0.0001386663394,0.0001639470093,0.0001647964887,0.0005953269115,0.0001595481906,0.0001622474364,0.0009330911046,0.0002674354441,0.0001181125908,0.05901038981,0.0001432598287,0.009832262654,0.0001685198235,0.000166791783,0.0001684804631,0.0001696352074,0.0001299610452,0.0008973520999,0.0008301888916,0.0001688588494,0,0.0001602439464,0.001145397361,0.0001561137043,0.0001636614061,0.001560788293,0.0001646405981,0.000149118847,0.0003106691133,0.0001663696189,0.0001690678261,0.000171544083,0.000160697246,0.000149935792,0.0001617723349,0.0001629690391,0.0001646561498,0.0001642425627,0.0002504022383,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,0.00300363503,0.006638321167,0.002002881181,0.003472567575,0.0006847656916,0.0247590029,0.00448363261,0.01788086452,0.04144884908,0.03857345264,0.1398412904,0.02632891896,0.01289359423,0.0192515312,0.05348642944,0.01267301151,0.03825759822,0.01867810586,0.07371200068,0.04642782753,0.06480249538,0.01583896615,0.003579404142,0.01718729107,0.04590778882,0.03382799713,0.01581484171,0.002252913002,0.00539521862,0.007218041845,0.006624291997,0.001052356315,0.000642480995,0.005774064625,0.001516529676,0.0003841645361,0.004470038176,0.002887319316,0.0196787629,0.000563197949,0.0005620849581,0.002421623849,0.0005773436531,0.0004486785952,0.0005416231708,0.0005224520073,0.0005414767006,0,0.0005337063047,0.005725843215,0.0005042837814,0.000527873586,0.003154617349,0.0005468442552,0.001424958322,0.03681686757,0.001142645026,0.0006612408193,0.000903453415,0.001568571193,0.01912349778,0.00271641589,0.001251779603,0.001256192331,0.006745185699,0.005396689523,0,0,0,0,0
