riga,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
4,0,0,0,0,0,0,0,0,0,0,0,0,0.5105920918,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1764597419,0.03237490673,0.0003203478433,0.003339922885,0.05316785471,9.229373056e-05,0.0006361882308,2.321854857e-06,0.004647192496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2183671379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0.5947114076,0.002654505854,0,0.002782126327,0,0,0,0,0,0,0,0,0,0,0.2629662401,0.006740804596,6.669987446e-05,0.0006954079504,0.01107012052,0.0001070248847,0.0007377312807,2.69244993e-06,0.005388938534,0,0,0,0,0,0,0.06210012252,0,0,0,0,0,0,0,0,0,0,0.04997617751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0.327069704,0,0,0,0.002753329882,0.3371299478,0,0,0,0,0,0,0,0,0.2664023156,0,0,0,0,0.0001258004336,0.0008671526746,3.164790783e-06,0.006334328752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05931425613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0.8151577503,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1161122542,0,0,0,0,0.0003207455822,0.002210925522,8.06907125e-06,0.01615024611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05004000914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0.6358413133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197127223,0.01161789345,0.0001149583887,0.001198547645,0.01907954442,0.0003122381497,0.002152283095,7.855047791e-06,0.01572187815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1168262654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0.3209900604,0.1416877802,0,0,0,0,0.0005846813487,0,0,0,0,0,0,0,0,0.1592282206,0.09860289543,0.000975669989,0.01017226303,0.1619311049,0.0001906446146,0.001314128916,4.796090933e-06,0.009599376003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09471837848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0.01790363097,0,0,0,0,0,0,0.6324731674,0.001918246175,0,0,0,0,0.0006394153916,0,0,0,0,0,0,0,0.130532085,0,0.1377483444,0,0,0,0,0.0003542788171,0.002442072852,8.912674644e-06,0.0178387183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05814112811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0.769489196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1497289456,0.0009421845935,9.322862457e-06,9.719947339e-05,0.001547307425,0.0003839259729,0.002646433122,9.658515042e-06,0.01933151786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05581430862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0.7757575758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1508318479,0,0,0,0,0.0003808537103,0.002625255764,9.581225416e-06,0.01917682267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05121806298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0.001445817972,0.6696787874,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003927805489,0.1380033254,0,0,0,0,0.0003341376622,0.002303238225,8.405978924e-06,0.01682456682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167473915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0.6790986014,0.004686972716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1373720456,0.01494216959,0.0001478519102,0.001541493064,0.02453885377,0.0003384697473,0.002333099642,8.514962196e-06,0.01704269684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1179492307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0.1160122799,0.6312813055,0,0,0,0,0,0,0,0,0,0,0,0,0.1830398018,0,0,0,0,0.0001788508187,0.001232833317,4.499391667e-06,0.009005532421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05924489686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9041627647,0,0,0,0,0,0,0,0,0,0,0,0.03119052654,0.01873441267,0.0001853759378,0.001932715795,0.03076668419,0.0002235699629,0.001541086033,5.624401582e-06,0.01125723977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8621685086,0,0,0,0,0,0,0,0,0,0,0,0.1260259807,6.254939532e-05,6.189226754e-07,6.452841968e-06,0.0001027220616,0.0001996409741,0.001376141557,5.022414443e-06,0.01005236251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787471695,0,0,0,0,0,0,0,0,0,0,0,0.1650369107,0.007499647871,7.420858509e-05,0.0007736932112,0.01231633474,0.0004603965537,0.003173551087,1.158230324e-05,0.02318197993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0.02748368225,0,0.0498373682,0.8756357921,0,0,0,0,0,0,0,0,0,0,0.03732890917,0,0,0,0,0.0001667097116,0.001149143673,4.19395501e-06,0.008394200952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9052971576,0,0,0,0,0,0,0,0,0,0,0.02248062016,0.02297650819,0.0002273512293,0.002370347076,0.03773328705,0.0001529888678,0.001054564774,3.848776549e-06,0.007703326263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8832667554,0,0,0,0,0,0,0,0,0,0,0.05159786951,0,0,0,0,0.0005093945615,0.003511298361,1.281495752e-05,0.02564913748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03545272969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6765296015,0.002311228507,0,0,0,0,0,0,0,0,0.1194219389,0.0139281959,0.0001378186987,0.001436887544,0.02287365032,0.001739106145,0.01198780085,4.375109798e-05,0.0875678226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06202219795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0.7124369426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1890977204,0,0,0,0,0.0003587078921,0.002472602828,9.024097914e-06,0.01806173197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07756327026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0.7420320519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2325560457,0,0,0,0,0.0003688912118,0.002542797284,9.280282058e-06,0.01857448454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003916449086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
