,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113FF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,0.01042277223,0.01042277223,0.8617078946,0.6606790716,0.4005298578,0.01193919599,0.017907613,0.01042277223,0.02521386689,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01916746451,0.01313202567,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01420825962,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01060668123,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0.01042277223,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.9434419526,0.9434419526,0.09188523199,0.2929781922,0.5532104053,0.941925045,0.9359547238,0.9434419526,0.9286461389,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9346944703,0.9407318347,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9396552574,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9432579849,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0.9434419526,0,0,0,0,0
321,0.0007760692598,0.0007760692598,0.0007806379777,0.0007795590865,0.0007781629052,0.0007760773982,0.0007761094298,0.0007760692598,0.0007761486414,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007761161912,0.0007760838,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760895759,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760702468,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0.0007760692598,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
