,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113FF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,1.417119593,1.161775116,0.1408964535,0.3068574894,0.05454018815,23.93049761,1.810245132,2.073027302,7.146782414,5.655092377,32.87285911,6.050580469,4.323578788,0.9473104333,7.699115778,1.479573157,0.8682251793,2.809452979,22.72586969,0.965098336,0.6202082698,2.140221048,0.09317663544,3.803679936,30.40576771,8.210250369,8.824661023,0.1533879645,1.302778786,0.4658072943,3.051706707,0.2291533586,0.08219509171,0.3110412828,0.5976316274,0.02783921834,0.5841544018,0.4287882877,1.418862206,0.06239923649,0.01617813587,2.416664746,0.2637384813,0.666415708,0.05783767601,0.1065418141,0.000984095801,0,0.1932294424,5.407663918,0.02133966426,0.04788779449,0.9526466629,0.08393955564,0.2907106163,4.066800122,0.1529825948,0.3311812342,1.038695672,0.08441595304,0.3849093397,0.1699111733,0.2358502928,0.1123725935,2.153696208,1.491198595,0,0,0,0,0
213,2.014066362,0.5478581755,134.9695573,129.4835278,164.1583214,226.0836647,16.27146084,0.2458174149,6.590688453,1.5742415,1.835069264,8.565876753,2.252033754,0.2504046345,1.251283867,0.410363189,0.09992126229,0.8670566486,1.555669004,0.08775567405,0.02536489331,0.5866761222,0.1767804781,191.8534337,19.87823323,0.7031651241,10.63590375,0.3272987121,0.5337550858,0.6098837466,8.920416846,1.257191917,0.5622298231,1.684313644,3.046662612,0.2161369042,494.6721506,0.4284773511,18.74784111,0.4844524596,0.1256031027,6.477115261,2.047601271,5.173889089,1.445097481,2.317699693,0.007640279882,0,1.500186282,62.32309861,0.1656759508,0.3717891617,10.28521533,0.651686246,1.203577967,0.742459099,0.567890219,2.094123088,3.620679235,0.2246923545,0.1204419202,0.3485207652,0.5495292721,0.3391582721,0.8489553982,2.982669445,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,82.55781414,67.60911042,8.201725933,17.8523879,3.204067381,1390.701443,105.4881645,122.1897466,416.1713098,328.8403901,1909.947421,351.9430791,257.1128219,55.33124612,447.9330437,86.08867329,50.78131652,163.7805439,1326.693719,57.15351457,36.1213416,129.5106243,6.995020376,224.6086344,1774.592888,485.0614918,514.1605103,9.152711546,76.37525516,27.67303909,178.48517,13.64377495,4.808037047,18.09438384,34.87822382,1.660376296,33.98572206,25.05183092,82.51547337,3.786952683,0.981543995,141.0867614,17.44378711,44.48004929,3.444241676,6.314686272,0.05751239833,0,11.87544751,315.2738528,1.257674839,2.83670325,56.96595811,5.089673062,17.20966157,236.4293082,9.201096196,19.42085131,60.59865249,4.996019773,22.43460709,10.34327069,14.07523284,6.81278012,126.2689644,87.3586728,0,0,0,0,0
333,12304.56392,4800.659328,1217.26022,2132.168356,1535.163114,12057.16357,12954.1292,1985.287113,3051.94179,4736.663117,6215.101697,4799.89411,4788.413169,1240.151543,10938.39793,1773.538774,554.5408856,2206.900975,10671.31689,668.2166344,87.21751582,5400.066312,1304.021819,6672.821423,14329.66516,5676.93735,7750.608087,534.7866153,3181.330562,1313.626371,5704.426848,430.2091165,126.53139,89.41929021,964.4954912,80.52315181,4772.209535,643.6257019,751.7756753,372.3390091,226.1180082,3999.714387,1575.646791,7754.287765,196.8989244,636.2461499,6.323385337,0,2221.663548,9471.21435,129.8261616,117.8413004,2453.89385,711.0340337,2540.76899,1539.630958,611.4286865,748.971019,995.3489598,355.6087337,185.7570036,787.6902433,2161.845268,707.8346069,5102.329026,3666.969158,0,0,0,0,0
