,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
111CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113FF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,54.04852049,4.242340548,59832.88085,4574.307679,2235.24456,705.0535598,32.7917904,4.615764464,32.03080961,6.960376917,13.02698512,11.60062819,15.98988963,3.636291899,16.30209651,13.19227111,1.640616547,6.274746121,41.32762055,1.236584114,0.287720066,5.962539241,1.756928914,81.74950013,69.03385325,12.89230764,113.8881725,22.01976761,32.94700841,38.87893914,118.1366348,12.04139085,57.10937226,0.930498937,9.360084702,4.927971344,93.71334561,9.231528928,10.13754105,15.2552852,6.146190347,115.4736937,73.52165943,56.69921812,23.49509816,25.58872077,0.2387464378,0,260.6866232,8.09289207,5.558506808,10.02122868,62.74738121,30.36977123,29.14543052,9.751873728,114.2371096,41.71940958,153.979209,22.20341871,14.50231567,34.96104888,78.26597967,105.8564975,39.99308918,73.08089678,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,8816.742885,692.0379226,7065.503109,1885.854131,2947.065518,91657.0043,2390.616152,752.9532376,1490.128869,1135.421527,2125.045742,1892.369211,2608.373815,593.1753623,2659.303013,2152.008259,267.6279412,1023.577014,6741.627728,201.7195676,46.93475089,972.6478162,286.6015639,5391.009089,7523.725169,2103.076284,18578.17246,3592.00636,5374.528282,6342.18304,19271.20899,1964.269255,9316.048745,151.7889816,1526.877321,803.8824354,11550.13085,1505.906475,1653.70101,2488.540409,1002.606168,18836.81289,11993.32677,9249.14176,3832.671785,4174.196994,38.94585712,0,42524.88153,1320.164695,906.7394427,1634.727387,10080.03606,4954.112748,4754.390404,1590.788472,18635.09333,6805.538879,25118.08062,3621.964712,2365.711167,5703.071539,12767.25085,17267.99388,6523.930373,11921.42673,0,0,0,0,0
321,9.787139281,0.7682056316,74.40175318,7.172731799,5.73962279,101.9044272,2.673924474,0.8358254636,1.679624947,1.260389326,2.358934465,2.100648877,2.895459033,0.65846197,2.951993647,2.388864554,0.2970838518,1.136234881,7.483630908,0.2239214107,0.05210052624,1.079700267,0.3181457666,6.038574409,8.377314022,2.334546984,20.62294022,3.98735304,5.966064516,7.040222174,21.39225437,2.180462449,10.3414002,0.1684953189,1.694929886,0.8923600772,12.84687403,1.671650927,1.835712159,2.762436413,1.112955922,20.91004737,13.31334724,10.26712924,4.254506803,4.63362127,0.04323235156,0,47.20529382,1.465465866,1.006537826,1.814650244,11.19053686,5.499376823,5.277672456,1.765875283,20.68612596,7.554576305,27.88264972,4.020608695,2.626088227,6.3307682,14.17245166,19.16855957,7.241973148,13.23353367,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3361MV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3364OT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
