anno,tipo,lambda,differenza_relativa_da_base
2012,E,0.2,0.1200776866
2012,E,1,0.7158479175
2012,S,0.2,0.1203768745
2012,S,1,0.7856260183
2012,N,0.2,0.1039788694
2012,N,1,0.6555399328
2013,E,0.2,0.1218327277
2013,E,1,0.7265850193
2013,S,0.2,0.1170094081
2013,S,1,0.7646586752
2013,N,0.2,0.1034043191
2013,N,1,0.645529435
2014,E,0.2,0.1204577857
2014,E,1,0.7182477583
2014,S,0.2,0.1182671448
2014,S,1,0.771029704
2014,N,0.2,0.1028896079
2014,N,1,0.6496101887
2015,E,0.2,0.1227516463
2015,E,1,0.7299636518
2015,S,0.2,0.09426303627
2015,S,1,0.6206874744
2015,N,0.2,0.1011230379
2015,N,1,0.6427683399
2016,E,0.2,0.1243247825
2016,E,1,0.7282112231
2016,S,0.2,0.05983075522
2016,S,1,0.3972634983
2016,N,0.2,0.1013188752
2016,N,1,0.6489796832
