industria_io,dissomiglianza_phi_1997,dissomiglianza_comune_1997,investimento_2012,phi_piu_vicina
111CA,0.2397510374,0.429209359,60380.10249,True
113FF,0.3115849933,0.3595198302,6932.414803,True
211,0.1419424507,0.6273440217,167534.1789,True
212,0.2905934513,0.3135057682,24028.40311,True
213,0.2370653374,0.3277914154,25253.6374,True
22,0.2462641958,0.4231175168,131263.0924,True
23,0.242467143,0.4576580064,37419.88176,True
311FT,0.1587694888,0.3014476764,24400.345,True
313TT,0.2061632374,0.4630534336,1625.661615,True
315AL,0.3329170954,0.3383582519,540.3530726,True
321,0.139020237,0.3369100606,2803.212629,True
322,0.1506520693,0.4580356022,10010.40305,True
323,0.1864014014,0.3289204493,3161.518663,True
324,0.3643478399,0.4114449193,18141.1202,True
325,0.2223138145,0.2909572826,29736.72507,True
326,0.1908294029,0.5020370517,8137.573578,True
327,0.1639006257,0.3462596943,4521.460701,True
331,0.1332532296,0.4163248716,10863.70448,True
332,0.2507977041,0.4065455118,16246.02048,True
333,0.1496297747,0.3431707381,14442.63828,True
334,0.2286703456,0.3563103568,30410.76868,True
335,0.2405451994,0.3482913679,3870.627562,True
3361MV,0.2064421755,0.3984910781,26860.43233,True
3364OT,0.3324203846,0.3113739238,7827.284861,False
337,0.2249999148,0.3333924555,1471.812272,True
339,0.2524695663,0.3569050006,6962.612464,True
42,0.1849332122,0.2801389349,54287.80101,True
481,0.3414666991,0.5892270575,14178.74765,True
482,0.2072418847,0.5842255081,15184.08712,True
483,0.4915242439,0.6410160151,4548.93309,True
484,0.1971612146,0.4387096447,23808.95619,True
485,0.2476668888,0.4412673496,2699.099823,True
486,0.3339199572,0.5181132109,18298.20943,True
487OS,0.2285101651,0.4034138671,8526.351398,True
493,0.1929758972,0.2101047427,1899.451765,True
511,0.310756747,0.2329326271,7539.056032,False
512,0.270548703,0.3152325653,2737.288326,True
513,0.1918040199,0.4645026917,99625.66488,True
514,0.2739746459,0.3836206048,17641.02852,True
521CI,0.6258901824,0.4424189582,87466.98629,False
523,0.1987003601,0.3923483014,7940.611616,True
524,0.2368574971,0.3323656704,11362.63006,True
525,0.538944508,0.7014064253,352.6101254,True
532RL,0.3701049706,0.6919220833,85093.81412,True
5411,0.1840676753,0.3981573463,4079.062631,True
5412OP,0.1856023721,0.303555069,34160.93537,True
5415,0.2689403847,0.4325470412,9820.362642,True
55,0.2015823815,0.3349741336,14148.51395,True
561,0.213502226,0.2892113224,20420.20382,True
562,0.3888391756,0.3595431451,4999.002104,False
61,0.1316453673,0.4937243014,25296.51698,True
621,0.2439934165,0.5721579711,38323.2774,True
622,0.3707807398,0.5980537683,75194.60083,True
623,0.5415509072,0.4686894551,6512.304708,False
624,0.1546635446,0.3661054459,4302.550267,True
711AS,0.2282638606,0.4999999192,7594.928556,True
713,0.2318893935,0.5001434202,11443.69893,True
721,0.6309289669,0.4256647708,14704.33883,False
722,0.2182492526,0.323225444,19120.35285,True
81,0.1937611669,0.3343748855,23422.8665,True
ORE,0.3307344153,0.6200704954,38895.45507,True
RET,0.3318421165,0.394530464,75742.71523,True
