industria_io,tipo,delta_2012_2016
111CA,E,0.1450804608
111CA,N,0.7067080578
111CA,S,0.02428554516
113FF,E,0.1347475492
113FF,N,0.6642470575
113FF,S,0.02509113414
211,E,0.140941034
211,N,0.2459384321
211,S,0.07353862932
212,E,0.1538280279
212,N,0.2472042193
212,S,0.04100159883
213,E,0.1397054519
213,N,0.3984085903
213,S,0.05970389009
22,E,0.07595386547
22,N,0.5291060775
22,S,0.02272877016
23,E,0.1718876935
23,N,0.3765681856
23,S,0.02598900268
311FT,E,0.1016051689
311FT,N,0.2259033878
311FT,S,0.03114710103
313TT,E,0.111663873
313TT,N,0.2220246989
313TT,S,0.03044768447
315AL,E,0.12461646
315AL,N,0.2118399807
315AL,S,0.02889591339
321,E,0.1533389748
321,N,0.3232215387
321,S,0.03104154035
322,E,0.112071964
322,N,0.2281745748
322,S,0.03122195459
323,E,0.1277488006
323,N,0.2848466394
323,S,0.03077373745
324,E,0.09497089102
324,N,0.2089781997
324,S,0.03160431596
325,E,0.1237560514
325,N,0.1211478963
325,S,0.0308301514
326,E,0.1344060946
326,N,0.2165322
326,S,0.03132172538
327,E,0.1133177361
327,N,0.1853278665
327,S,0.03118341972
331,E,0.07678748131
331,N,0.197303685
331,S,0.03080124572
332,E,0.09436238549
332,N,0.2068149197
332,S,0.03085858467
333,E,0.09291512477
333,N,0.2041467659
333,S,0.03030314455
334,E,0.139099927
334,N,0.3342588152
334,S,0.03052510103
335,E,0.1246374868
335,N,0.1967883199
335,S,0.0293632301
3361MV,E,0.1461159787
3361MV,N,0.3873522145
3361MV,S,0.03154108129
3364OT,E,0.1265793465
3364OT,N,0.2606755915
3364OT,S,0.03100434618
337,E,0.1433174525
337,N,0.2574636152
337,S,0.03061336847
339,E,0.1474481818
339,N,0.2145522023
339,S,0.03083659209
42,E,0.1626230161
42,N,0.386815007
42,S,0.02541906451
441,E,0.17337118
441,N,0.3309384651
441,S,0.0255536502
445,E,0.1456009144
445,N,0.3444865243
445,S,0.02585008164
452,E,0.1567919495
452,N,0.495514374
452,S,0.02573344436
481,E,0.077736837
481,N,0.4657578798
481,S,0.0233936534
482,E,0.08385947411
482,N,0.4845165848
482,S,0.02196364898
483,E,0.07389255479
483,N,0.7035846346
483,S,0.02501636864
484,E,0.1845822421
484,N,0.5096971103
484,S,0.02886483628
485,E,0.150853922
485,N,0.5357734285
485,S,0.02391571011
486,E,0.1549230122
486,N,0.5293032045
486,S,0.02695964352
487OS,E,0.1173925915
487OS,N,0.515403347
487OS,S,0.02117530869
493,E,0.1531569044
493,N,0.5284000613
493,S,0.02333847633
4A0,E,0.1627190437
4A0,N,0.4213798974
4A0,S,0.02601385301
511,E,0.2287216338
511,N,0.2376605756
511,S,0.02770151607
512,E,0.1606740017
512,N,0.1291643053
512,S,0.02830047268
513,E,0.1332203989
513,N,0.2318402424
513,S,0.02470111002
514,E,0.2733756545
514,N,0.3652273313
514,S,0.02755935557
521CI,E,0.1714008521
521CI,N,0.5073590128
521CI,S,0.02525099209
523,E,0.1803279572
523,N,0.4863181817
523,S,0.02563427664
524,E,0.1873245496
524,N,0.5022982068
524,S,0.02582492884
525,E,0.1640138672
525,N,0.4578638793
525,S,0.02471443027
532RL,E,0.1481093578
532RL,N,0.6060025482
532RL,S,0.0268980366
5411,E,0.2004529967
5411,N,0.5702851592
5411,S,0.02518055388
5412OP,E,0.1774144333
5412OP,N,0.2434405694
5412OP,S,0.02722586598
5415,E,0.2791253092
5415,N,0.4683221403
5415,S,0.02545539239
55,E,0.165656834
55,N,0.431618712
55,S,0.02549327591
561,E,0.186990558
561,N,0.482050891
561,S,0.02489320451
562,E,0.153937521
562,N,0.3401863696
562,S,0.02334299418
61,E,0.1760536483
61,N,0.3038242262
61,S,0.01958749281
621,E,0.1777918876
621,N,0.3286878001
621,S,0.02316916891
622,E,0.1733883652
622,N,0.3777165469
622,S,0.01928476277
623,E,0.1542011943
623,N,0.290375122
623,S,0.0216403747
624,E,0.1774853494
624,N,0.4870271352
624,S,0.02424474721
711AS,E,0.1608207294
711AS,N,0.1790389994
711AS,S,0.02601644895
713,E,0.1628135506
713,N,0.438112497
713,S,0.02945056032
721,E,0.1497727097
721,N,0.3757606613
721,S,0.02816998537
722,E,0.1541209629
722,N,0.4477001544
722,S,0.02666826921
81,E,0.1613468521
81,N,0.2655839825
81,S,0.02125410578
HS,R,0.02312154084
ORE,E,0.171364795
ORE,N,0.6219138496
ORE,S,0.02619980896
