tipo,anno,K_inizio,I,D,K_fine,altre,altre_abs,altre_rel_aggregato,altre_abs_rel,delta_aggregato
E,2012,5482556.292,979968,761325,5697245,-3954.292003,4943.888496,-0.0007212496858,0.0009017487889,0.1388631433
E,2013,5697245,1040300.973,797143.6583,5939767.384,-634.9304167,2241.712677,-0.0001114451663,0.0003934731044,0.1399173913
E,2014,5939767.384,1120873.196,835869.6517,6224301.94,-468.9877969,2557.205694,-7.89572666e-05,0.0004305228688,0.1407243075
E,2015,6224301.94,1162908.353,876545.3294,6509759.35,-905.614614,2663.307343,-0.000145496575,0.0004278885196,0.1408262867
E,2016,6509759.35,1160192.713,914462.3597,6754034.715,-1454.987937,2970.381523,-0.0002235087134,0.0004562966715,0.1404756014
N,2012,2308266.901,655697,570847,2392597,-519.9011348,556.212155,-0.0002252344105,0.0002409652691,0.2473054566
N,2013,2392597,694359.0635,599720.0562,2486697.176,-538.8311181,607.1972169,-0.0002252076376,0.000253781651,0.2506565277
N,2014,2486697.176,736341.9464,631055.1353,2591449.439,-534.5483687,641.4098434,-0.0002149631945,0.0002579364506,0.25377241
N,2015,2591449.439,771841.0725,664515.5132,2698174.801,-600.1969102,707.4881749,-0.000231606645,0.000273008674,0.2564261927
N,2016,2698174.801,845530.7864,704906.3806,2838099.865,-699.3423717,841.6716266,-0.0002591909062,0.0003119411041,0.2612530442
R,2012,16320951.31,432014,375646,16352383,-24936.30646,24936.30646,-0.001527870894,0.001527870894,0.02301618288
R,2013,16352383,486640.999,377479.4183,16463188.83,1644.249277,1644.249277,0.0001005510497,0.0001005510497,0.02308406171
R,2014,16463188.83,508117.5307,380481.9834,16592587.93,1763.54802,1763.54802,0.0001071206823,0.0001071206823,0.02311107449
R,2015,16592587.93,562300.0943,384245.9467,16773355.08,2713.005663,2713.005663,0.0001635070837,0.0001635070837,0.02315768634
R,2016,16773355.08,602432.4513,389730.792,16989365.43,3308.687466,3308.687466,0.000197258536,0.000197258536,0.02323511248
S,2012,12034737.19,461451,374079,12111938,-10171.19489,10662.67848,-0.0008451530534,0.0008859918008,0.0310832712
S,2013,12111938,467901.3577,378018.8155,12201779.95,-40.59491013,1020.082819,-3.351644479e-06,8.422127151e-05,0.03121043185
S,2014,12201779.95,519251.3389,382784.8232,12338341.92,95.45820348,1080.924419,7.82330151e-06,8.858743752e-05,0.0313712282
S,2015,12338341.92,515258.7226,387005.1068,12467247.91,652.3705634,1160.314952,5.287343855e-05,9.404140036e-05,0.03136605464
S,2016,12467247.91,494671.2135,388434.3738,12574478,993.2570952,1461.809788,7.966931455e-05,0.0001172520029,0.03115638484
