industria_io,tipo,anno,K_corrente,K_2012,I_corrente,I_2012,D_corrente,D_2012,K_inizio_2012,altre_variazioni_2012,delta,altre_variazioni_rel
111CA,E,2011,208803,210815.1004,35925,36562.64626,28706,29207.30601,,,,
111CA,E,2012,226602,226602,46648,46647,30931,30931,210815.1004,70.89955683,0.1467209888,0.0003363115672
111CA,E,2013,249857,247042.3446,54325,53931.29386,33835,33594.01772,226602,103.0684175,0.1482511969,0.0004548433709
111CA,E,2014,272805,267241.2247,57856,56664.84737,37313,36557.59513,247042.3446,91.62786501,0.1479810888,0.0003708994309
111CA,E,2015,275638,269134.9078,41147,40058.88513,39184,38183.68337,267241.2247,18.4813358,0.1428809624,6.915600624e-05
111CA,E,2016,270427,262159.769,31912,30898.84307,39013,37853.09189,269134.9078,-20.88991435,0.1406472769,-7.761874715e-05
111CA,N,2011,59,56.86190476,43,41.38461538,39,37.35483871,,,,
111CA,N,2012,67,67,53,53,41,41,56.86190476,-1.861904762,0.7210451386,-0.03274432627
111CA,N,2013,75,77.07619048,56,58.8974359,47,48.96774194,67,0.1464965142,0.7308618199,0.002186515138
111CA,N,2014,85,90.68571429,68,72.69230769,54,56.93548387,77.07619048,-2.147300012,0.7386909436,-0.02785944659
111CA,N,2015,78,83.94761905,50,55.53846154,55,60.41935484,90.68571429,-1.857201938,0.6662499746,-0.02047954248
111CA,N,2016,73,81.74285714,49,55.53846154,52,58.09677419,83.94761905,0.3535507503,0.6920598208,0.004211563762
111CA,S,2011,246974,253487.8801,7337,7605.135412,5959,6054.822239,,,,
111CA,S,2012,255724,255724,8364,8364,6117,6117,253487.8801,-10.88005928,0.02413133124,-4.29214181e-05
111CA,S,2013,273302,258342.5764,9097,8797.736236,6459,6189.521665,255724,10.36186256,0.02420391385,4.051971092e-05
111CA,S,2014,290481,263665.0356,12387,11612.15754,6920,6302.913674,258342.5764,13.21531334,0.02439750258,5.115422134e-05
111CA,S,2015,300147,265462.4657,8969,8223.485611,7248,6409.393447,263665.0356,-16.66206366,0.02430884866,-6.319405839e-05
111CA,S,2016,317464,267129.1136,8829,8180.099923,7584,6471.799463,265462.4657,-41.65261011,0.02437933908,-0.000156905836
113FF,E,2011,33502,33957.36731,5683,5797.038513,4354,4447.081966,,,,
113FF,E,2012,35251,35251,5892,5892,4604,4604,33957.36731,5.632690854,0.1355817711,0.0001658753696
113FF,E,2013,36579,36235.18402,5761,5702.304744,4772,4728.140242,35251,10.0195213,0.134127833,0.0002842336756
113FF,E,2014,38890,38154.49651,6965,6803.213117,5006,4901.12974,36235.18402,17.2291129,0.1352588616,0.0004754802098
113FF,E,2015,40220,39395.16712,6498,6314.001207,5225,5090.145032,38154.49651,16.81443006,0.1334087853,0.0004406932758
113FF,E,2016,43258,42070.36096,8244,7974.332108,5491,5334.472214,39395.16712,35.33394323,0.1354093054,0.0008969106064
113FF,N,2011,140,135.3743207,80,77.42524917,93,91.31680162,,,,
113FF,N,2012,120,120,65,65,81,81,135.3743207,0.6256793478,0.5983409528,0.004621846631
113FF,N,2013,119,120.5461957,73,75.71428571,73,75.13461538,120,-0.0334746775,0.6261217949,-0.0002789556458
113FF,N,2014,146,151.3654891,109,114.6760797,78,82.74392713,120.5461957,-1.11285913,0.6864084485,-0.009231806317
113FF,N,2015,170,178.6440217,117,126.7358804,90,98.32388664,151.3654891,-1.13346115,0.6495792879,-0.007488240264
113FF,N,2016,253,269.5339674,205,225.9302326,119,131.7095142,178.6440217,-3.330772736,0.7372735616,-0.01864474783
113FF,S,2011,18247,18683.30894,501,516.9395149,451,464.2129456,,,,
113FF,S,2012,18602,18602,389,389,465,465,18683.30894,-5.308939492,0.02488852491,-0.0002841541351
113FF,S,2013,19035,18470.66186,341,333.4636079,475,464.3070284,18602,-0.4947145118,0.02496005959,-2.659469476e-05
113FF,S,2014,19730,18698.69156,732,695.1687904,491,464.3479202,18470.66186,-2.791176699,0.02513975534,-0.0001511140597
113FF,S,2015,20149,18891.71726,713,664.4773069,508,469.8084088,18698.69156,-1.643201081,0.02512520233,-8.787786436e-05
113FF,S,2016,20643,19049.21142,693,637.1148043,517,478.7031754,18891.71726,-0.917469305,0.02533931505,-4.856463246e-05
211,E,2011,53505,54152.60434,8817,9018.760878,7055,7199.059891,,,,
211,E,2012,57402,57402,10867,10867,7648,7648,54152.60434,30.39565561,0.1412305113,0.0005612962844
211,E,2013,63243,62923.21188,13975,13874.27425,8437,8383.71538,57402,30.65300526,0.1460526703,0.0005340058754
211,E,2014,65378,64697.38075,10904,10752.39056,9110,8991.978459,62923.21188,13.75676118,0.1429039966,0.000218627765
