industria_io,anno,K_cap,K_somma
111CA,2012,464359.8424,464359.8424
111CA,2013,489879.0645,482393
111CA,2014,522748.3276,505461.9972
111CA,2015,556768.8569,530996.946
111CA,2016,560629.625,534681.3211
113FF,2012,52776.05057,52776.05057
113FF,2013,54334.58066,53973
113FF,2014,55548.41001,54826.39208
113FF,2015,58274.55921,57004.55356
113FF,2016,60092.56436,58465.5284
211,2012,1527377.93,1527377.93
211,2013,1572422.265,1571192
211,2014,1617491.754,1613196.575
211,2015,1665398.451,1660778.897
211,2016,1661785.313,1656036.362
212,2012,155838.4134,155838.4134
212,2013,167545.1323,166793
212,2014,172857.7946,172547.9315
212,2015,176134.3237,176211.3483
212,2016,179199.4993,180079.8512
213,2012,127438.1507,127438.1507
213,2013,139198.0855,137325
213,2014,147469.0953,145787.6372
213,2015,156948.9662,154846.9837
213,2016,156222.8559,154931.383
22,2012,2013496.984,2013496.984
22,2013,2073760.432,2063721
22,2014,2125669.479,2106133.562
22,2015,2192287.085,2162605.666
22,2016,2269758.204,2229136.97
23,2012,276644.9657,276644.9657
23,2013,278663.4373,277862
23,2014,285027.7483,282941.1287
23,2015,290929.6155,287965.257
23,2016,300447.8537,296023.6964
311FT,2012,299739.6023,299739.6023
311FT,2013,304401.2139,303780
311FT,2014,310144.7626,308944.9398
311FT,2015,317187.3094,315533.4912
311FT,2016,325875.4938,323652.8271
313TT,2012,42046.64143,42046.64143
313TT,2013,41237.15826,41075
313TT,2014,40621.65293,40348.55432
313TT,2015,40314.70467,39861.4497
313TT,2016,39711.28234,39157.11083
315AL,2012,18545.12716,18545.12716
315AL,2013,18448.03081,18195
315AL,2014,18682.59952,18041.87482
315AL,2015,18397.61731,17625.68184
315AL,2016,18156.19986,17248.31023
321,2012,38185.08952,38185.08952
321,2013,37666.66031,37663
321,2014,38577.9271,38342.24508
321,2015,40164.36002,39495.24079
321,2016,41456.3446,40396.18491
322,2012,113106.5899,113106.5899
322,2013,114127.9169,113728
322,2014,113970.2646,113319.4259
322,2015,116271.0575,115271.5331
322,2016,117725.1392,116483.945
323,2012,50347.22054,50347.22054
323,2013,49499.43986,49315
323,2014,48237.96137,47980.10069
323,2015,47512.04984,47131.72378
323,2016,46463.89936,46036.7913
324,2012,204134.4036,204134.4036
324,2013,210236.5725,210490
324,2014,225509.1276,225761.0961
324,2015,230269.2545,230853.6582
324,2016,235044.3407,235980.7793
325,2012,765261.2507,765261.2507
325,2013,784042.3225,782680
325,2014,805345.4595,802529.8447
325,2015,835065.0177,831149.1071
325,2016,873622.2946,868366.0099
326,2012,93897.00331,93897.00331
326,2013,94111.27319,93881
326,2014,95778.4905,95397.03821
326,2015,98937.00668,98392.26956
326,2016,101272.1469,100534.1971
327,2012,91344.7279,91344.7279
327,2013,90505.56884,90251
327,2014,90299.97921,89789.50343
327,2015,91369.86083,90648.3227
327,2016,92971.61641,92113.1673
331,2012,169217.1972,169217.1972
331,2013,170946.0324,170406
331,2014,172297.5086,171287.4457
331,2015,171914.0694,170543.9547
331,2016,170840.2954,169139.9822
332,2012,169896.5821,169896.5821
332,2013,175033.7932,174466
332,2014,179568.8095,178638.8327
332,2015,183307.1973,182060.5282
332,2016,185800.9085,184296.3927
333,2012,213669.2685,213669.2685
333,2013,218249.4426,217590
333,2014,223642.2082,222350.237
333,2015,226648.219,224938.8872
333,2016,227863.3268,225850.7673
334,2012,496629.1363,496629.1363
334,2013,505102.9108,503593
334,2014,512624.9607,510811.0124
334,2015,522057.0411,516265.2053
334,2016,527429.4468,519721.5041
335,2012,68903.43678,68903.43678
335,2013,69754.19802,69455
335,2014,70707.70722,70100.75617
335,2015,71671.21042,70815.53777
335,2016,72808.18949,71721.42945
3361MV,2012,195723.2426,195723.2426
3361MV,2013,205037.7835,205337
3361MV,2014,216665.0151,216697.5529
3361MV,2015,229301.4966,228400.7943
3361MV,2016,238858.1707,237549.4943
3364OT,2012,157629.4619,157629.4619
3364OT,2013,154747.7222,155440
3364OT,2014,156202.2715,156738.6355
3364OT,2015,157011.9051,157533.0784
3364OT,2016,159289.8322,159573.6897
337,2012,21863.91076,21863.91076
337,2013,21924.27671,21738
337,2014,21887.05211,21592.30241
337,2015,21816.62647,21461.85238
337,2016,22271.31972,21711.31349
339,2012,93737.8663,93737.8663
339,2013,96000.12438,95585
339,2014,98247.12874,97419.93795
339,2015,100713.3311,99550.75052
339,2016,104133.6229,102584.484
42,2012,520943.0135,520943.0135
42,2013,533500.3887,531973
42,2014,537484.6768,535532.359
42,2015,557495.1821,553478.4233
42,2016,573272.309,569076.6702
441,2012,190023.8492,190023.8492
441,2013,191870.2771,189608
441,2014,191445.6994,188841.9901
441,2015,192664.1881,188230.8641
441,2016,193469.9688,187712.8093
445,2012,221901.7501,221901.7501
445,2013,219765.7491,219148
445,2014,217862.5551,216843.0167
445,2015,218490.4287,216553.6797
445,2016,220607.6971,217228.6043
452,2012,204055.0368,204055.0368
452,2013,209459.8411,206361
452,2014,215560.4603,209950.0238
452,2015,219901.1863,212866.7394
452,2016,231884.5274,219577.8175
481,2012,226990.1264,226990.1264
481,2013,226109.3731,225599
481,2014,229779.0647,228208.1564
481,2015,236143.3852,233195.5635
481,2016,242708.7847,238510.7115
482,2012,374820.5267,374820.5267
482,2013,381919.3872,378224
482,2014,389711.7155,382237.1696
482,2015,406249.7321,389986.9796
482,2016,427433.6683,400136.6665
483,2012,44531.62129,44531.62129
483,2013,45995.17053,45689
483,2014,48530.9923,47440.89757
483,2015,53818.59958,50515.81653
483,2016,60531.09955,54241.53017
484,2012,113640.0155,113640.0155
484,2013,118612.0291,117971
484,2014,121699.9614,120642.0943
484,2015,130674.1453,128565.4143
484,2016,137886.1012,135024.7594
485,2012,43025.5837,43025.5837
485,2013,42725.57659,42546
485,2014,44663.56515,43934.85462
485,2015,44174.16458,43424.17754
485,2016,45954.74704,44772.90085
486,2012,180524.7246,180524.7246
486,2013,188179.4487,190032
486,2014,204269.2783,203580.7113
486,2015,230212.8287,223514.8165
486,2016,242567.9657,235886.3878
487OS,2012,129009.7034,129009.7034
487OS,2013,128291.1049,128265
487OS,2014,123972.5146,125060.0268
487OS,2015,126581.9885,126295.3217
487OS,2016,133826.6524,130972.9951
493,2012,42216.03926,42216.03926
493,2013,42382.59251,42032
493,2014,43285.44376,42749.94613
493,2015,47059.28492,45346.90246
493,2016,48251.04504,46329.73114
4A0,2012,583723.767,583723.767
4A0,2013,596049.0922,588734
4A0,2014,607305.9779,593965.8636
4A0,2015,631089.2251,608038.7966
4A0,2016,651472.8431,621044.678
511,2012,270384.0161,270384.0161
511,2013,274747.2499,274206
511,2014,285577.3211,284068.5942
511,2015,300131.1208,297628.657
511,2016,304453.5916,302118.7389
512,2012,259520.6515,259520.6515
512,2013,259121.8042,258963
512,2014,262464.6184,262029.5236
512,2015,264994.5492,264203.5134
512,2016,270359.2399,269311.2031
513,2012,1243668.545,1243668.545
513,2013,1298655.815,1280551
513,2014,1353549.487,1320057.176
513,2015,1425855.775,1370662.338
513,2016,1514627.201,1435052.768
514,2012,110186.1907,110186.1907
514,2013,121308.9858,121059
514,2014,143873.7839,143139.2372
514,2015,171066.1437,170982.0353
514,2016,200092.203,201599.8159
521CI,2012,754721.7058,754721.7058
521CI,2013,773577.6754,767113
521CI,2014,795084.7208,783235.9229
521CI,2015,827159.8707,808284.9557
521CI,2016,871187.8009,841373.869
523,2012,156216.6614,156216.6614
523,2013,155466.6239,154740
523,2014,160483.0717,155210.7584
523,2015,168215.9444,156764.4694
523,2016,178861.3405,160131.1972
524,2012,241200.8458,241200.8458
524,2013,245612.7739,242957
524,2014,253226.4275,247528.0486
524,2015,258484.1165,251121.6398
524,2016,268875.3353,259413.5902
525,2012,40840.70994,40840.70994
525,2013,41389.19719,40429
525,2014,39877.69316,39244.35281
525,2015,38711.13878,38199.83348
525,2016,38141.00012,37359.11129
532RL,2012,374845.2867,374845.2867
532RL,2013,400484.4167,399777
532RL,2014,419246.6372,417633.3468
532RL,2015,443732.6041,440711.8306
532RL,2016,475093.3451,470253.0996
5411,2012,42924.14343,42924.14343
5411,2013,43449.27766,43277
5411,2014,44221.9587,43903.22432
5411,2015,43705.86971,43430.38611
5411,2016,44160.02101,43798.48169
5412OP,2012,448222.8721,448222.8721
5412OP,2013,465303.0524,464042
5412OP,2014,477461.1512,475485.6492
