industria_io,anno,K_cap,K_somma,x_reale,kappa,u_implicito,serie_g17,u,metodo_g17,crescita_Kcap,crescita_cap_g17,scarto_u
211,2012,1527377.93,1527377.93,362616,3.678034539,0.8732050833,G21,0.8732050833,fisico,1,1,0
211,2013,1572422.265,1571192,391494.883,3.678034539,0.9157411046,G21,0.8500951667,fisico,1.029491283,1.090838485,0.06564593791
211,2014,1617491.754,1613196.575,426753.7306,3.678034539,0.9704005955,G21,0.8639435833,fisico,1.058999035,1.185905758,0.1064570122
211,2015,1665398.451,1660778.897,385427.7226,3.678034539,0.851217602,G21,0.7668818333,fisico,1.090364355,1.256571479,0.08433576862
211,2016,1661785.313,1656036.362,363165.8128,3.678034539,0.8037960093,G21,0.6682450833,fisico,1.087998773,1.262107014,0.1355509259
212,2012,155838.4134,155838.4134,124611,1.092029554,0.8732050833,G21,0.8732050833,fisico,1,1,1.110223025e-16
212,2013,167545.1323,166793,118973.5655,1.092029554,0.7754486683,G21,0.8500951667,fisico,1.075120881,1.090838485,-0.0746464984
212,2014,172857.7946,172547.9315,122462.4409,1.092029554,0.7736567799,G21,0.8639435833,fisico,1.10921172,1.185905758,-0.09028680343
212,2015,176134.3237,176211.3483,116082.9032,1.092029554,0.7197118561,G21,0.7668818333,fisico,1.13023689,1.256571479,-0.04716997726
212,2016,179199.4993,180079.8512,107043.4337,1.092029554,0.6523154007,G21,0.6682450833,fisico,1.149905825,1.262107014,-0.0159296826
213,2012,127438.1507,127438.1507,126190,0.8818419919,0.8732050833,G21,0.8732050833,fisico,1,1,0
213,2013,139198.0855,137325,125866.8437,0.8818419919,0.7973864565,G21,0.8500951667,fisico,1.092279547,1.090838485,-0.05270871018
213,2014,147469.0953,145787.6372,159707.2121,0.8818419919,0.9550240049,G21,0.8639435833,fisico,1.157181696,1.185905758,0.09108042152
213,2015,156948.9662,154846.9837,130536.3462,0.8818419919,0.7334386094,G21,0.7668818333,fisico,1.23156971,1.256571479,-0.03344322391
213,2016,156222.8559,154931.383,71532.34164,0.8818419919,0.403783571,G21,0.6682450833,fisico,1.225871963,1.262107014,-0.2644615123
22,2012,2013496.984,2013496.984,461578,3.421381678,0.78432425,G2211A2,0.78432425,fisico,1,1,0
22,2013,2073760.432,2063721,466097.1225,3.421381678,0.7689876469,G2211A2,0.8001065833,fisico,1.029929743,1.002011936,-0.03111893643
22,2014,2125669.479,2106133.562,472161.0722,3.421381678,0.7599691565,G2211A2,0.8090673333,fisico,1.055710287,1.003569064,-0.04909817686
22,2015,2192287.085,2162605.666,467807.517,3.421381678,0.7300814198,G2211A2,0.8005801667,fisico,1.088795812,1.006641713,-0.07049874689
22,2016,2269758.204,2229136.97,460032.7092,3.421381678,0.6934427992,G2211A2,0.7899399167,fisico,1.127271718,1.015717457,-0.09649711743
311FT,2012,299739.6023,299739.6023,895874,0.2571975818,0.7687226667,G311A2,0.7687226667,indagine+capitale,1,1,0
311FT,2013,304401.2139,303780,913026.5358,0.2571975818,0.7714431034,G311A2,0.7756206667,indagine+capitale,1.015552204,1.007504874,-0.004177563232
311FT,2014,310144.7626,308944.9398,910557.7956,0.2571975818,0.755109521,G311A2,0.7635188333,indagine+capitale,1.034713999,1.023020398,-0.00840931232
311FT,2015,317187.3094,315533.4912,942669.7447,0.2571975818,0.7643823433,G311A2,0.7749124167,indagine+capitale,1.058209549,1.029591236,-0.01053007338
311FT,2016,325875.4938,323652.8271,966236.5365,0.2571975818,0.7626032193,G311A2,0.77300275,indagine+capitale,1.087195323,1.044475839,-0.01039953069
313TT,2012,42046.64143,42046.64143,51802,0.5233813362,0.6448125,G313A4,0.6448125,indagine+capitale,1,1,0
313TT,2013,41237.15826,41075,53184.69398,0.5233813362,0.6750192635,G313A4,0.68245525,indagine+capitale,0.9807479708,0.9796036281,-0.007435986461
313TT,2014,40621.65293,40348.55432,53968.59719,0.5233813362,0.6953472956,G313A4,0.7071603333,indagine+capitale,0.9661093383,0.9644846256,-0.01181303769
313TT,2015,40314.70467,39861.4497,51987.21063,0.5233813362,0.6749183948,G313A4,0.68189075,indagine+capitale,0.9588091534,0.95400168,-0.0069723552
313TT,2016,39711.28234,39157.11083,51006.43607,0.5233813362,0.6722476609,G313A4,0.687566,indagine+capitale,0.9444578923,0.9282153484,-0.01531833909
