industria_io,metodo_g17,deriva_annua_2012_16,deriva_annua_2012_14
211,fisico,0.03780783161,0.05822326847
212,fisico,0.02354861886,0.03399363158
213,fisico,0.007309122249,0.01233513722
22,fisico,-0.02571486506,-0.02500754294
311FT,indagine+capitale,-0.00997147977,-0.005666699653
313TT,indagine+capitale,-0.004327444894,-0.0008412072288
315AL,indagine+capitale,-0.02851605705,-0.02712478505
321,indagine+capitale,-0.01355397958,0.004391404573
322,fisico,-0.0261412003,-0.01266541979
323,indagine+capitale,-0.02216132012,-0.02867312473
324,fisico,-0.02225532879,-0.04975536622
325,misto,-0.05762852703,-0.05133788566
326,indagine+capitale,-0.03280040083,-0.0363044475
327,indagine+capitale,-0.03343981725,-0.02885291729
331,fisico,0.007403214756,0.01074439234
332,indagine+capitale,-0.02646114977,-0.02682494349
333,indagine+capitale,-0.02473353134,-0.02013284935
334,indagine+capitale,0.033902918,0.04448308953
335,indagine+capitale,-0.008040558528,-0.01467411531
3361MV,fisico,-0.02765103353,-0.01900242608
3364OT,indagine+capitale,-0.006525086475,0.003244681694
337,indagine+capitale,-0.0333220432,-0.04256135445
339,indagine+capitale,-0.04287475892,-0.03458722688
