industria_io,K_cap_2012,x_2012,u_2012,u_da_g17,kappa
111CA,464359.8424,404166,1,False,1.148933464
113FF,52776.05057,46892,1,False,1.125480904
211,1527377.93,362616,0.8732050833,True,3.678034539
212,155838.4134,124611,0.8732050833,True,1.092029554
213,127438.1507,126190,0.8732050833,True,0.8818419919
22,2013496.984,461578,0.78432425,True,3.421381678
23,276644.9657,1075477,1,False,0.2572300158
311FT,299739.6023,895874,0.7687226667,True,0.2571975818
313TT,42046.64143,51802,0.6448125,True,0.5233813362
315AL,18545.12716,19244,0.69892525,True,0.6735427995
321,38185.08952,80398,0.6684085,True,0.3174611111
322,113106.5899,179235,0.8345801667,True,0.5266634119
323,50347.22054,83081,0.6378656667,True,0.386547627
324,204134.4036,833174,0.82982875,True,0.2033147902
325,765261.2507,794029,0.71055225,True,0.6848088716
326,93897.00331,216486,0.7450088333,True,0.323134507
327,91344.7279,99294,0.538483,True,0.4953731657
331,169217.1972,269218,0.7485955,True,0.4705303224
332,169896.5821,343079,0.81822775,True,0.4051955908
333,213669.2685,404552,0.83484875,True,0.4409359531
334,496629.1363,354253,0.7562289167,True,1.060161279
335,68903.43678,122794,0.79269825,True,0.4448070244
3361MV,195723.2426,516699,0.7113693333,True,0.2694634838
3364OT,157629.4619,290815,0.77605875,True,0.4206444755
337,21863.91076,65729,0.7028051667,True,0.2337791454
339,93737.8663,156592,0.7433965833,True,0.4450061915
42,520943.0135,1655028,1,False,0.3147638671
441,190023.8492,221875,1,False,0.8564455173
445,221901.7501,207679,1,False,1.068484296
452,204055.0368,210838,1,False,0.9678285545
481,226990.1264,195415,1,False,1.16157985
482,374820.5267,79141,1,False,4.736110571
483,44531.62129,50023,1,False,0.8902229233
484,113640.0155,297774,1,False,0.3816317593
485,43025.5837,50992,1,False,0.8437712524
486,180524.7246,36442,1,False,4.953754587
487OS,129009.7034,187233,1,False,0.6890329343
493,42216.03926,108888,1,False,0.3877014847
4A0,583723.767,763319,1,False,0.7647179842
511,270384.0161,296233,1,False,0.9127410386
512,259520.6515,131699,1,False,1.970559013
513,1243668.545,733128,1,False,1.69638664
514,110186.1907,221543,1,False,0.497358033
521CI,754721.7058,761619,1,False,0.9909439047
523,156216.6614,478470,1,False,0.3264920713
524,241200.8458,798591,1,False,0.3020330129
525,40840.70994,117259,1,False,0.3482948851
532RL,374845.2867,298617,1,False,1.255271089
5411,42924.14343,306935,1,False,0.1398476662
5412OP,448222.8721,1123861,1,False,0.3988241181
5415,94683.75088,354223,1,False,0.267299839
55,370994.8501,478846,1,False,0.7747686107
561,161690.1094,661562,1,False,0.2444065854
562,98115.0354,83564,1,False,1.174130432
61,501352.1127,309610,1,False,1.619302066
621,324904.9322,869254,1,False,0.3737744459
622,810444.2084,709379,1,False,1.142469975
623,81838.51124,208979,1,False,0.3916111726
624,55942.55781,169679,1,False,0.3296964139
711AS,150344.8166,144767,1,False,1.038529614
713,152488.0139,119836,1,False,1.272472495
721,337816.1342,214978,1,False,1.571398628
722,225843.9159,613983,1,False,0.3678341516
81,577566.3184,576029,1,False,1.002668821
HS,16320951.31,1726663,1,False,9.452308474
ORE,1141587.64,889093,1,False,1.283991258
