industria_io,tipo,gruppo,K_inizio_2012,delta,r_usato,costo_uso,w
111CA,E,111CA,210815.1004,0.1467209888,0.04532260992,0.1920435988,1.533969816
111CA,N,111CA,56.86190476,0.7210451386,0.04532260992,0.7663677485,6.121448472
111CA,S,111CA,253487.8801,0.02413133124,0.04532260992,0.06945394116,0.5547711563
113FF,E,113FF,33957.36731,0.1355817711,0.03342425174,0.1690060228,1.290059359
113FF,N,113FF,135.3743207,0.5983409528,0.03342425174,0.6317652045,4.822399824
113FF,S,113FF,18683.30894,0.02488852491,0.03342425174,0.05831277665,0.4451139788
211,E,211,54152.60434,0.1412305113,0.03741117302,0.1786416843,1.551122843
211,N,211,8744.039609,0.2521717763,0.03741117302,0.2895829493,2.514411624
211,S,211,1464481.286,0.07436967686,0.03741117302,0.1117808499,0.9705787893
212,E,212,43683.10231,0.1604510584,0.2084530976,0.368904156,1.294253323
212,N,212,1383.163222,0.2588270092,0.2084530976,0.4672801068,1.639392838
212,S,212,110772.1479,0.04122877535,0.2084530976,0.249681873,0.875977103
213,E,213,71603.72302,0.1429674264,0.1244054462,0.2673728726,1.12487222
213,N,213,1947.26701,0.4472935635,0.1244054462,0.5716990098,2.405211599
213,S,213,53887.16062,0.06177723898,0.1244054462,0.1861826852,0.7832946119
22,E,22,498886.3593,0.07776520499,0.0509581096,0.1287233146,1.439943142
22,N,22,8973.254686,0.5151976804,0.0509581096,0.56615579,6.333212826
22,S,22,1505637.37,0.02256386609,0.0509581096,0.07352197569,0.8224420338
23,E,23,183175.7609,0.168881515,0.2363137166,0.4051952315,1.111967512
23,N,23,6396.43848,0.350194879,0.2363137166,0.5865085956,1.609541408
23,S,23,87072.76629,0.02593233334,0.2363137166,0.2622460499,0.7196755165
311FT,E,311FT,149705.923,0.1005237448,0.2527827468,0.3533064916,1.060909109
311FT,N,311FT,23247.60722,0.2183450517,0.2527827468,0.4711277985,1.414703055
311FT,S,311FT,126786.0721,0.0309655464,0.2527827468,0.2837482932,0.8520396771
313TT,E,313TT,16491.93837,0.1110845771,0.02492470182,0.1360092789,1.391080852
313TT,N,313TT,2396.261023,0.2203432744,0.02492470182,0.2452679762,2.508561092
313TT,S,313TT,23158.44203,0.03035610077,0.02492470182,0.05528080259,0.5654030854
315AL,E,315AL,5065.48826,0.1223968882,0,0.1223968882,1.592888319
315AL,N,315AL,2341.639321,0.2062657539,0,0.2062657539,2.684368165
315AL,S,315AL,11137.99958,0.02891003881,0,0.02891003881,0.3762388392
321,E,321,16315.26976,0.148020844,0.1213300809,0.2693509249,1.308048986
321,N,321,556.0048475,0.2823716389,0.1213300809,0.4037017198,1.960496796
321,S,321,21313.81491,0.0308719956,0.1213300809,0.1522020765,0.7391389947
322,E,322,67488.57659,0.1113225435,0.1204350694,0.2317576128,1.09527904
322,N,322,7231.220313,0.2218159495,0.1204350694,0.3422510189,1.617467331
322,S,322,38386.79298,0.03110444784,0.1204350694,0.1515395172,0.7161708948
323,E,323,27324.60115,0.127247969,0.1297787629,0.257026732,1.095174472
323,N,323,4282.662133,0.2872045381,0.1297787629,0.4169833011,1.776739186
323,S,323,18739.95726,0.03068310092,0.1297787629,0.1604618639,0.6837177428
324,E,324,107107.7839,0.09219684732,0.5975229939,0.6897198412,0.9983092619
324,N,324,35103.54741,0.2053638601,0.5975229939,0.802886854,1.162108634
324,S,324,61923.0723,0.03189441232,0.5975229939,0.6294174062,0.9110267513
325,E,325,154441.7217,0.121405018,0.1727096464,0.2941146644,1.067523672
325,N,325,463042.6602,0.1196477231,0.1727096464,0.2923573695,1.061145364
325,S,325,147776.8688,0.03057312039,0.1727096464,0.2032827668,0.7378386455
326,E,326,51367.46559,0.1328856684,0.1941169511,0.3270026195,1.076597688
326,N,326,11833.4633,0.2127018891,0.1941169511,0.4068188402,1.339378331
326,S,326,30696.07442,0.03094858277,0.1941169511,0.2250655339,0.7409880498
327,E,327,42753.31973,0.1104943436,0.09963355532,0.2101278989,1.080686659
327,N,327,15818.54138,0.184783156,0.09963355532,0.2844167113,1.462753624
327,S,327,32772.86679,0.03090971585,0.09963355532,0.1305432712,0.6713833446
331,E,331,91306.28183,0.0772345545,0.1357190663,0.2129536208,1.046597974
331,N,331,12081.05594,0.1974992924,0.1357190663,0.3332183586,1.637660152
331,S,331,65829.85942,0.03079149823,0.1357190663,0.1665105645,0.8183454163
332,E,332,96446.95894,0.09500558754,0.1839295389,0.2789351264,1.034764064
332,N,332,17659.24245,0.2079930671,0.1839295389,0.391922606,1.453913079
332,S,332,55790.38069,0.0307042178,0.1839295389,0.2146337567,0.7962256356
333,E,333,96507.68754,0.09282162104,0.2015498078,0.2943714289,0.9772708296
333,N,333,49958.2669,0.206312201,0.2015498078,0.4078620088,1.354043241
333,S,333,67203.31404,0.03022172387,0.2015498078,0.2317715317,0.7694481694
334,E,334,141307.3137,0.1410118095,0.002949887336,0.1439616968,0.7374707123
334,N,334,209652.8218,0.3391464012,0.002949887336,0.3420962885,1.752452209
334,S,334,145669.0008,0.03056930422,0.002949887336,0.03351919156,0.1717083267
335,E,335,22014.26169,0.1277808014,0.1977114733,0.3254922747,1.067317202
335,N,335,19084.24505,0.1971259533,0.1977114733,0.3948374266,1.294705928
335,S,335,27804.93004,0.0293113487,0.1977114733,0.227022822,0.744427386
3361MV,E,3361MV,100302.5956,0.1463870393,0.1333464521,0.2797334914,0.9314768451
3361MV,N,3361MV,42661.27606,0.3825483321,0.1333464521,0.5158947842,1.717863827
3361MV,S,3361MV,52759.37096,0.03176686851,0.1333464521,0.1651133206,0.5498062968
3364OT,E,3364OT,40530.67471,0.1265708019,0.2040481495,0.3306189514,0.952033894
3364OT,N,3364OT,61967.24788,0.2540212861,0.2040481495,0.4580694356,1.319033971
3364OT,S,3364OT,55131.53927,0.03094417501,0.2040481495,0.2349923245,0.6766722138
337,E,337,8883.094812,0.1420676044,0.07779943939,0.2198670438,1.243122168
337,N,337,2293.837685,0.2524154189,0.07779943939,0.3302148583,1.867025651
337,S,337,10686.97826,0.03041084131,0.07779943939,0.1082102807,0.6118179262
339,E,339,33096.27379,0.1424027378,0.2087950235,0.3511977614,1.052076597
339,N,339,28326.08025,0.2122072643,0.2087950235,0.4210022879,1.261188718
339,S,339,32315.51226,0.03079016641,0.2087950235,0.2395851899,0.7177208942
42,E,42,217433.884,0.1611478366,0.5505304661,0.7116783026,1.070248867
42,N,42,47988.80001,0.3780673823,0.5505304661,0.9285978484,1.39646072
42,S,42,255520.3295,0.02517216541,0.5505304661,0.5757026315,0.8657634868
441,E,44RT,24507.74389,0.1735777891,0.1027236373,0.2763014264,1.815113314
441,N,44RT,2995.298627,0.3378628064,0.1027236373,0.4405864437,2.894354656
441,S,44RT,162520.8066,0.02547366141,0.1027236373,0.1281972987,0.8421694626
445,E,44RT,53870.13612,0.1447926544,0.1027236373,0.2475162917,1.521383178
445,N,44RT,3940.2112,0.3263784439,0.1027236373,0.4291020812,2.637518053
445,S,44RT,164091.4028,0.02572346831,0.1027236373,0.1284471056,0.7895127403
452,E,44RT,39877.62812,0.154873805,0.1027236373,0.2575974423,1.551373237
452,N,44RT,5515.083357,0.4855774295,0.1027236373,0.5883010669,3.543026368
452,S,44RT,158662.3253,0.0256330543,0.1027236373,0.1283566916,0.7730245083
481,E,481,169955.5743,0.07610224055,0.08148372044,0.157585961,1.067010416
