gruppo,K,DK,remunerazione,r,r_negativo_troncato,r_usato
111CA,464359.8424,37089,58135,0.04532260992,False,0.04532260992
113FF,52776.05057,5150,6914,0.03342425174,False,0.03342425174
211,1527377.93,118766,175907,0.03741117302,False,0.03741117302
212,155838.4134,11934,44419,0.2084530976,False,0.2084530976
213,127438.1507,14437,30291,0.1244054462,False,0.1244054462
22,2013496.984,77392,179996,0.0509581096,False,0.0509581096
23,276644.9657,35433,100808,0.2363137166,False,0.2363137166
311FT,299739.6023,24051,99820,0.2527827468,False,0.2527827468
313TT,42046.64143,3063,4111,0.02492470182,False,0.02492470182
315AL,18545.12716,1425,451,-0.05252053501,True,0
321,38185.08952,3230,7863,0.1213300809,False,0.1213300809
322,113106.5899,10311,23933,0.1204350694,False,0.1204350694
323,50347.22054,5282,11816,0.1297787629,False,0.1297787629
324,204134.4036,19059,141034,0.5975229939,False,0.5975229939
325,765261.2507,78670,210838,0.1727096464,False,0.1727096464
326,93897.00331,10293,28520,0.1941169511,False,0.1941169511
327,91344.7279,8660,17761,0.09963355532,False,0.09963355532
331,169217.1972,11465,34431,0.1357190663,False,0.1357190663
332,169896.5821,14549,45798,0.1839295389,False,0.1839295389
333,213669.2685,21296,64361,0.2015498078,False,0.2015498078
334,496629.1363,95482,96947,0.002949887336,False,0.002949887336
335,68903.43678,7390,21013,0.1977114733,False,0.1977114733
3361MV,195723.2426,32679,58778,0.1333464521,False,0.1333464521
3364OT,157629.4619,22577,54741,0.2040481495,False,0.2040481495
337,21863.91076,2166,3867,0.07779943939,False,0.07779943939
339,93737.8663,11719,31291,0.2087950235,False,0.2087950235
42,520943.0135,59614,346409,0.5505304661,False,0.5505304661
44RT,1199704.403,78232,201470,0.1027236373,False,0.1027236373
481,226990.1264,15028,33524,0.08148372044,False,0.08148372044
482,374820.5267,11328,18493,0.01911581541,False,0.01911581541
483,44531.62129,3183,6974,0.08513051827,False,0.08513051827
484,113640.0155,17657,36399,0.1649242999,False,0.1649242999
485,43025.5837,3171,15501,0.2865736834,False,0.2865736834
486,180524.7246,8119,18516,0.05759321899,False,0.05759321899
487OS,129009.7034,9539,22367,0.099434381,False,0.099434381
493,42216.03926,2263,11540,0.219750601,False,0.219750601
511,270384.0161,53125,104015,0.1882137884,False,0.1882137884
512,259520.6515,30348,41537,0.04311410262,False,0.04311410262
513,1243668.545,95451,230132,0.1082933235,False,0.1082933235
514,110186.1907,27261,66200,0.3533927414,False,0.3533927414
521CI,754721.7058,85777,304388,0.2896577617,False,0.2896577617
523,156216.6614,18592,5055,-0.08665528941,True,0
524,241200.8458,32428,159205,0.5256076097,False,0.5256076097
525,40840.70994,1539,9515,0.1952953318,False,0.1952953318
531,17462538.95,416399,1850364,0.08211663862,False,0.08211663862
532RL,374845.2867,53105,132889,0.2128451466,False,0.2128451466
5411,42924.14343,5475,61171,1.297544821,False,1.297544821
5412OP,448222.8721,76605,170321,0.2090834846,False,0.2090834846
5415,94683.75088,27249,43020,0.1665650109,False,0.1665650109
55,370994.8501,34350,41504,0.01928328654,False,0.01928328654
561,161690.1094,29385,74670,0.2800727896,False,0.2800727896
562,98115.0354,5850,15954,0.1029811584,False,0.1029811584
61,501352.1127,24480,44070,0.03907433419,False,0.03907433419
621,324904.9322,31206,89022,0.1779474371,False,0.1779474371
622HO,892282.7197,54760,77658,0.02566226992,False,0.02566226992
624,55942.55781,3499,5070,0.02808237702,False,0.02808237702
711AS,150344.8166,13544,21418,0.05237293959,False,0.05237293959
713,152488.0139,9003,16981,0.05231886622,False,0.05231886622
721,337816.1342,14682,42067,0.08106480784,False,0.08106480784
722,225843.9159,15925,60893,0.1991109649,False,0.1991109649
81,577566.3184,30157,47774,0.03050212493,False,0.03050212493
