gruppo,crescita_fte,crescita_ore_klems
111CA,1.05239521,1.021926931
113FF,1.090909091,1.130537707
211,0.9347826087,0.8123819782
212,0.8271028037,0.8396037976
213,0.6570680628,0.6815092698
22,1.009191176,1.039550076
23,1.207053263,1.193895629
311FT,1.084542587,1.082586263
313TT,0.9822222222,1.013632615
315AL,0.8947368421,0.8772116206
321,1.151057402,1.152265111
322,0.9756756757,0.9805927778
323,0.9798657718,0.9855599529
324,0.9909090909,0.9001405949
325,1.032341527,0.9859438363
326,1.091917591,1.099268583
327,1.109243697,1.095213878
331,0.919395466,0.9132400568
332,1.002894356,1.021603804
333,0.9759704251,0.9716184111
334,0.9564814815,0.9539824017
335,1.027322404,1.033574983
3361MV,1.214564369,1.230200304
3364OT,1.001485884,0.9887111391
337,1.10787172,1.097751972
339,1.021466905,1.040260088
42,1.039334065,1.036805101
44RT,1.072878588,1.03006729
481,1.02739726,1.091839241
482,0.9521276596,0.9581433088
483,1,0.9938375565
484,1.066102998,1.089482438
485,1.070093458,1.196840935
486,1.095238095,1.156653846
487OS,1.164825046,1.174158128
493,1.365474339,1.373732198
511,1.001470588,0.9895846702
512,1.211356467,1.164143486
513,0.9444444444,0.9142307208
514,1.294710327,1.327945363
521CI,1.009912768,1.015903964
523,1.075903614,1.042943242
524,1.089293455,1.095567898
525,3.333333333,2.9950085
531,1.100903614,1.077793082
532RL,1.084677419,1.107201641
5411,1.012138189,1.00664923
5412OP,1.121698497,1.105084594
5415,1.227922078,1.211071252
55,1.129973475,1.162071836
561,1.133285714,1.116950231
562,1.092696629,1.14082895
61,1.076225655,1.071053004
621,1.122474082,1.093684964
622HO,1.050494111,1.063318965
624,1.211002261,1.110700939
711AS,1.156732892,1.147367705
713,1.140186916,1.153504624
721,1.08480781,1.056976757
722,1.156483238,1.12248484
81,1.056680162,1.033145664
GF,0.9735919607,0.9910926661
GSL,1.022404163,1.010464642
