anno,prodotto,esportazioni,importazioni,voci_positive_F050,uso_interno,quota_importazioni
2012,111CA,47250,32285,0,382529,0.08439882989
2012,113FF,6259,16124,0,64431,0.2502522078
2012,211,8986,335111,0,615898,0.5441014584
2012,212,27927,6497,0,82090,0.07914484103
2012,213,3416,992,0,172566,0.005748525202
2012,22,3488,2099,0,591098,0.003551018613
2012,23,99,-0,0,1166629,-0
2012,321,4945,13620,0,87340,0.1559422945
2012,327,8549,20384,0,107165,0.1902113563
2012,331,35764,84060,0,314005,0.2677027436
2012,332,31549,57624,0,356561,0.1616104958
2012,333,120979,143189,0,412447,0.3471694545
2012,334,104333,297795,0,499028,0.5967500822
2012,335,30893,79271,0,166892,0.4749838219
2012,3361MV,99623,266095,0,668996,0.3977527519
2012,3364OT,98404,46011,0,212881,0.2161348359
2012,337,3891,30020,0,89096,0.33693993
2012,339,31787,79712,0,193147,0.4127012069
2012,311FT,64565,80395,0,924517,0.08695892017
2012,313TT,9191,27520,0,67347,0.4086299315
2012,315AL,4729,134840,0,149913,0.8994550172
2012,322,21541,21433,0,176892,0.1211643263
2012,323,2279,2461,0,67779,0.03630918131
2012,324,118412,100229,0,793685,0.1262830972
2012,325,155214,208004,0,819070,0.2539514327
2012,326,25101,45416,0,234301,0.1938361339
2012,42,186059,0,33503,1431982,0
2012,441,0,-0,0,153481,-0
2012,445,0,-0,0,189135,-0
2012,452,0,-0,0,200344,-0
2012,4A0,0,-0,0,742207,-0
2012,481,47719,46100,0,191421,0.2408304209
2012,482,13082,0,270,64565,0
2012,483,6832,0,13267,29032,0
2012,484,30411,0,2736,258485,0
2012,485,0,-0,0,65950,-0
2012,486,2239,-0,0,37541,-0
2012,487OS,10630,0,3495,188341,0
2012,493,148,-0,0,111962,-0
2012,511,35409,3714,0,177478,0.02092653737
2012,512,18644,6834,0,118666,0.05759021118
2012,513,16269,155,0,609416,0.0002543418617
2012,514,4233,898,0,164910,0.005445394458
2012,521CI,43630,8082,0,666142,0.01213254832
2012,523,61952,56,0,423395,0.0001322641977
2012,524,16539,58218,0,847330,0.06870758736
2012,525,0,-0,0,139737,-0
2012,HS,0,-0,0,1720652,-0
2012,ORE,3468,-0,0,913281,-0
2012,532RL,71305,-0,0,302065,-0
2012,5411,11032,2425,0,298247,0.008130844568
2012,5415,14946,23843,0,423919,0.05624423534
2012,5412OP,111395,68435,0,1583891,0.04320688734
2012,55,3669,-0,0,462016,-0
2012,561,1682,1032,0,656045,0.001573062823
2012,562,59,123,0,96670,0.001272369918
2012,61,2597,1557,0,334269,0.004657925204
2012,621,295,57,0,880765,6.471646807e-05
2012,622,934,2337,0,853975,0.002736614069
2012,623,62,16,0,209393,7.641134135e-05
2012,624,0,-0,0,171258,-0
2012,711AS,1698,846,0,133542,0.006335085591
2012,713,1,-0,0,169686,-0
2012,721,0,-0,0,174871,-0
2012,722,2395,-0,0,728142,-0
2012,81,320,3335,0,721415,0.004622859242
2012,GFGD,0,-0,0,650338,-0
2012,GFGN,0,-0,0,349383,-0
2012,GFE,375,450,0,75566,0.005955059154
2012,GSLG,0,-0,0,1515718,-0
2012,GSLE,0,-0,0,85090,-0
2012,Used,31193,12669,0,-9990,
2012,Other,161166,214080,0,55759,3.83938019
2013,111CA,42134.66198,33067.75799,0,403985.423,0.08185383956
2013,113FF,6688.546614,15599.51661,0,64953.17636,0.2401655698
2013,211,13802.30814,270473.0177,0,568453.3206,0.4758051505
2013,212,21732.5676,5879.189315,0,84031.75212,0.06996390254
2013,213,3624.628491,1283.210846,0,170836.0412,0.007511359061
2013,22,3630.617538,2503.807801,0,595324.0877,0.004205789507
2013,23,98.35922234,-0,0,1202022.736,-0
2013,321,4964.884996,14741.91795,0,92475.75609,0.1594138678
2013,327,8486.030229,20584.06806,0,111655.2733,0.1843537474
2013,331,35418.36093,88809.96571,0,328874.8012,0.2700418682
2013,332,32850.92453,57300.64531,0,359207.9021,0.1595194454
2013,333,112521.7748,134067.6598,0,398027.8857,0.3368298167
2013,334,104723.0607,302917.6767,0,504348.2512,0.6006121287
2013,335,31813.31905,82504.5633,0,170250.7697,0.4846061105
2013,3361MV,104904.6708,275041.5509,0,705052.9101,0.3901005825
2013,3364OT,110589.3826,48975.83275,0,213412.9226,0.2294885996
2013,337,3849.203058,31215.27909,0,91584.96328,0.3408341061
2013,339,30924.74046,77571.10759,0,198233.2069,0.391312378
2013,311FT,68652.88671,78590.34897,0,930297.8277,0.08447869771
2013,313TT,9261.533858,28290.75055,0,69051.62251,0.4097043563
2013,315AL,4714.482082,134726.7394,0,149346.1109,0.902110799
2013,322,21359.00419,21883.42014,0,178906.5918,0.1223175732
2013,323,2315.03368,2343.88455,0,67028.53208,0.03496846011
2013,324,124337.8426,109806.9235,0,840984.4632,0.1305695032
2013,325,156328.5261,209238.3458,0,845548.1287,0.2474588243
2013,326,25136.26243,45836.25309,0,236825.0469,0.1935447863
2013,42,190841.0119,0,34809.71463,1498534.268,0
2013,441,0,-0,0,180165.2861,-0
2013,445,0,-0,0,190648.8784,-0
2013,452,0,-0,0,205920.4315,-0
2013,4A0,0,-0,0,781029.6572,-0
2013,481,48323.6669,39537.18413,0,191084.6256,0.2069092896
2013,482,11735.47265,0,318.1711878,66835.35012,0
2013,483,6512.478844,0,12646.58127,30311.15461,0
2013,484,29551.94155,0,3426.26917,261896.9912,0
2013,485,0,-0,0,69797.44006,-0
2013,486,2279.753408,-0,0,37715.95353,-0
2013,487OS,10544.23169,0,2704.845788,194738.2018,0
2013,493,150.908171,-0,0,115329.2909,-0
2013,511,37381.29176,3774.038875,0,191738.677,0.01968324249
2013,512,19168.18732,6744.11937,0,123102.8741,0.05478441848
2013,513,17249.38936,161.5354111,0,624765.125,0.0002585538223
2013,514,4470.561927,1023.586583,0,186662.9702,0.005483608139
2013,521CI,42614.22141,6858.041581,0,679009.0256,0.01010007426
2013,523,60415.02577,53.69813033,0,418200.1132,0.000128402955
2013,524,16028.96942,51766.14164,0,869803.7663,0.05951473613
2013,525,0,-0,0,156575.7879,-0
2013,HS,0,-0,0,1735784.744,-0
2013,ORE,3473.645851,-0,0,984751.9997,-0
2013,532RL,73420.18339,-0,0,319774.2766,-0
2013,5411,11601.63926,2359.164217,0,288318.4632,0.008182494421
2013,5415,16511.3094,25984.39717,0,443025.1094,0.05865219966
2013,5412OP,111376.698,72483.4358,0,1602648.42,0.04522728434
2013,55,3895.665788,-0,0,471305.1986,-0
2013,561,1748.040494,1132.824889,0,668937.5336,0.00169346887
2013,562,60.95267769,134.6857555,0,100708.5702,0.001337381271
2013,61,2513.826317,1403.406534,0,334140.6458,0.004200047349
2013,621,479.1968112,59.52755419,0,888850.5572,6.697138648e-05
2013,622,987.6523017,2550.206689,0,871176.1563,0.002927314609
2013,623,113.8815152,16.83465878,0,211989.9455,7.94125341e-05
2013,624,0,-0,0,172273.9906,-0
2013,711AS,1469.060678,988.5636198,0,137900.6865,0.007168663516
2013,713,1.967465864,-0,0,174332.2315,-0
2013,721,0,-0,0,181474.0679,-0
2013,722,2527.949905,-0,0,738044.0207,-0
2013,81,317.0559679,3272.33073,0,716215.7314,0.004568917697
2013,GFGD,0,-0,0,607146.3988,-0
2013,GFGN,0,-0,0,340346.6265,-0
2013,GFE,371.5028297,444.8257566,0,70157.33175,0.006340402999
2013,GSLG,0,-0,0,1523078.27,-0
2013,GSLE,0,-0,0,87804.42422,-0
2013,Used,27904.6706,15045.58408,0,-5136.940243,
2013,Other,175489.8104,212030.2111,0,39497.73466,5.368161312
2014,111CA,42855.06928,37372.02341,0,414856.1169,0.09008430125
2014,113FF,6657.419664,16877.6211,0,71092.06715,0.2374051252
2014,211,22964.76352,261032.0879,0,581051.1161,0.449241178
2014,212,20930.78958,7139.092264,0,89556.6997,0.0797158927
2014,213,3832.840026,1222.959525,0,198913.2094,0.006148206692
2014,22,3659.264292,2704.358482,0,596696.541,0.004532217461
2014,23,92.35087981,-0,0,1274095.354,-0
2014,321,5054.356141,15563.84666,0,93425.08294,0.166591735
2014,327,8554.227954,22674.3114,0,117136.4728,0.1935717446
2014,331,37098.91269,93216.53647,0,330743.3238,0.2818395105
2014,332,34234.63229,62917.51599,0,369974.8773,0.1700588874
2014,333,111568.7852,150006.4659,0,420749.7254,0.3565218392
2014,334,105733.194,326988.2833,0,522299.5605,0.626055061
2014,335,32444.8363,90140.77591,0,181102.9781,0.497732157
2014,3361MV,108581.6823,296128.5621,0,757429.8285,0.3909650121
2014,3364OT,119345.0971,56517.13842,0,224561.6369,0.2516776205
2014,337,3813.156805,34264.1728,0,95371.53606,0.3592704303
2014,339,30082.10837,79460.11174,0,196334.8704,0.4047172649
2014,311FT,65833.18974,80269.68127,0,926731.4658,0.08661590141
2014,313TT,9261.54541,30079.02245,0,71598.72002,0.4201055891
2014,315AL,4194.647326,140594.6862,0,155050.1302,0.9067692232
2014,322,21161.16257,22922.7528,0,178417.8899,0.1284778831
2014,323,2207.338544,2417.184182,0,66654.69517,0.03626427479
2014,324,130349.6195,101812.5338,0,805678.8218,0.1263686361
2014,325,154131.5626,188125.1994,0,806035.2703,0.2333957412
2014,326,25247.09834,47726.56778,0,242929.7428,0.1964624308
2014,42,198209.8704,0,36250.46081,1579102.789,0
2014,441,0,-0,0,208046.5907,-0
2014,445,0,-0,0,194595.7632,-0
2014,452,0,-0,0,210342.6574,-0
2014,4A0,0,-0,0,813855.2766,-0
2014,481,47308.56254,41334.48353,0,201609.1281,0.2050228773
2014,482,11465.11705,0,393.8362591,70746.53324,0
2014,483,6929.321047,0,12858.59408,31795.30101,0
2014,484,30545.73549,0,4377.959991,277438.4109,0
2014,485,0,-0,0,76603.66981,-0
2014,486,3278.249122,-0,0,39217.36652,-0
2014,487OS,9927.465536,0,2849.576669,206889.1414,0
2014,493,154.7271374,-0,0,116573.2457,-0
2014,511,35743.76329,4169.448235,0,212048.103,0.01966274716
2014,512,20444.74058,7046.400187,0,123829.5725,0.05690401771
2014,513,16936.45202,170.2155982,0,662861.5927,0.0002567890493
2014,514,4995.63976,1212.125776,0,209471.5492,0.005786589066
2014,521CI,43687.91498,6647.649561,0,693298.1844,0.009588442188
2014,523,61508.45377,52.24557098,0,406290.6804,0.0001285916057
2014,524,16705.05807,50864.07522,0,924391.5516,0.05502438348
2014,525,0,-0,0,159387.9613,-0
2014,HS,0,-0,0,1731293.93,-0
2014,ORE,3206.00398,-0,0,1032767.88,-0
2014,532RL,76346.42759,-0,0,340156.9341,-0
2014,5411,11499.37822,2485.746802,0,285833.8227,0.008696475381
2014,5415,19089.77306,28895.11889,0,470777.3628,0.06137746029
2014,5412OP,118737.9383,79528.41594,0,1674949.011,0.04748109669
2014,55,4015.750878,-0,0,501525.3351,-0
2014,561,1803.094377,1308.16535,0,718384.6306,0.001820981817
2014,562,76.82867596,153.6573519,0,105738.3464,0.001453184745
2014,61,2579.442627,1280.662273,0,335287.491,0.003819594548
2014,621,639.6375838,77.62115073,0,917297.2829,8.461940548e-05
2014,622,1330.666891,2945.29984,0,880728.9698,0.003344161418
2014,623,159.3636549,22.48689609,0,216695.463,0.0001037718823
2014,624,0,-0,0,178916.4429,-0
2014,711AS,1559.119411,1001.11878,0,145712.5005,0.006870507172
2014,713,2.897155523,-0,0,178617.3637,-0
2014,721,0,-0,0,191723.5245,-0
2014,722,2489.836434,-0,0,762927.5399,-0
2014,81,65.33709522,3191.909269,0,744133.7858,0.004289429307
2014,GFGD,0,-0,0,585139.997,-0
2014,GFGN,0,-0,0,339576.6406,-0
2014,GFE,440.2593699,382.9146621,0,68571.32178,0.005584180852
2014,GSLG,0,-0,0,1525643.361,-0
2014,GSLE,0,-0,0,88720.55677,-0
2014,Used,24874.38062,14055.5562,0,-3061.32805,
2014,Other,181711.4787,219298.2688,0,40610.32392,5.400062044
