industria_io,anno,x_reale,fte_migliaia,ell
111CA,2012,404166,668,0.001652786231
113FF,2012,46892,473,0.01008700844
211,2012,362616,184,0.0005074238313
212,2012,124611,214,0.001717344376
213,2012,126190,382,0.003027181235
22,2012,461578,544,0.001178565703
23,2012,1075477,5501,0.005114939697
321,2012,80398,331,0.004117017836
327,2012,99294,357,0.003595383407
331,2012,269218,397,0.001474641369
332,2012,343079,1382,0.004028226735
333,2012,404552,1082,0.002674563468
334,2012,354253,1080,0.003048668607
335,2012,122794,366,0.002980601658
3361MV,2012,516699,769,0.001488293958
3364OT,2012,290815,673,0.002314185995
337,2012,65729,343,0.00521839675
339,2012,156592,559,0.003569786451
311FT,2012,895874,1585,0.001769222011
313TT,2012,51802,225,0.004343461642
315AL,2012,19244,171,0.00888588651
322,2012,179235,370,0.002064328954
323,2012,83081,447,0.005380291523
324,2012,833174,110,0.0001320252432
325,2012,794029,773,0.0009735160806
326,2012,216486,631,0.002914738135
42,2012,1655028,5466,0.003302663157
441,2012,221875,1505,0.006783098592
445,2012,207679,2481,0.01194632101
452,2012,210838,2665,0.01264003643
4A0,2012,763319,6206,0.008130283669
481,2012,195415,438,0.002241383722
482,2012,79141,188,0.002375507006
483,2012,50023,62,0.001239429862
484,2012,297774,1301,0.004369085279
485,2012,50992,428,0.008393473486
486,2012,36442,42,0.001152516327
487OS,2012,187233,1086,0.00580025957
493,2012,108888,643,0.005905150246
511,2012,296233,680,0.002295490374
512,2012,131699,317,0.00240700385
513,2012,733128,1116,0.00152224441
514,2012,221543,397,0.001791977178
521CI,2012,761619,2522,0.00331136697
523,2012,478470,830,0.00173469601
524,2012,798591,2307,0.002888837966
525,2012,117259,3,2.558439011e-05
HS,2012,1726663,0,0
ORE,2012,889093,1328,0.001493657019
532RL,2012,298617,496,0.0016609905
5411,2012,306935,1071,0.003489338133
5415,2012,354223,1540,0.004347543779
5412OP,2012,1123861,4922,0.004379545157
55,2012,478846,1885,0.003936547449
561,2012,661562,7000,0.01058101886
562,2012,83564,356,0.004260207745
61,2012,309610,2978,0.009618552372
621,2012,869254,5691,0.006546993169
622,2012,709379,4489,0.006328070044
623,2012,208979,2898,0.01386742209
624,2012,169679,2654,0.01564129916
711AS,2012,144767,453,0.003129166177
713,2012,119836,1177,0.0098217564
721,2012,214978,1639,0.007624035948
722,2012,613983,7905,0.01287494931
81,2012,576029,5681,0.00986235068
GFGD,2012,676303,1565,0.002314051542
GFGN,2012,370378,2140,0.005777880976
GFE,2012,98913,574,0.005803079474
GSLG,2012,1947062,14668,0.007533401607
GSLE,2012,298570,1088,0.003644036574
111CA,2013,420064.6127,676,0.001609276239
113FF,2013,48198.1787,490,0.01016635925
211,2013,391494.883,193,0.0004929821778
212,2013,118973.5655,207,0.001739882293
213,2013,125866.8437,396,0.003146182016
22,2013,466097.1225,540,0.00115855682
23,2013,1128512.488,5754,0.005098747297
321,2013,83894.03777,343,0.004088490781
327,2013,102935.0132,365,0.003545926587
331,2013,278329.3753,391,0.001404810396
332,2013,348539.9126,1399,0.004013887505
333,2013,391446.297,1086,0.002774326921
334,2013,355219.2175,1048,0.00295029083
335,2013,123755.0645,368,0.002973615677
3361MV,2013,550399.8909,810,0.001471657269
3364OT,2013,299079.3759,681,0.002276987499
337,2013,66598.06607,350,0.005255407862
339,2013,165954.0944,561,0.003380452903
311FT,2013,913026.5358,1599,0.001751318212
313TT,2013,53184.69398,224,0.004211738063
315AL,2013,18897.24949,167,0.00883726492
322,2013,179916.5585,367,0.002039834482
323,2013,82722.47182,443,0.005355255836
324,2013,863205.3806,110,0.0001274320138
325,2013,823247.9886,786,0.000954754838
326,2013,219765.4445,644,0.002930397003
42,2013,1721203.425,5550,0.003224488121
441,2013,245192.5543,1551,0.006325640697
445,2013,207604.2028,2540,0.01223481975
452,2013,215202.8244,2643,0.01228143732
4A0,2013,799086.1312,6299,0.007882754755
481,2013,202496.1396,426,0.002103743809
482,2013,80111.51624,188,0.00234672877
483,2013,50560.52114,63,0.001246031461
484,2013,304585.4531,1320,0.004333759168
485,2013,54639.03366,432,0.007906435584
486,2013,36730.40608,41,0.001116241403
487OS,2013,190820.1192,1106,0.005796034529
493,2013,111775.0646,672,0.006012074359
511,2013,310952.4895,670,0.002154669999
512,2013,136619.994,330,0.002415459044
513,2013,749720.2742,1107,0.001476550706
514,2013,240234.7354,426,0.001773265633
521CI,2013,777040.6913,2553,0.003285542222
523,2013,474230.8528,841,0.001773397903
524,2013,827356.4829,2316,0.002799277032
525,2013,135530.3097,3,2.213527001e-05
HS,2013,1743029.863,0,0
ORE,2013,960462.7846,1369,0.00142535455
532RL,2013,315356.7273,504,0.001598190101
5411,2013,297716.879,1088,0.003654478724
5415,2013,369337.9096,1626,0.004402472526
5412OP,2013,1131560.509,5080,0.004489375475
55,2013,488677.7069,1978,0.00404765753
561,2013,681213.4559,7246,0.01063690087
562,2013,85477.27804,362,0.004235043608
61,2013,312384.2837,3043,0.009741207092
621,2013,865574.7508,5831,0.00673656434
622,2013,718026.3465,4502,0.006269964914
623,2013,211667.6564,2925,0.01381883302
624,2013,171208.4374,2871,0.01676903337
711AS,2013,148771.4629,474,0.003186094906
713,2013,122979.7275,1215,0.009879677118
721,2013,221703.7595,1686,0.00760474249
722,2013,625613.7757,8135,0.01300323029
81,2013,574696.2508,5670,0.009866081417
GFGD,2013,633151.0606,1546,0.002441755367
GFGN,2013,360537.2605,2108,0.005846829803
GFE,2013,93450.68235,547,0.005853354799
GSLG,2013,1962204.783,14657,0.007469658684
GSLE,2013,302549.2615,1062,0.003510172178
111CA,2014,426959.1743,688,0.001611395284
113FF,2014,53003.29593,499,0.009414508876
211,2014,426753.7306,197,0.0004616245527
212,2014,122462.4409,203,0.001657651101
213,2014,159707.2121,430,0.002692426938
22,2014,472161.0722,544,0.001152149197
23,2014,1191792.556,6043,0.005070513295
321,2014,84868.16984,364,0.004289004943
327,2014,107069.5856,375,0.003502395176
331,2014,278401.8351,391,0.001404444766
332,2014,355583.3421,1427,0.004013123875
333,2014,398152.7264,1107,0.002780340123
334,2014,354721.3471,1033,0.002912145007
335,2014,127390.7201,373,0.002927999777
3361MV,2014,587203.5562,863,0.001469677748
3364OT,2014,311534.9482,677,0.002173110926
337,2014,67442.60484,359,0.005323044696
339,2014,160476.4343,567,0.003533229053
311FT,2014,910557.7956,1626,0.001785718609
313TT,2014,53968.59719,224,0.004150561839
315AL,2014,18157.84282,162,0.00892176464
322,2014,178583.728,362,0.002027060383
323,2014,81533.38845,440,0.005396562174
324,2014,834613.092,110,0.0001317975971
325,2014,810591.7251,791,0.0009758303416
326,2014,224507.892,665,0.002962033958
42,2014,1802327.272,5633,0.003125403521
441,2014,271641.1199,1607,0.005915893736
445,2014,209968.0384,2592,0.01234473599
452,2014,219192.9247,2682,0.0122357964
4A0,2014,827123.8123,6372,0.007703804322
481,2014,210676.4134,427,0.002026804962
482,2014,84813.09337,193,0.002275592038
483,2014,52985.47068,65,0.001226751394
484,2014,326487.1626,1367,0.00418699464
485,2014,60860.70485,451,0.00741036439
486,2014,39105.3764,44,0.001125164979
487OS,2014,200421.8243,1165,0.005812740224
493,2014,112357.3748,708,0.006301322019
511,2014,327290.2762,680,0.00207766637
512,2014,138257.2914,326,0.002357922658
513,2014,792944.715,1110,0.001399845385
514,2014,260424.4569,453,0.001739467965
521CI,2014,794900.7774,2510,0.003157626802
523,2014,466014.2255,859,0.00184329137
524,2014,884577.4773,2400,0.002713159742
525,2014,137513.82,6,4.363197822e-05
HS,2014,1738811.048,0,0
ORE,2014,1008825.7,1394,0.001381804607
532RL,2014,334137.7749,512,0.001532302058
5411,2014,295083.6616,1074,0.003639645767
5415,2014,399295.1331,1705,0.004270024498
5412OP,2014,1185159.305,5215,0.004400252337
55,2014,519425.8455,2004,0.003858106055
561,2014,737264.2375,7525,0.01020665267
562,2014,90389.7978,376,0.00415976149
61,2014,315283.236,3083,0.009778509124
621,2014,892274.0288,6004,0.006728874545
622,2014,719877.4351,4499,0.006249674987
623,2014,216283.9925,2968,0.01372269841
624,2014,177665.1074,2970,0.01671684465
711AS,2014,156867.9416,504,0.003212893563
713,2014,125839.0589,1280,0.0101717226
721,2014,233392.097,1709,0.007322441598
722,2014,650104.7981,8407,0.01293176119
81,2014,602076.4871,5897,0.009794436631
GFGD,2014,611150.7441,1499,0.00245275002
GFGN,2014,361275.454,2091,0.005787827478
GFE,2014,91019.68091,545,0.005987716003
GSLG,2014,1974686.571,14812,0.007500937221
GSLE,2014,302067.6769,1084,0.003588599784
111CA,2015,436048.8367,700,0.001605324773
113FF,2015,51657.45506,539,0.01043411836
211,2015,385427.7226,193,0.0005007423926
212,2015,116082.9032,194,0.001671219401
213,2015,130536.3462,353,0.002704227675
22,2015,467807.517,547,0.001169284332
23,2015,1295417.935,6378,0.004923507563
321,2015,90208.27436,370,0.004101619309
327,2015,109231.8949,389,0.003561230907
331,2015,263648.9986,386,0.001464067764
332,2015,347947.8634,1429,0.004106937132
333,2015,365714.0668,1100,0.003007814301
334,2015,357910.8663,1042,0.002911339381
335,2015,127921.5545,376,0.002939301366
3361MV,2015,612077.7708,906,0.001480204058
3364OT,2015,312476.085,685,0.002192167762
337,2015,71616.70546,370,0.005166392361
339,2015,162209.9672,573,0.00353245864
311FT,2015,942669.7447,1674,0.001775807497
313TT,2015,51987.21063,226,0.004347223043
315AL,2015,17539.19044,160,0.009122427889
322,2015,177498.468,364,0.002050721925
323,2015,80757.59637,441,0.005460786599
324,2015,816583.04,109,0.0001334830564
325,2015,798733.1198,797,0.0009978301642
326,2015,229500.9016,680,0.002962951323
42,2015,1834793.204,5688,0.003100076885
441,2015,309351.7,1680,0.005430712033
445,2015,211007.3652,2665,0.01262989089
452,2015,226817.0894,2748,0.01211548922
4A0,2015,869792.6879,6505,0.007478793614
481,2015,221836.6338,439,0.001978933743
482,2015,81248.24659,196,0.002412359752
483,2015,50448.54095,65,0.001288441623
484,2015,332248.169,1402,0.004219737326
485,2015,63650.92971,462,0.007258338599
486,2015,41175.425,46,0.001117171225
487OS,2015,209480.3452,1234,0.005890767456
493,2015,111882.1372,791,0.007069940024
511,2015,331286.9921,671,0.002025434188
512,2015,145215.2306,349,0.002403329173
513,2015,835600.1965,1064,0.001273336225
514,2015,287787.7374,492,0.001709593343
521CI,2015,796987.1293,2518,0.003159398574
523,2015,457051.3089,883,0.001931949396
524,2015,923249.6697,2490,0.002696995278
525,2015,149522.8717,7,4.681558026e-05
HS,2015,1738697.539,0,0
ORE,2015,1080250.361,1429,0.001322841492
532RL,2015,330832.4745,527,0.001592951238
5411,2015,297423.745,1077,0.003621096224
5415,2015,414313.1013,1821,0.004395226688
5412OP,2015,1215558.175,5375,0.004421836907
55,2015,536854.2537,2071,0.003857657801
561,2015,772105.7593,7795,0.0100957672
562,2015,92133.27874,387,0.004200436642
61,2015,319072.9495,3153,0.009881752763
621,2015,940920.1437,6189,0.006577603893
622,2015,753697.788,4630,0.006143045758
623,2015,221231.1618,2978,0.01346103313
624,2015,184103.2362,3104,0.01686010558
711AS,2015,162559.7135,509,0.003131157093
713,2015,129711.5215,1292,0.009960564685
721,2015,241809.8771,1753,0.00724949709
722,2015,684976.4838,8813,0.01286613513
81,2015,613608.12,5993,0.009766819905
GFGD,2015,596782.0889,1474,0.002469913269
GFGN,2015,371763.3928,2102,0.005654133894
GFE,2015,91984.70896,562,0.006109711129
GSLG,2015,2029242.764,14790,0.007288433036
GSLE,2015,313484.584,1066,0.003400486194
111CA,2016,461597.7536,703,0.001522971017
113FF,2016,48120.54667,516,0.0107230702
211,2016,363165.8128,172,0.000473612862
212,2016,107043.4337,177,0.0016535344
213,2016,71532.34164,251,0.003508902326
22,2016,460032.7092,549,0.001193393402
23,2016,1377646.28,6640,0.004819814851
321,2016,92851.85132,381,0.004103310754
327,2016,111813.9082,396,0.003541598771
331,2016,249889.7303,365,0.001460644259
332,2016,340200.0873,1386,0.004074073029
333,2016,340633.2211,1056,0.003100108664
334,2016,365153.1145,1033,0.002828950265
335,2016,124947.6687,376,0.003009259829
3361MV,2016,607153.2051,934,0.001538326722
3364OT,2016,288304.3838,674,0.002337806977
337,2016,72178.26789,380,0.005264742576
339,2016,153122.97,571,0.003729029028
311FT,2016,966236.5365,1719,0.00177906748
313TT,2016,51006.43607,221,0.004332786546
315AL,2016,17734.03157,153,0.008627479846
322,2016,174597.221,361,0.002067615956
323,2016,84211.99313,438,0.005201159404
324,2016,854853.3907,109,0.0001275072441
325,2016,802014.8884,798,0.0009949939977
326,2016,229377.9193,689,0.003003776484
42,2016,1842878.735,5681,0.00308267706
441,2016,355902.7205,1725,0.004846830048
445,2016,210153.5874,2688,0.01279064532
452,2016,226574.7737,2785,0.01229174791
4A0,2016,907812.2411,6596,0.007265819628
