riga,comparto,industrie,stock_2012,x_2012,sigma
2,Agricoltura,111CA,215620,404166,0.5334936635
3,"Estrattivo, utility, costruzioni",211 212 213 22 23,98972,2150472,0.04602338463
5,Manifattura durevole,321 327 331 332 333 334 335 3361MV 3364OT 337 339,413601,2703423,0.1529915962
6,Manifattura non durevole,311FT 313TT 315AL 322 323 324 325 326,315987,3072925,0.1028293889
8,Ingrosso durevole,42,351052,1655028,0.2121124235
9,Ingrosso non durevole,42,289316,1655028,0.1748103355
11,Concessionari auto,441,159204,221875,0.7175391549
12,Alimentari al dettaglio,445,48568,207679,0.2338609103
13,Grandi magazzini,452,88112,210838,0.4179132794
14,Altro dettaglio,4A0,229494,763319,0.300652807
15,Altre industrie,113FF 481 482 483 484 485 486 487OS 493 511 512 513 514 521CI 523 524 525 HS ORE 532RL 5411 5415 5412OP 55 561 562 61 621 622 623 624 711AS 713 721 722 81,160227,14451200,0.01108745295
