anno,industria,utilizzo_implicito,violato,g17
2012,111CA,1,False,False
2012,113FF,1,False,False
2012,211,0.8732050833,False,True
2012,212,0.8732050833,False,True
2012,213,0.8732050833,False,True
2012,22,0.78432425,False,True
2012,23,1,False,False
2012,311FT,0.7687226667,False,True
2012,313TT,0.6448125,False,True
2012,315AL,0.69892525,False,True
2012,321,0.6684085,False,True
2012,322,0.8345801667,False,True
2012,323,0.6378656667,False,True
2012,324,0.82982875,False,True
2012,325,0.71055225,False,True
2012,326,0.7450088333,False,True
2012,327,0.538483,False,True
2012,331,0.7485955,False,True
2012,332,0.81822775,False,True
2012,333,0.83484875,False,True
2012,334,0.7562289167,False,True
2012,335,0.79269825,False,True
2012,3361MV,0.7113693333,False,True
2012,3364OT,0.77605875,False,True
2012,337,0.7028051667,False,True
2012,339,0.7433965833,False,True
2012,42,1,False,False
2012,441,1,False,False
2012,445,1,False,False
2012,452,1,False,False
2012,481,1,False,False
2012,482,1,False,False
2012,483,1,False,False
2012,484,1,False,False
2012,485,1,False,False
2012,486,1,False,False
2012,487OS,1,False,False
2012,493,1,False,False
2012,4A0,1,False,False
2012,511,1,False,False
2012,512,1,False,False
2012,513,1,False,False
2012,514,1,False,False
2012,521CI,1,False,False
2012,523,1,False,False
2012,524,1,False,False
2012,525,1,False,False
2012,532RL,1,False,False
2012,5411,1,False,False
2012,5412OP,1,False,False
2012,5415,1,False,False
2012,55,1,False,False
2012,561,1,False,False
2012,562,1,False,False
2012,61,1,False,False
2012,621,1,False,False
2012,622,1,False,False
2012,623,1,False,False
2012,624,1,False,False
2012,711AS,1,False,False
2012,713,1,False,False
2012,721,1,False,False
2012,722,1,False,False
2012,81,1,False,False
2012,ORE,1,False,False
2012,HS,1,False,False
2013,111CA,0.98434581,False,False
2013,113FF,0.998667772,False,False
2013,211,0.8815614422,False,True
2013,212,0.7563206402,False,True
2013,213,0.7887566633,False,True
2013,22,0.789173596,False,True
2013,23,1.045084675,True,False
2013,311FT,0.7800470204,False,True
2013,313TT,0.6779760685,False,True
2013,315AL,0.7115189055,False,True
2013,321,0.7195991381,False,True
2013,322,0.8531346674,False,True
2013,323,0.6602636321,False,True
2013,324,0.8552188417,False,True
2013,325,0.7640070997,False,True
2013,326,0.7810616347,False,True
2013,327,0.5835516645,False,True
2013,331,0.7599667741,False,True
2013,332,0.8280970375,False,True
2013,333,0.8102115478,False,True
2013,334,0.7181858525,False,True
2013,335,0.7943728117,False,True
2013,3361MV,0.7450323701,False,True
2013,3364OT,0.8210941098,False,True
2013,337,0.7354193838,False,True
2013,339,0.8054230774,False,True
2013,42,1.017264732,True,False
2013,441,1.09136353,True,False
2013,445,1.007975799,True,False
2013,452,0.9933222864,False,False
2013,481,1.041962824,True,False
2013,482,0.9925435037,False,False
2013,483,0.9812171319,False,False
2013,484,0.9800429464,False,False
2013,485,1.081911083,True,False
2013,486,0.9700313439,False,False
