anno,industria,x,x_oss
2012,111CA,404.166,404.166
2012,113FF,46.60530736,46.892
2012,211,364.2789887,362.616
2012,212,123.9534006,124.611
2012,213,126.2232997,126.19
2012,22,461.578,461.578
2012,23,1075.470776,1075.477
2012,321,80.398,80.398
2012,327,99.13451715,99.294
2012,331,269.218,269.218
2012,332,342.5860852,343.079
2012,333,407.3618111,404.552
2012,334,354.253,354.253
2012,335,123.1875308,122.794
2012,3361MV,516.699,516.699
2012,3364OT,287.2282229,290.815
2012,337,74.08048022,65.729
2012,339,157.6505032,156.592
2012,311FT,895.874,895.874
2012,313TT,51.802,51.802
2012,315AL,19.244,19.244
2012,322,179.235,179.235
2012,323,83.21579173,83.081
2012,324,833.174,833.174
2012,325,794.029,794.029
2012,326,216.4429088,216.486
2012,42,1655.028,1655.028
2012,441,221.875,221.875
2012,445,207.679,207.679
2012,452,210.838,210.838
2012,4A0,763.319,763.319
2012,481,195.415,195.415
2012,482,79.141,79.141
2012,483,50.023,50.023
2012,484,297.774,297.774
2012,485,50.992,50.992
2012,486,36.442,36.442
2012,487OS,187.124183,187.233
2012,493,108.888,108.888
2012,511,295.7383831,296.233
2012,512,131.699,131.699
2012,513,733.128,733.128
2012,514,206.3384079,221.543
2012,521CI,761.619,761.619
2012,523,478.47,478.47
2012,524,798.591,798.591
2012,525,117.259,117.259
2012,HS,1726.663,1726.663
2012,ORE,889.093,889.093
2012,532RL,298.3123611,298.617
2012,5411,306.7368659,306.935
2012,5415,354.223,354.223
2012,5412OP,1123.861,1123.861
2012,55,478.846,478.846
2012,561,660.7988349,661.562
2012,562,83.564,83.564
2012,61,309.6015334,309.61
2012,621,869.254,869.254
2012,622,709.379,709.379
2012,623,208.979,208.979
2012,624,169.679,169.679
2012,711AS,144.767,144.767
2012,713,119.826827,119.836
2012,721,214.8659094,214.978
2012,722,613.8665949,613.983
2012,81,575.8832685,576.029
2012,GFGD,676.3154332,676.303
2012,GFGN,370.3908141,370.378
2012,GFE,98.82459145,98.913
2012,GSLG,1947.062,1947.062
2012,GSLE,298.5639193,298.57
2013,111CA,420.0646127,420.0646127
2013,113FF,48.26247532,48.1981787
2013,211,394.7894201,391.494883
2013,212,119.5345222,118.9735655
2013,213,125.9374801,125.8668437
2013,22,466.0971225,466.0971225
2013,23,1127.359028,1128.512488
2013,321,83.89403777,83.89403777
2013,327,102.9350132,102.9350132
2013,331,278.3293753,278.3293753
2013,332,348.5399126,348.5399126
2013,333,396.0249839,391.446297
2013,334,362.8738335,355.2192175
2013,335,123.7550645,123.7550645
2013,3361MV,552.3487559,550.3998909
2013,3364OT,299.0793759,299.0793759
2013,337,71.37069173,66.59806607
2013,339,165.9540944,165.9540944
2013,311FT,913.0265358,913.0265358
2013,313TT,53.18469398,53.18469398
2013,315AL,18.89724949,18.89724949
2013,322,179.9165585,179.9165585
2013,323,82.72247182,82.72247182
2013,324,864.7472361,863.2053806
2013,325,823.2479886,823.2479886
2013,326,219.7654445,219.7654445
2013,42,1691.991643,1721.203425
2013,441,224.6662524,245.1925543
2013,445,205.9614952,207.6042028
2013,452,215.2556271,215.2028244
2013,4A0,781.0312166,799.0861312
2013,481,194.3410407,202.4961396
2013,482,80.47968088,80.11151624
2013,483,50.5063327,50.56052114
2013,484,304.7968228,304.5854531
2013,485,50.5023329,54.63903366
