vincolo,duale,famiglia
"bilancio[111CA,2012]",9.037186305e-05,bilancio
"bilancio[113FF,2012]",7.969897265e-06,bilancio
"bilancio[211,2012]",8.74310146e-05,bilancio
"bilancio[212,2012]",1.110081566e-05,bilancio
"bilancio[213,2012]",7.484457981e-05,bilancio
"bilancio[22,2012]",-0,bilancio
"bilancio[23,2012]",8.308214234e-06,bilancio
"bilancio[321,2012]",9.037186305e-05,bilancio
"bilancio[327,2012]",9.735311711e-06,bilancio
"bilancio[331,2012]",-0,bilancio
"bilancio[332,2012]",7.363822197e-06,bilancio
"bilancio[333,2012]",9.037186305e-05,bilancio
"bilancio[334,2012]",9.037186305e-05,bilancio
"bilancio[335,2012]",7.483076259e-05,bilancio
"bilancio[3361MV,2012]",9.037186305e-05,bilancio
"bilancio[3364OT,2012]",9.781794457e-06,bilancio
"bilancio[337,2012]",9.025040933e-05,bilancio
"bilancio[339,2012]",8.67830426e-05,bilancio
"bilancio[311FT,2012]",9.037186305e-05,bilancio
"bilancio[313TT,2012]",9.037186305e-05,bilancio
"bilancio[315AL,2012]",9.037186305e-05,bilancio
"bilancio[322,2012]",9.037186305e-05,bilancio
"bilancio[323,2012]",8.202987267e-05,bilancio
"bilancio[324,2012]",9.037186305e-05,bilancio
"bilancio[325,2012]",9.037186305e-05,bilancio
"bilancio[326,2012]",2.738826345e-05,bilancio
"bilancio[42,2012]",9.037186305e-05,bilancio
"bilancio[441,2012]",9.037186305e-05,bilancio
"bilancio[445,2012]",9.037186305e-05,bilancio
"bilancio[452,2012]",9.037186305e-05,bilancio
"bilancio[4A0,2012]",9.037186305e-05,bilancio
"bilancio[481,2012]",-0,bilancio
"bilancio[482,2012]",9.037186305e-05,bilancio
"bilancio[483,2012]",9.037186305e-05,bilancio
"bilancio[484,2012]",9.037186305e-05,bilancio
"bilancio[485,2012]",-0,bilancio
"bilancio[486,2012]",-0,bilancio
"bilancio[487OS,2012]",5.695858967e-06,bilancio
"bilancio[493,2012]",-0,bilancio
"bilancio[511,2012]",1.980762516e-05,bilancio
"bilancio[512,2012]",9.037186305e-05,bilancio
"bilancio[513,2012]",-0,bilancio
"bilancio[514,2012]",9.091644655e-05,bilancio
"bilancio[521CI,2012]",-0,bilancio
"bilancio[523,2012]",9.037186305e-05,bilancio
"bilancio[524,2012]",9.037186305e-05,bilancio
"bilancio[525,2012]",9.037186305e-05,bilancio
"bilancio[HS,2012]",-0,bilancio
"bilancio[ORE,2012]",-0,bilancio
"bilancio[532RL,2012]",2.489156216e-06,bilancio
"bilancio[5411,2012]",2.67047121e-06,bilancio
"bilancio[5415,2012]",0.0008475653685,bilancio
"bilancio[5412OP,2012]",9.037186305e-05,bilancio
"bilancio[55,2012]",0.0005215158465,bilancio
"bilancio[561,2012]",2.793806983e-05,bilancio
"bilancio[562,2012]",9.037186305e-05,bilancio
"bilancio[61,2012]",4.610500173e-06,bilancio
"bilancio[621,2012]",9.037186305e-05,bilancio
"bilancio[622,2012]",9.037186305e-05,bilancio
"bilancio[623,2012]",9.037186305e-05,bilancio
"bilancio[624,2012]",9.037186305e-05,bilancio
"bilancio[711AS,2012]",-0,bilancio
"bilancio[713,2012]",1.251776032e-05,bilancio
"bilancio[721,2012]",2.657435006e-05,bilancio
