vincolo,duale,famiglia
"bilancio[111CA,2012]",6.928350677e-05,bilancio
"bilancio[113FF,2012]",9.037186305e-05,bilancio
"bilancio[211,2012]",-0,bilancio
"bilancio[212,2012]",-0,bilancio
"bilancio[213,2012]",1.77180098e-07,bilancio
"bilancio[22,2012]",5.642799756e-05,bilancio
"bilancio[23,2012]",7.061919816e-05,bilancio
"bilancio[321,2012]",1.018249313e-05,bilancio
"bilancio[327,2012]",-0,bilancio
"bilancio[331,2012]",-0,bilancio
"bilancio[332,2012]",-0,bilancio
"bilancio[333,2012]",-0,bilancio
"bilancio[334,2012]",-0,bilancio
"bilancio[335,2012]",-0,bilancio
"bilancio[3361MV,2012]",-0,bilancio
"bilancio[3364OT,2012]",-0,bilancio
"bilancio[337,2012]",8.448408343e-06,bilancio
"bilancio[339,2012]",-0,bilancio
"bilancio[311FT,2012]",-0,bilancio
"bilancio[313TT,2012]",3.719779913e-06,bilancio
"bilancio[315AL,2012]",3.265835086e-05,bilancio
"bilancio[322,2012]",-0,bilancio
"bilancio[323,2012]",1.065825055e-05,bilancio
"bilancio[324,2012]",-0,bilancio
"bilancio[325,2012]",-0,bilancio
"bilancio[326,2012]",-0,bilancio
"bilancio[42,2012]",-0,bilancio
"bilancio[441,2012]",1.885267953e-05,bilancio
"bilancio[445,2012]",9.037186305e-05,bilancio
"bilancio[452,2012]",5.837770685e-05,bilancio
"bilancio[4A0,2012]",3.343508888e-05,bilancio
"bilancio[481,2012]",-0,bilancio
"bilancio[482,2012]",-0,bilancio
"bilancio[483,2012]",-0,bilancio
"bilancio[484,2012]",6.548016179e-06,bilancio
"bilancio[485,2012]",9.037186305e-05,bilancio
"bilancio[486,2012]",-0,bilancio
"bilancio[487OS,2012]",1.743965131e-05,bilancio
"bilancio[493,2012]",2.945214467e-05,bilancio
"bilancio[511,2012]",-0,bilancio
"bilancio[512,2012]",-0,bilancio
"bilancio[513,2012]",6.165184288e-05,bilancio
"bilancio[514,2012]",-0,bilancio
"bilancio[521CI,2012]",6.970032918e-05,bilancio
"bilancio[523,2012]",6.745226867e-05,bilancio
"bilancio[524,2012]",9.037186305e-05,bilancio
"bilancio[525,2012]",2.124874016e-05,bilancio
"bilancio[HS,2012]",9.037186305e-05,bilancio
"bilancio[ORE,2012]",7.46977195e-05,bilancio
"bilancio[532RL,2012]",6.006451766e-05,bilancio
"bilancio[5411,2012]",7.039784555e-05,bilancio
"bilancio[5415,2012]",7.410908435e-06,bilancio
"bilancio[5412OP,2012]",1.261179076e-05,bilancio
"bilancio[55,2012]",6.342230282e-06,bilancio
"bilancio[561,2012]",4.485616592e-05,bilancio
"bilancio[562,2012]",6.90813583e-05,bilancio
"bilancio[61,2012]",8.678430528e-05,bilancio
"bilancio[621,2012]",8.872555264e-05,bilancio
"bilancio[622,2012]",8.104985417e-05,bilancio
"bilancio[623,2012]",9.037186305e-05,bilancio
"bilancio[624,2012]",9.037186305e-05,bilancio
"bilancio[711AS,2012]",7.081789038e-05,bilancio
"bilancio[713,2012]",5.964451755e-05,bilancio
"bilancio[721,2012]",9.037186305e-05,bilancio
"bilancio[722,2012]",9.037186305e-05,bilancio
"bilancio[81,2012]",3.760032575e-05,bilancio
"bilancio[GFGD,2012]",-0,bilancio
"bilancio[GFGN,2012]",1.01078077e-05,bilancio
"bilancio[GFE,2012]",1.866487363e-05,bilancio
"bilancio[GSLG,2012]",2.482005345e-05,bilancio
"bilancio[GSLE,2012]",7.609732836e-05,bilancio
"bilancio[111CA,2013]",-0,bilancio
"bilancio[113FF,2013]",6.498778274e-05,bilancio
"bilancio[211,2013]",5.38161311e-06,bilancio
"bilancio[212,2013]",5.149352567e-05,bilancio
"bilancio[213,2013]",4.245034986e-05,bilancio
"bilancio[22,2013]",3.966232821e-05,bilancio
"bilancio[23,2013]",-0,bilancio
"bilancio[321,2013]",-0,bilancio
"bilancio[327,2013]",-0,bilancio
"bilancio[331,2013]",-0,bilancio
"bilancio[332,2013]",-0,bilancio
"bilancio[333,2013]",-0,bilancio
"bilancio[334,2013]",-0,bilancio
"bilancio[335,2013]",-0,bilancio
"bilancio[3361MV,2013]",-0,bilancio
"bilancio[3364OT,2013]",-0,bilancio
"bilancio[337,2013]",-0,bilancio
"bilancio[339,2013]",-0,bilancio
"bilancio[311FT,2013]",-0,bilancio
"bilancio[313TT,2013]",-0,bilancio
"bilancio[315AL,2013]",-0,bilancio
"bilancio[322,2013]",-0,bilancio
"bilancio[323,2013]",-0,bilancio
"bilancio[324,2013]",3.966856177e-05,bilancio
"bilancio[325,2013]",-0,bilancio
"bilancio[326,2013]",-0,bilancio
"bilancio[42,2013]",-0,bilancio
"bilancio[441,2013]",-0,bilancio
"bilancio[445,2013]",1.344085573e-05,bilancio
"bilancio[452,2013]",1.743251536e-05,bilancio
"bilancio[4A0,2013]",2.326266058e-06,bilancio
"bilancio[481,2013]",-0,bilancio
"bilancio[482,2013]",-0,bilancio
"bilancio[483,2013]",-0,bilancio
"bilancio[484,2013]",-0,bilancio
"bilancio[485,2013]",5.353268088e-05,bilancio
"bilancio[486,2013]",4.688051378e-05,bilancio
"bilancio[487OS,2013]",6.225884296e-05,bilancio
"bilancio[493,2013]",7.50258637e-07,bilancio
"bilancio[511,2013]",-0,bilancio
"bilancio[512,2013]",-0,bilancio
"bilancio[513,2013]",5.286494093e-05,bilancio
"bilancio[514,2013]",-0,bilancio
"bilancio[521CI,2013]",-0,bilancio
"bilancio[523,2013]",5.477726804e-05,bilancio
"bilancio[524,2013]",7.740772598e-05,bilancio
"bilancio[525,2013]",8.838506424e-06,bilancio
"bilancio[HS,2013]",8.911535767e-05,bilancio
"bilancio[ORE,2013]",1.571681226e-05,bilancio
"bilancio[532RL,2013]",-0,bilancio
"bilancio[5411,2013]",5.605994504e-05,bilancio
"bilancio[5415,2013]",5.155822072e-05,bilancio
"bilancio[5412OP,2013]",4.565607857e-05,bilancio
"bilancio[55,2013]",5.641119172e-05,bilancio
"bilancio[561,2013]",7.875267785e-05,bilancio
"bilancio[562,2013]",5.141422671e-05,bilancio
"bilancio[61,2013]",3.983590231e-06,bilancio
"bilancio[621,2013]",-0,bilancio
"bilancio[622,2013]",1.42421387e-06,bilancio
"bilancio[623,2013]",8.911535767e-05,bilancio
"bilancio[624,2013]",3.176670998e-05,bilancio
"bilancio[711AS,2013]",5.441357378e-05,bilancio
"bilancio[713,2013]",1.837926897e-05,bilancio
"bilancio[721,2013]",5.94871953e-05,bilancio
"bilancio[722,2013]",7.708939238e-05,bilancio
"bilancio[81,2013]",5.566867258e-06,bilancio
"bilancio[GFGD,2013]",5.024222681e-05,bilancio
"bilancio[GFGN,2013]",6.029268123e-05,bilancio
"bilancio[GFE,2013]",6.531629026e-05,bilancio
"bilancio[GSLG,2013]",-0,bilancio
"bilancio[GSLE,2013]",-0,bilancio
"bilancio[111CA,2014]",5.484389161e-05,bilancio
"bilancio[113FF,2014]",7.254420739e-06,bilancio
"bilancio[211,2014]",-0,bilancio
"bilancio[212,2014]",-0,bilancio
"bilancio[213,2014]",-0,bilancio
"bilancio[22,2014]",5.410954407e-05,bilancio
