anno,industria,x,x_oss
2012,111CA,404.166,404.166
2012,113FF,43.63340303,46.892
2012,211,266.0534166,362.616
2012,212,108.2819547,124.611
2012,213,23.99467067,126.19
2012,22,447.6516341,461.578
2012,23,1075.477,1075.477
2012,321,77.6400012,80.398
2012,327,91.80941205,99.294
2012,331,222.4522907,269.218
2012,332,297.8553952,343.079
2012,333,310.94963,404.552
2012,334,280.3366112,354.253
2012,335,103.5270816,122.794
2012,3361MV,466.8468337,516.699
2012,3364OT,253.1347004,290.815
2012,337,82.57852485,65.729
2012,339,132.9295283,156.592
2012,311FT,859.9872869,895.874
2012,313TT,45.93074102,51.802
2012,315AL,4.85532487,19.244
2012,322,168.340512,179.235
2012,323,80.87813856,83.081
2012,324,790.3287406,833.174
2012,325,734.2839638,794.029
2012,326,197.195372,216.486
2012,42,1523.035308,1655.028
2012,441,216.9597124,221.875
2012,445,204.5980395,207.679
2012,452,207.8309666,210.838
2012,4A0,752.8494931,763.319
2012,481,188.0018304,195.415
2012,482,74.80520719,79.141
2012,483,49.02035774,50.023
2012,484,285.7864218,297.774
2012,485,50.18603399,50.992
2012,486,32.95954401,36.442
2012,487OS,180.5397283,187.233
2012,493,104.4022408,108.888
2012,511,296.233,296.233
2012,512,131.699,131.699
2012,513,717.6926575,733.128
2012,514,219.271579,221.543
2012,521CI,742.3357805,761.619
2012,523,467.8956016,478.47
2012,524,798.591,798.591
2012,525,115.7697079,117.259
2012,HS,1703.577291,1726.663
2012,ORE,889.093,889.093
2012,532RL,288.0458019,298.617
2012,5411,300.6573885,306.935
2012,5415,354.223,354.223
2012,5412OP,1116.079914,1123.861
2012,55,448.0906815,478.846
2012,561,642.291409,661.562
2012,562,81.13924102,83.564
2012,61,305.5077013,309.61
2012,621,857.5512533,869.254
2012,622,699.708376,709.379
2012,623,206.1974759,208.979
2012,624,167.4023384,169.679
2012,711AS,144.767,144.767
2012,713,118.1460715,119.836
2012,721,211.4977664,214.978
2012,722,604.5724813,613.983
2012,81,564.4132992,576.029
2012,GFGD,676.1341081,676.303
2012,GFGN,370.2363193,370.378
2012,GFE,95.70499558,98.913
2012,GSLG,1940.353183,1947.062
2012,GSLE,292.141739,298.57
2013,111CA,409.6004919,420.0646127
2013,113FF,48.68605162,48.1981787
2013,211,398.3009552,391.494883
2013,212,115.6318893,118.9735655
2013,213,26.47739216,125.8668437
2013,22,473.6423272,466.0971225
2013,23,1498.396373,1128.512488
2013,321,98.67882416,83.89403777
2013,327,112.0294562,102.9350132
2013,331,251.4929438,278.3293753
2013,332,339.1544562,348.5399126
2013,333,268.3709251,391.446297
2013,334,320.6470116,355.2192175
2013,335,120.4309557,123.7550645
2013,3361MV,521.1137345,550.3998909
2013,3364OT,274.6182657,299.0793759
2013,337,60.80329511,66.59806607
2013,339,147.3423487,165.9540944
2013,311FT,911.4283923,913.0265358
2013,313TT,50.51102154,53.18469398
2013,315AL,6.481506177,18.89724949
2013,322,176.0259018,179.9165585
2013,323,78.98090446,82.72247182
2013,324,958.0952909,863.2053806
2013,325,793.7919402,823.2479886
2013,326,214.2650981,219.7654445
2013,42,1669.828319,1721.203425
2013,441,243.478508,245.1925543
2013,445,207.4654288,207.6042028
2013,452,215.9163141,215.2028244
2013,4A0,822.9178001,799.0861312
2013,481,197.8470863,202.4961396
2013,482,80.13143982,80.11151624
2013,483,50.68699356,50.56052114
2013,484,301.0143802,304.5854531
2013,485,54.49521163,54.63903366
2013,486,39.81916199,36.73040608
2013,487OS,188.052936,190.8201192
2013,493,110.8962461,111.7750646
2013,511,322.2396233,310.9524895
2013,512,125.8331972,136.619994
2013,513,726.7722023,749.7202742
2013,514,223.8911678,240.2347354
2013,521CI,778.5278001,777.0406913
2013,523,471.1808306,474.2308528
2013,524,836.1612966,827.3564829
2013,525,135.4759257,135.5303097
2013,HS,1745.847178,1743.029863
2013,ORE,1155.74302,960.4627846
2013,532RL,312.9441391,315.3567273
2013,5411,320.5490579,297.716879
2013,5415,343.488928,369.3379096
2013,5412OP,959.3953039,1131.560509
2013,55,475.5467564,488.6777069
2013,561,678.5331732,681.2134559
2013,562,87.32476671,85.47727804
2013,61,308.4849116,312.3842837
2013,621,864.9698045,865.5747508
2013,622,716.4334117,718.0263465
2013,623,211.4899317,211.6676564
2013,624,171.1110195,171.2084374
2013,711AS,148.6445856,148.7714629
2013,713,122.9516589,122.9797275
2013,721,222.0306809,221.7037595
2013,722,626.0586196,625.6137757
2013,81,574.1486127,574.6962508
2013,GFGD,629.5369244,633.1510606
2013,GFGN,358.4707578,360.5372605
2013,GFE,92.67209061,93.45068235
2013,GSLG,1958.226846,1962.204783
2013,GSLE,308.9023124,302.5492615
2014,111CA,438.5736925,426.9591743
2014,113FF,51.37238978,53.00329593
2014,211,380.7007273,426.7537306
2014,212,106.607773,122.4624409
2014,213,25.95426359,159.7072121
2014,22,484.1553591,472.1610722
2014,23,1068.998248,1191.792556
2014,321,79.34465193,84.86816984
2014,327,96.62364524,107.0695856
2014,331,223.9488579,278.4018351
2014,332,305.5347991,355.5833421
2014,333,253.9981874,398.1527264
2014,334,330.7894291,354.7213471
2014,335,108.5291817,127.3907201
2014,3361MV,448.4927503,587.2035562
2014,3364OT,263.0929642,311.5349482
2014,337,57.41627784,67.44260484
2014,339,144.3376561,160.4764343
2014,311FT,941.7407996,910.5577956
2014,313TT,48.70336129,53.96859719
2014,315AL,4.181447857,18.15784282
2014,322,172.5978965,178.583728
2014,323,79.47963209,81.53338845
2014,324,838.4457001,834.613092
2014,325,778.9335021,810.5917251
2014,326,207.0603437,224.507892
2014,42,1731.017769,1802.327272
2014,441,281.4323849,271.6411199
2014,445,223.9217564,209.9680384
2014,452,232.6804975,219.1929247
2014,4A0,862.3828923,827.1238123
2014,481,212.1394272,210.6764134
2014,482,80.45560364,84.81309337
2014,483,53.73292452,52.98547068
2014,484,309.926403,326.4871626
2014,485,62.93461361,60.86070485
2014,486,38.83983906,39.1053764
2014,487OS,198.5408872,200.4218243
2014,493,113.22521,112.3573748
2014,511,370.8055535,327.2902762
2014,512,110.1137309,138.2572914
2014,513,804.3485277,792.944715
2014,514,253.0245608,260.4244569
2014,521CI,815.0249535,794.9007774
2014,523,481.945056,466.0142255
2014,524,910.3371126,884.5774773
2014,525,146.6750188,137.51382
2014,HS,1856.939194,1738.811048
2014,ORE,1059.819201,1008.8257
2014,532RL,329.636829,334.1377749
2014,5411,306.4992616,295.0836616
2014,5415,422.3599079,399.2951331
2014,5412OP,1050.440544,1185.159305
2014,55,508.0518138,519.4258455
2014,561,736.7057861,737.2642375
2014,562,91.9544461,90.3897978
2014,61,330.1277153,315.283236
2014,621,953.154989,892.2740288
2014,622,768.1746456,719.8774351
2014,623,231.0865842,216.2839925
2014,624,189.9596244,177.6651074
2014,711AS,160.9225067,156.8679416
2014,713,134.0051765,125.8390589
2014,721,245.1962815,233.392097
2014,722,686.9692914,650.1047981
2014,81,630.8262037,602.0764871
2014,GFGD,608.7532876,611.1507441
2014,GFGN,359.9824352,361.275454
2014,GFE,92.12329625,91.01968091
2014,GSLG,1989.776277,1974.686571
2014,GSLE,314.1191136,302.0676769
2015,111CA,444.6031157,436.0488367
2015,113FF,49.04331959,51.65745506
2015,211,364.114761,385.4277226
2015,212,102.8590642,116.0829032
2015,213,101.294364,130.5363462
2015,22,479.1893033,467.807517
2015,23,978.2155412,1295.417935
2015,321,72.67876765,90.20827436
2015,327,92.67299263,109.2318949
2015,331,213.5593288,263.6489986
2015,332,294.5795588,347.9478634
2015,333,262.0549291,365.7140668
2015,334,324.2364738,357.9108663
2015,335,98.66818975,127.9215545
2015,3361MV,445.7503474,612.0777708
2015,3364OT,255.8500512,312.476085
2015,337,57.6526636,71.61670546
2015,339,142.2270208,162.2099672
2015,311FT,983.4659997,942.6697447
2015,313TT,45.8469665,51.98721063
2015,315AL,2.768651041,17.53919044
2015,322,170.4486749,177.498468
2015,323,78.97342979,80.75759637
2015,324,800.857055,816.58304
2015,325,758.4657807,798.7331198
2015,326,209.6276799,229.5009016
2015,42,1758.129051,1834.793204
2015,441,325.6213658,309.3517
2015,445,229.9284787,211.0073652
2015,452,245.339947,226.8170894
2015,4A0,906.3463551,869.7926879
2015,481,225.3589254,221.8366338
2015,482,76.02393301,81.24824659
2015,483,51.55775546,50.44854095
2015,484,314.4783937,332.248169
2015,485,66.38602653,63.65092971
2015,486,40.31759452,41.175425
2015,487OS,208.0325068,209.4803452
2015,493,113.1770926,111.8821372
2015,511,381.9591615,331.2869921
2015,512,109.9849397,145.2152306
2015,513,855.9746201,835.6001965
2015,514,281.4312314,287.7877374
2015,521CI,822.0269544,796.9871293
2015,523,482.2198343,457.0513089
2015,524,946.0368496,923.2496697
2015,525,163.0625484,149.5228717
2015,HS,1897.124839,1738.697539
2015,ORE,984.1288612,1080.250361
2015,532RL,329.2934369,330.8324745
2015,5411,287.366014,297.423745
2015,5415,449.6926904,414.3131013
2015,5412OP,1087.637751,1215.558175
2015,55,531.8862201,536.8542537
2015,561,766.2339613,772.1057593
2015,562,92.32371588,92.13327874
2015,61,340.6063814,319.0729495
2015,621,1027.765818,940.9201437
2015,622,822.0483346,753.697788
2015,623,241.6768737,221.2311618
2015,624,201.2583061,184.1032362
2015,711AS,163.4738251,162.5597135
2015,713,141.0533149,129.7115215
2015,721,257.1295306,241.8098771
2015,722,734.786143,684.9764838
2015,81,653.7673705,613.60812
2015,GFGD,594.6869988,596.7820889
2015,GFGN,370.5058559,371.7633928
2015,GFE,93.60730845,91.98470896
2015,GSLG,2050.770619,2029.242764
2015,GSLE,325.4626174,313.484584
2016,111CA,483.9559067,461.5977536
2016,113FF,46.83388865,48.12054667
2016,211,375.3063752,363.1658128
2016,212,114.0500834,107.0434337
2016,213,223.3821599,71.53234164
2016,22,468.3896131,460.0327092
2016,23,1099.549599,1377.64628
2016,321,77.59197294,92.85185132
2016,327,98.92440252,111.8139082
2016,331,273.9817574,249.8897303
2016,332,298.8696277,340.2000873
2016,333,223.0603952,340.6332211
2016,334,387.9817355,365.1531145
2016,335,99.78068134,124.9476687
2016,3361MV,449.2144704,607.1532051
2016,3364OT,255.2095982,288.3043838
2016,337,52.09717914,72.17826789
2016,339,127.7203668,153.12297
2016,311FT,1006.269412,966.2365365
2016,313TT,45.67550324,51.00643607
2016,315AL,9.040890386,17.73403157
2016,322,172.0451465,174.597221
2016,323,82.50702085,84.21199313
2016,324,854.1515347,854.8533907
2016,325,770.2765334,802.0148884
2016,326,215.8910123,229.3779193
2016,42,1857.083086,1842.878735
2016,441,358.6768522,355.9027205
2016,445,222.7055326,210.1535874
2016,452,238.1023783,226.5747737
2016,4A0,917.3448453,907.8122411
2016,481,229.9381131,228.822564
2016,482,72.85012354,75.60502952
2016,483,51.17047611,50.07962994
2016,484,319.3265735,334.3699988
2016,485,65.21591509,63.4733522
2016,486,41.1266118,40.38676408
2016,487OS,213.9950997,214.9900956
2016,493,118.1008004,117.0890189
2016,511,482.9073806,363.3677901
2016,512,110.951702,146.9240731
2016,513,907.6950973,882.6035539
2016,514,304.7677967,321.0355843
2016,521CI,823.8215813,803.9760459
2016,523,466.039389,441.6527574
2016,524,1010.491317,927.9252361
2016,525,143.5257592,135.0549824
2016,HS,1853.26039,1748.037831
2016,ORE,1039.383119,1129.464425
2016,532RL,341.0888695,337.8197812
2016,5411,286.319948,296.4068177
2016,5415,542.6686175,452.6479139
2016,5412OP,993.7719277,1249.919785
2016,55,543.9791931,535.9275138
2016,561,815.536722,819.5221816
2016,562,97.5901657,98.08074578
2016,61,334.0554847,322.9982993
2016,621,1047.591011,987.2936635
2016,622,817.4997703,771.4130264
2016,623,237.531664,223.7906487
2016,624,204.3963798,192.454026
2016,711AS,163.8114673,166.2427471
2016,713,141.6682309,133.9401647
2016,721,256.5580171,246.4954318
2016,722,733.9609548,701.2796302
2016,81,659.2252241,630.9903739
2016,GFGD,590.7959404,594.8714443
2016,GFGN,374.9472318,377.678832
2016,GFE,96.05193867,94.17157242
2016,GSLG,2083.456085,2075.765401
2016,GSLE,330.5322085,322.4295374
