vincolo,duale,famiglia
"bilancio[111CA,2012]",-0.002654887602,bilancio
"bilancio[113FF,2012]",-0.000295730946,bilancio
"bilancio[211,2012]",-2.121850611e-05,bilancio
"bilancio[212,2012]",-2.838749435e-05,bilancio
"bilancio[213,2012]",-2.469974475e-05,bilancio
"bilancio[22,2012]",-2.283053714e-05,bilancio
"bilancio[23,2012]",-6.845933739e-05,bilancio
"bilancio[321,2012]",-8.783166627e-05,bilancio
"bilancio[327,2012]",-5.663327299e-05,bilancio
"bilancio[331,2012]",-5.959561905e-05,bilancio
"bilancio[332,2012]",-5.74549492e-05,bilancio
"bilancio[333,2012]",-5.83542249e-05,bilancio
"bilancio[334,2012]",-4.214469063e-05,bilancio
"bilancio[335,2012]",-5.636561771e-05,bilancio
"bilancio[3361MV,2012]",-6.755192793e-05,bilancio
"bilancio[3364OT,2012]",-5.437214561e-05,bilancio
"bilancio[337,2012]",-7.092188093e-05,bilancio
"bilancio[339,2012]",-5.9652411e-05,bilancio
"bilancio[311FT,2012]",-0.0008005634018,bilancio
"bilancio[313TT,2012]",-0.0001868075178,bilancio
"bilancio[315AL,2012]",-7.342747926e-05,bilancio
"bilancio[322,2012]",-6.488959467e-05,bilancio
"bilancio[323,2012]",-5.582171047e-05,bilancio
"bilancio[324,2012]",-3.951423613e-05,bilancio
"bilancio[325,2012]",-0.0001388384935,bilancio
"bilancio[326,2012]",-7.517362719e-05,bilancio
"bilancio[42,2012]",-9.548886153e-05,bilancio
"bilancio[441,2012]",-0.000148713911,bilancio
"bilancio[445,2012]",-8.90886715e-05,bilancio
"bilancio[452,2012]",-9.773046147e-05,bilancio
"bilancio[4A0,2012]",-8.075750866e-05,bilancio
"bilancio[481,2012]",-2.321010722e-05,bilancio
"bilancio[482,2012]",-2.059115777e-05,bilancio
"bilancio[483,2012]",-3.150950105e-05,bilancio
"bilancio[484,2012]",-2.636670618e-05,bilancio
"bilancio[485,2012]",-1.669096403e-05,bilancio
"bilancio[486,2012]",-1.682926074e-05,bilancio
"bilancio[487OS,2012]",-2.549278582e-05,bilancio
"bilancio[493,2012]",-4.501023036e-05,bilancio
"bilancio[511,2012]",-0.0001398153257,bilancio
"bilancio[512,2012]",-3.779750141e-05,bilancio
"bilancio[513,2012]",-2.146323379e-05,bilancio
"bilancio[514,2012]",-3.303742372e-05,bilancio
"bilancio[521CI,2012]",-1.773878134e-05,bilancio
"bilancio[523,2012]",-2.154660596e-05,bilancio
"bilancio[524,2012]",-1.650346277e-05,bilancio
"bilancio[525,2012]",-2.736782389e-05,bilancio
"bilancio[HS,2012]",-5.993836493e-06,bilancio
"bilancio[ORE,2012]",-0.0002119899399,bilancio
"bilancio[532RL,2012]",-2.51460337e-05,bilancio
"bilancio[5411,2012]",-2.333111282e-05,bilancio
"bilancio[5415,2012]",-3.264880859e-05,bilancio
"bilancio[5412OP,2012]",-3.800925261e-05,bilancio
"bilancio[55,2012]",-2.14762385e-05,bilancio
"bilancio[561,2012]",-2.280521944e-05,bilancio
"bilancio[562,2012]",-2.691327684e-05,bilancio
"bilancio[61,2012]",-4.528856063e-05,bilancio
"bilancio[621,2012]",-2.70735632e-05,bilancio
"bilancio[622,2012]",-3.576294396e-05,bilancio
"bilancio[623,2012]",-5.942062194e-05,bilancio
"bilancio[624,2012]",-7.029335812e-05,bilancio
"bilancio[711AS,2012]",-2.881155645e-05,bilancio
"bilancio[713,2012]",-0.0001009139694,bilancio
"bilancio[721,2012]",-4.162237099e-05,bilancio
"bilancio[722,2012]",-9.33229287e-05,bilancio
"bilancio[81,2012]",-4.840911469e-05,bilancio
"bilancio[GFGD,2012]",-1.992808018e-05,bilancio
"bilancio[GFGN,2012]",-1.504583228e-05,bilancio
"bilancio[GFE,2012]",-2.50019277e-05,bilancio
"bilancio[GSLG,2012]",-3.904839145e-05,bilancio
"bilancio[GSLE,2012]",-2.796106095e-05,bilancio
"bilancio[111CA,2013]",-7.024151676e-05,bilancio
"bilancio[113FF,2013]",-0.0001288091915,bilancio
"bilancio[211,2013]",-2.794382029e-05,bilancio
"bilancio[212,2013]",-4.049709588e-05,bilancio
"bilancio[213,2013]",-4.646343855e-05,bilancio
"bilancio[22,2013]",-4.338911937e-05,bilancio
"bilancio[23,2013]",-8.758896607e-05,bilancio
"bilancio[321,2013]",-8.852366201e-05,bilancio
"bilancio[327,2013]",-6.618233282e-05,bilancio
"bilancio[331,2013]",-4.706719259e-05,bilancio
"bilancio[332,2013]",-7.127862854e-05,bilancio
"bilancio[333,2013]",-5.943576202e-05,bilancio
"bilancio[334,2013]",-4.688871117e-05,bilancio
"bilancio[335,2013]",-5.588987198e-05,bilancio
"bilancio[3361MV,2013]",-5.303930349e-05,bilancio
"bilancio[3364OT,2013]",-5.131167138e-05,bilancio
"bilancio[337,2013]",-8.934234556e-05,bilancio
"bilancio[339,2013]",-6.308794991e-05,bilancio
