anno,industria,x,x_oss
2012,111CA,448.4622422,404.166
2012,113FF,47.49610637,46.892
2012,211,325.4794927,362.616
2012,212,124.9200734,124.611
2012,213,119.6314084,126.19
2012,22,505.1735012,461.578
2012,23,1393.104922,1075.477
2012,321,89.31668343,80.398
2012,327,103.0260308,99.294
2012,331,210.3129019,269.218
2012,332,304.5662073,343.079
2012,333,259.0392616,404.552
2012,334,260.4331394,354.253
2012,335,112.3232428,122.794
2012,3361MV,360.7985907,516.699
2012,3364OT,230.915164,290.815
2012,337,56.15406457,65.729
2012,339,132.6315623,156.592
2012,311FT,975.3796781,895.874
2012,313TT,47.08140821,51.802
2012,315AL,3.337538945,19.244
2012,322,173.2838017,179.235
2012,323,76.23565536,83.081
2012,324,871.0185162,833.174
2012,325,775.2105803,794.029
2012,326,202.986272,216.486
2012,42,1541.793227,1655.028
2012,441,236.7055705,221.875
2012,445,208.4718177,207.679
2012,452,210.7878693,210.838
2012,4A0,764.8087707,763.319
2012,481,207.1964329,195.415
2012,482,77.03727915,79.141
2012,483,53.37462962,50.023
2012,484,291.0303974,297.774
2012,485,50.9709377,50.992
2012,486,36.52719293,36.442
2012,487OS,188.8198606,187.233
2012,493,105.8282507,108.888
2012,511,222.513319,296.233
2012,512,101.513141,131.699
2012,513,744.8314286,733.128
2012,514,192.7789497,221.543
2012,521CI,810.1788844,761.619
2012,523,534.7813951,478.47
2012,524,899.2320882,798.591
2012,525,139.9412133,117.259
2012,HS,1726.663,1726.663
2012,ORE,1066.657165,889.093
2012,532RL,308.1356435,298.617
2012,5411,352.3968129,306.935
2012,5415,215.0894746,354.223
2012,5412OP,886.9428554,1123.861
2012,55,451.1717421,478.846
2012,561,649.8451004,661.562
2012,562,89.71798054,83.564
2012,61,302.9952549,309.61
2012,621,1036.946725,869.254
2012,622,708.795228,709.379
2012,623,209.1646376,208.979
2012,624,169.758137,169.679
2012,711AS,151.0759852,144.767
2012,713,119.9874007,119.836
2012,721,215.4905118,214.978
2012,722,617.0619123,613.983
2012,81,576.2885468,576.029
2012,GFGD,670.6564744,676.303
2012,GFGN,366.6834645,370.378
2012,GFE,101.7051845,98.913
2012,GSLG,1950.289552,1947.062
2012,GSLE,326.8400958,298.57
2013,111CA,435.2821509,420.0646127
2013,113FF,47.84395656,48.1981787
2013,211,438.3372017,391.494883
2013,212,123.0893788,118.9735655
2013,213,195.9998376,125.8668437
2013,22,507.1873963,466.0971225
2013,23,1122.939423,1128.512488
2013,321,80.0489074,83.89403777
2013,327,98.62720282,102.9350132
2013,331,225.3508943,278.3293753
2013,332,307.2053278,348.5399126
2013,333,256.7084265,391.446297
2013,334,286.810716,355.2192175
2013,335,104.7793136,123.7550645
2013,3361MV,439.3042751,550.3998909
2013,3364OT,251.6696179,299.0793759
2013,337,55.64504818,66.59806607
2013,339,146.8562723,165.9540944
2013,311FT,1002.54498,913.0265358
2013,313TT,48.52979918,53.18469398
2013,315AL,1.131799276,18.89724949
2013,322,175.9565267,179.9165585
2013,323,77.47177879,82.72247182
2013,324,1015.160221,863.2053806
2013,325,813.7296772,823.2479886
2013,326,206.5375535,219.7654445
2013,42,1652.038327,1721.203425
2013,441,267.5101978,245.1925543
