vincolo,duale,famiglia
"bilancio[111CA,2012]",-1.438529748,bilancio
"bilancio[113FF,2012]",-3.666415165,bilancio
"bilancio[211,2012]",-1.784070095,bilancio
"bilancio[212,2012]",-1.389185772,bilancio
"bilancio[213,2012]",-2.524588534,bilancio
"bilancio[22,2012]",-1.44132692,bilancio
"bilancio[23,2012]",-3.646154391,bilancio
"bilancio[321,2012]",-2.79997389,bilancio
"bilancio[327,2012]",-2.152258752,bilancio
"bilancio[331,2012]",-1.588593224,bilancio
"bilancio[332,2012]",-2.326590516,bilancio
"bilancio[333,2012]",-2.202054834,bilancio
"bilancio[334,2012]",-1.567828538,bilancio
"bilancio[335,2012]",-1.896513985,bilancio
"bilancio[3361MV,2012]",-1.739633451,bilancio
"bilancio[3364OT,2012]",-2.211531297,bilancio
"bilancio[337,2012]",-2.938073252,bilancio
"bilancio[339,2012]",-2.007504343,bilancio
"bilancio[311FT,2012]",-1.862406811,bilancio
"bilancio[313TT,2012]",-2.496692676,bilancio
"bilancio[315AL,2012]",-3.659084377,bilancio
"bilancio[322,2012]",-1.952626341,bilancio
"bilancio[323,2012]",-2.80569839,bilancio
"bilancio[324,2012]",-1.234547282,bilancio
"bilancio[325,2012]",-1.234547282,bilancio
"bilancio[326,2012]",-2.032495788,bilancio
"bilancio[42,2012]",-1.807791211,bilancio
"bilancio[441,2012]",-2.477075397,bilancio
"bilancio[445,2012]",-4.495481561,bilancio
"bilancio[452,2012]",-4.652729717,bilancio
"bilancio[4A0,2012]",-3.276676332,bilancio
"bilancio[481,2012]",-1.786367968,bilancio
"bilancio[482,2012]",-1.718954258,bilancio
"bilancio[483,2012]",-1.974217593,bilancio
"bilancio[484,2012]",-2.651248811,bilancio
"bilancio[485,2012]",-3.116601535,bilancio
"bilancio[486,2012]",-1.137856849,bilancio
"bilancio[487OS,2012]",-2.967098204,bilancio
"bilancio[493,2012]",-3.111833985,bilancio
"bilancio[511,2012]",-1.541015898,bilancio
"bilancio[512,2012]",-1.453127782,bilancio
"bilancio[513,2012]",-1.420029729,bilancio
"bilancio[514,2012]",-1.70755585,bilancio
"bilancio[521CI,2012]",-1.748193673,bilancio
"bilancio[523,2012]",-1.549540922,bilancio
"bilancio[524,2012]",-1.850373675,bilancio
"bilancio[525,2012]",-1.797900287,bilancio
"bilancio[HS,2012]",-99.21837462,bilancio
"bilancio[ORE,2012]",-1.825340239,bilancio
"bilancio[532RL,2012]",-1.622520089,bilancio
"bilancio[5411,2012]",-1.784926884,bilancio
"bilancio[5415,2012]",-2.145723351,bilancio
"bilancio[5412OP,2012]",-2.152028865,bilancio
"bilancio[55,2012]",-1.99995683,bilancio
"bilancio[561,2012]",-4.201621196,bilancio
"bilancio[562,2012]",-2.537957734,bilancio
"bilancio[61,2012]",-3.522279418,bilancio
"bilancio[621,2012]",-2.897381704,bilancio
"bilancio[622,2012]",-3.046915082,bilancio
"bilancio[623,2012]",-5.406236012,bilancio
"bilancio[624,2012]",-5.890632325,bilancio
"bilancio[711AS,2012]",-1.703954778,bilancio
"bilancio[713,2012]",-3.566179527,bilancio
"bilancio[721,2012]",-3.398371464,bilancio
"bilancio[722,2012]",-4.868215948,bilancio
"bilancio[81,2012]",-3.608175395,bilancio
"bilancio[GFGD,2012]",-1.532843662,bilancio
"bilancio[GFGN,2012]",-2.471176383,bilancio
"bilancio[GFE,2012]",-2.857653038,bilancio
"bilancio[GSLG,2012]",-3.088374309,bilancio
"bilancio[GSLE,2012]",-2.516174099,bilancio
"bilancio[111CA,2013]",-1.847676497,bilancio
"bilancio[113FF,2013]",-4.700363975,bilancio
"bilancio[211,2013]",-1.860536737,bilancio
"bilancio[212,2013]",-2.26090752,bilancio
"bilancio[213,2013]",-2.543257891,bilancio
"bilancio[22,2013]",-1.785577347,bilancio
"bilancio[23,2013]",-3.452627901,bilancio
"bilancio[321,2013]",-3.586545993,bilancio
"bilancio[327,2013]",-2.74611967,bilancio
"bilancio[331,2013]",-1.92227139,bilancio
"bilancio[332,2013]",-2.947477843,bilancio
"bilancio[333,2013]",-2.443373593,bilancio
"bilancio[334,2013]",-1.930495986,bilancio
"bilancio[335,2013]",-2.303167877,bilancio
"bilancio[3361MV,2013]",-2.168374678,bilancio
"bilancio[3364OT,2013]",-2.299833617,bilancio
"bilancio[337,2013]",-3.691158668,bilancio
"bilancio[339,2013]",-2.57832796,bilancio
"bilancio[311FT,2013]",-2.33543091,bilancio
"bilancio[313TT,2013]",-3.066558319,bilancio
"bilancio[315AL,2013]",-1.313500952,bilancio
"bilancio[322,2013]",-2.453462812,bilancio
"bilancio[323,2013]",-3.472739013,bilancio
"bilancio[324,2013]",-1.313500952,bilancio
"bilancio[325,2013]",-1.544180689,bilancio
"bilancio[326,2013]",-2.590761863,bilancio
"bilancio[42,2013]",-2.375098393,bilancio
"bilancio[441,2013]",-3.120121165,bilancio
"bilancio[445,2013]",-5.785733455,bilancio
"bilancio[452,2013]",-5.834821688,bilancio
"bilancio[4A0,2013]",-4.124683601,bilancio
"bilancio[481,2013]",-2.101463395,bilancio
"bilancio[482,2013]",-2.1094912,bilancio
"bilancio[483,2013]",-2.182438138,bilancio
"bilancio[484,2013]",-3.26634414,bilancio
"bilancio[485,2013]",-3.831574234,bilancio
"bilancio[486,2013]",-1.406913428,bilancio
"bilancio[487OS,2013]",-3.69978503,bilancio
"bilancio[493,2013]",-3.909146366,bilancio
"bilancio[511,2013]",-1.893399578,bilancio
"bilancio[512,2013]",-1.830450392,bilancio
"bilancio[513,2013]",-1.657585192,bilancio
"bilancio[514,2013]",-2.130527597,bilancio
"bilancio[521CI,2013]",-2.361341611,bilancio
"bilancio[523,2013]",-2.071153415,bilancio
"bilancio[524,2013]",-2.607690568,bilancio
"bilancio[525,2013]",-2.274244388,bilancio
"bilancio[HS,2013]",-0.3098724473,bilancio
"bilancio[ORE,2013]",-2.308352786,bilancio
"bilancio[532RL,2013]",-2.078059653,bilancio
"bilancio[5411,2013]",-2.312829822,bilancio
"bilancio[5415,2013]",-2.752162529,bilancio
"bilancio[5412OP,2013]",-2.722400184,bilancio
"bilancio[55,2013]",-2.542985988,bilancio
"bilancio[561,2013]",-5.358004327,bilancio
"bilancio[562,2013]",-3.222328668,bilancio
"bilancio[61,2013]",-4.490795283,bilancio
"bilancio[621,2013]",-3.651522664,bilancio
"bilancio[622,2013]",-3.815149176,bilancio
"bilancio[623,2013]",-6.75903012,bilancio
"bilancio[624,2013]",-7.808400806,bilancio
"bilancio[711AS,2013]",-2.203765507,bilancio
"bilancio[713,2013]",-4.450244343,bilancio
"bilancio[721,2013]",-4.256711426,bilancio
"bilancio[722,2013]",-6.172514696,bilancio
"bilancio[81,2013]",-4.539057935,bilancio
"bilancio[GFGD,2013]",-1.86105498,bilancio
"bilancio[GFGN,2013]",-3.125591319,bilancio
"bilancio[GFE,2013]",-3.656867348,bilancio
"bilancio[GSLG,2013]",-3.832954287,bilancio
"bilancio[GSLE,2013]",-2.922078327,bilancio
"bilancio[111CA,2014]",-1.408074415,bilancio
"bilancio[113FF,2014]",-5.075872038,bilancio
"bilancio[211,2014]",-2.119393929,bilancio
"bilancio[212,2014]",-1.771322793,bilancio
"bilancio[213,2014]",-2.198214341,bilancio
"bilancio[22,2014]",-1.964144769,bilancio
"bilancio[23,2014]",-3.416724356,bilancio
"bilancio[321,2014]",-3.877632859,bilancio
"bilancio[327,2014]",-2.68544905,bilancio
"bilancio[331,2014]",-1.71813633,bilancio
"bilancio[332,2014]",-3.268924808,bilancio
"bilancio[333,2014]",-2.444718116,bilancio
"bilancio[334,2014]",-2.965766207,bilancio
"bilancio[335,2014]",-2.342085716,bilancio
"bilancio[3361MV,2014]",-2.299865799,bilancio
"bilancio[3364OT,2014]",-2.304986983,bilancio
"bilancio[337,2014]",-3.962530629,bilancio
"bilancio[339,2014]",-3.097338433,bilancio
"bilancio[311FT,2014]",-2.190421188,bilancio
"bilancio[313TT,2014]",-3.1898237,bilancio
"bilancio[315AL,2014]",-4.754651037,bilancio
"bilancio[322,2014]",-2.471151778,bilancio
"bilancio[323,2014]",-3.557295243,bilancio
"bilancio[324,2014]",-1.624279558,bilancio
"bilancio[325,2014]",-2.119393929,bilancio
"bilancio[326,2014]",-2.863210109,bilancio
"bilancio[42,2014]",-2.183961173,bilancio
"bilancio[441,2014]",-2.185722026,bilancio
"bilancio[445,2014]",-5.848294624,bilancio
"bilancio[452,2014]",-5.533235884,bilancio
"bilancio[4A0,2014]",-3.947115456,bilancio
"bilancio[481,2014]",-2.173254244,bilancio
"bilancio[482,2014]",-2.219398284,bilancio
"bilancio[483,2014]",-2.455846514,bilancio
"bilancio[484,2014]",-3.49980888,bilancio
"bilancio[485,2014]",-3.975698387,bilancio
"bilancio[486,2014]",-2.553661573,bilancio
"bilancio[487OS,2014]",-3.961567499,bilancio
"bilancio[493,2014]",-4.20809732,bilancio
"bilancio[511,2014]",-2.12923083,bilancio
"bilancio[512,2014]",-1.930295883,bilancio
"bilancio[513,2014]",-1.907910406,bilancio
"bilancio[514,2014]",-2.196325577,bilancio
"bilancio[521CI,2014]",-2.562499228,bilancio
"bilancio[523,2014]",-2.484446588,bilancio
"bilancio[524,2014]",-2.307392122,bilancio
"bilancio[525,2014]",-2.455096707,bilancio
"bilancio[HS,2014]",-0.3074262282,bilancio
"bilancio[ORE,2014]",-2.319925611,bilancio
"bilancio[532RL,2014]",-2.238854446,bilancio
"bilancio[5411,2014]",-2.410086514,bilancio
"bilancio[5415,2014]",-2.939740294,bilancio
"bilancio[5412OP,2014]",-2.901623912,bilancio
"bilancio[55,2014]",-2.639712676,bilancio
"bilancio[561,2014]",-5.565563748,bilancio
"bilancio[562,2014]",-3.417975665,bilancio
"bilancio[61,2014]",-4.753435089,bilancio
"bilancio[621,2014]",-3.873934109,bilancio
"bilancio[622,2014]",-3.997230813,bilancio
"bilancio[623,2014]",-7.069151356,bilancio
"bilancio[624,2014]",-8.232531476,bilancio
"bilancio[711AS,2014]",-2.413471673,bilancio
"bilancio[713,2014]",-4.752300392,bilancio
"bilancio[721,2014]",-4.418852935,bilancio
"bilancio[722,2014]",-6.443248426,bilancio
"bilancio[81,2014]",-4.633946407,bilancio
"bilancio[GFGD,2014]",-1.966747618,bilancio
"bilancio[GFGN,2014]",-3.300146739,bilancio
