anno,industria,x,x_oss
2012,111CA,459.8209266,404.166
2012,113FF,52.66598811,46.892
2012,211,409.7468076,362.616
2012,212,137.1251264,124.611
2012,213,144.5135884,126.19
2012,22,473.0367269,461.578
2012,23,1393.104922,1075.477
2012,321,100.7970283,80.398
2012,327,113.9364141,99.294
2012,331,283.4404503,269.218
2012,332,366.7513749,343.079
2012,333,370.3929272,404.552
2012,334,316.8869823,354.253
2012,335,130.9987064,122.794
2012,3361MV,499.0073551,516.699
2012,3364OT,282.6999151,290.815
2012,337,60.70349678,65.729
2012,339,145.0945395,156.592
2012,311FT,936.9459888,895.874
2012,313TT,56.73518376,51.802
2012,315AL,27.53370264,19.244
2012,322,185.0619662,179.235
2012,323,78.17531561,83.081
2012,324,882.8593404,833.174
2012,325,833.5201471,794.029
2012,326,228.5984203,216.486
2012,42,1611.059917,1655.028
2012,441,215.294181,221.875
2012,445,207.5996996,207.679
2012,452,210.506302,210.838
2012,4A0,770.59054,763.319
2012,481,193.8976788,195.415
2012,482,82.65328312,79.141
2012,483,50.72104435,50.023
2012,484,302.2651924,297.774
2012,485,50.45717009,50.992
2012,486,40.06592931,36.442
2012,487OS,184.9161817,187.233
2012,493,107.4636668,108.888
2012,511,229.9236227,296.233
2012,512,98.17620404,131.699
2012,513,680.0411336,733.128
2012,514,189.1818878,221.543
2012,521CI,762.5681705,761.619
2012,523,478.8112472,478.47
2012,524,823.1290471,798.591
2012,525,117.1406698,117.259
2012,HS,1726.663,1726.663
2012,ORE,1054.197856,889.093
2012,532RL,298.1998288,298.617
2012,5411,334.4312612,306.935
2012,5415,223.4935932,354.223
2012,5412OP,893.1947557,1123.861
2012,55,466.8365603,478.846
2012,561,646.1928383,661.562
2012,562,85.59100437,83.564
2012,61,302.4030039,309.61
2012,621,867.2481822,869.254
2012,622,706.3273814,709.379
2012,623,208.5511796,208.979
2012,624,169.3649056,169.679
2012,711AS,139.5269968,144.767
2012,713,119.5596815,119.836
2012,721,213.837885,214.978
2012,722,611.9698558,613.983
2012,81,575.2443727,576.029
2012,GFGD,670.8357265,676.303
2012,GFGN,366.8076988,370.378
2012,GFE,97.76077018,98.913
2012,GSLG,1943.572551,1947.062
2012,GSLE,305.5032631,298.57
2013,111CA,376.3951577,420.0646127
2013,113FF,45.60950651,48.1981787
2013,211,359.6678419,391.494883
2013,212,120.2883761,118.9735655
2013,213,127.7061788,125.8668437
2013,22,478.1628794,466.0971225
