vincolo,duale,famiglia
"bilancio[111CA,2012]",-3.454591915e-05,bilancio
"bilancio[113FF,2012]",-7.823227579e-05,bilancio
"bilancio[211,2012]",-1.432720492e-05,bilancio
"bilancio[212,2012]",-2.801981891e-05,bilancio
"bilancio[213,2012]",-3.281633606e-05,bilancio
"bilancio[22,2012]",-2.983979243e-05,bilancio
"bilancio[23,2012]",-0.0001046555944,bilancio
"bilancio[321,2012]",-5.898005955e-05,bilancio
"bilancio[327,2012]",-4.581886477e-05,bilancio
"bilancio[331,2012]",-3.215929946e-05,bilancio
"bilancio[332,2012]",-4.819798676e-05,bilancio
"bilancio[333,2012]",-3.88460616e-05,bilancio
"bilancio[334,2012]",-3.300844563e-05,bilancio
"bilancio[335,2012]",-3.846902062e-05,bilancio
"bilancio[3361MV,2012]",-3.234167022e-05,bilancio
"bilancio[3364OT,2012]",-3.402973491e-05,bilancio
"bilancio[337,2012]",-6.172087704e-05,bilancio
"bilancio[339,2012]",-4.245506043e-05,bilancio
"bilancio[311FT,2012]",-4.033815396e-05,bilancio
"bilancio[313TT,2012]",-5.099660075e-05,bilancio
"bilancio[315AL,2012]",-0.0004325954776,bilancio
"bilancio[322,2012]",-4.010871611e-05,bilancio
"bilancio[323,2012]",-5.994043607e-05,bilancio
"bilancio[324,2012]",-1.070626625e-05,bilancio
"bilancio[325,2012]",-2.320173853e-05,bilancio
"bilancio[326,2012]",-4.07019899e-05,bilancio
"bilancio[42,2012]",-4.180821784e-05,bilancio
"bilancio[441,2012]",-5.930442003e-05,bilancio
"bilancio[445,2012]",-9.89284289e-05,bilancio
"bilancio[452,2012]",-0.00010395704,bilancio
"bilancio[4A0,2012]",-7.313078701e-05,bilancio
"bilancio[481,2012]",-3.505884899e-05,bilancio
"bilancio[482,2012]",-3.542901968e-05,bilancio
"bilancio[483,2012]",-3.924214944e-05,bilancio
"bilancio[484,2012]",-5.423647943e-05,bilancio
"bilancio[485,2012]",-6.680611791e-05,bilancio
"bilancio[486,2012]",-2.485128351e-05,bilancio
"bilancio[487OS,2012]",-6.25689816e-05,bilancio
"bilancio[493,2012]",-6.657923628e-05,bilancio
"bilancio[511,2012]",-3.286455885e-05,bilancio
"bilancio[512,2012]",-3.095432926e-05,bilancio
"bilancio[513,2012]",-2.991370652e-05,bilancio
"bilancio[514,2012]",-3.611161083e-05,bilancio
"bilancio[521CI,2012]",-3.760199916e-05,bilancio
"bilancio[523,2012]",-3.3089928e-05,bilancio
"bilancio[524,2012]",-3.905482707e-05,bilancio
"bilancio[525,2012]",-3.817953227e-05,bilancio
"bilancio[HS,2012]",-0.000268369177,bilancio
"bilancio[ORE,2012]",-4.033041199e-05,bilancio
"bilancio[532RL,2012]",-3.477693287e-05,bilancio
"bilancio[5411,2012]",-3.845407924e-05,bilancio
"bilancio[5415,2012]",-4.587731382e-05,bilancio
"bilancio[5412OP,2012]",-4.55912882e-05,bilancio
"bilancio[55,2012]",-4.28149247e-05,bilancio
"bilancio[561,2012]",-9.027185074e-05,bilancio
"bilancio[562,2012]",-5.310338929e-05,bilancio
"bilancio[61,2012]",-7.580955471e-05,bilancio
"bilancio[621,2012]",-6.200525218e-05,bilancio
"bilancio[622,2012]",-6.500432323e-05,bilancio
