vincolo,duale,famiglia
"bilancio[111CA,2012]",-2.796189838e-05,bilancio
"bilancio[113FF,2012]",-7.718027171e-05,bilancio
"bilancio[211,2012]",-2.796189838e-05,bilancio
"bilancio[212,2012]",-2.980399075e-05,bilancio
"bilancio[213,2012]",-4.083825037e-05,bilancio
"bilancio[22,2012]",-3.167629403e-05,bilancio
"bilancio[23,2012]",-0.0001079346531,bilancio
"bilancio[321,2012]",-5.822158844e-05,bilancio
"bilancio[327,2012]",-4.507695652e-05,bilancio
"bilancio[331,2012]",-3.299546787e-05,bilancio
"bilancio[332,2012]",-4.835960574e-05,bilancio
"bilancio[333,2012]",-3.969626661e-05,bilancio
"bilancio[334,2012]",-3.246559055e-05,bilancio
"bilancio[335,2012]",-3.928161082e-05,bilancio
"bilancio[3361MV,2012]",-3.572297219e-05,bilancio
"bilancio[3364OT,2012]",-3.458856237e-05,bilancio
"bilancio[337,2012]",-6.130251221e-05,bilancio
"bilancio[339,2012]",-4.177109172e-05,bilancio
"bilancio[311FT,2012]",-3.813686947e-05,bilancio
"bilancio[313TT,2012]",-5.256499889e-05,bilancio
"bilancio[315AL,2012]",-4.247194947e-05,bilancio
"bilancio[322,2012]",-4.085896912e-05,bilancio
"bilancio[323,2012]",-5.900039732e-05,bilancio
"bilancio[324,2012]",-2.796189838e-05,bilancio
"bilancio[325,2012]",-2.796189838e-05,bilancio
"bilancio[326,2012]",-4.305493699e-05,bilancio
"bilancio[42,2012]",-3.670315096e-05,bilancio
"bilancio[441,2012]",-4.947491668e-05,bilancio
"bilancio[445,2012]",-9.441014154e-05,bilancio
"bilancio[452,2012]",-9.685342132e-05,bilancio
"bilancio[4A0,2012]",-6.829221929e-05,bilancio
"bilancio[481,2012]",-3.814232537e-05,bilancio
"bilancio[482,2012]",-3.715919059e-05,bilancio
"bilancio[483,2012]",-4.179557355e-05,bilancio
"bilancio[484,2012]",-5.63344705e-05,bilancio
"bilancio[485,2012]",-6.699079356e-05,bilancio
"bilancio[486,2012]",-2.480984883e-05,bilancio
"bilancio[487OS,2012]",-6.322507108e-05,bilancio
"bilancio[493,2012]",-6.640100763e-05,bilancio
"bilancio[511,2012]",-3.255625013e-05,bilancio
"bilancio[512,2012]",-3.07514341e-05,bilancio
"bilancio[513,2012]",-3.010023449e-05,bilancio
"bilancio[514,2012]",-3.611318904e-05,bilancio
"bilancio[521CI,2012]",-3.712431343e-05,bilancio
"bilancio[523,2012]",-3.291722707e-05,bilancio
"bilancio[524,2012]",-3.916632657e-05,bilancio
"bilancio[525,2012]",-3.830129976e-05,bilancio
"bilancio[HS,2012]",-0.0002679424603,bilancio
"bilancio[ORE,2012]",-4.061921483e-05,bilancio
"bilancio[532RL,2012]",-3.427931571e-05,bilancio
"bilancio[5411,2012]",-3.78516989e-05,bilancio
"bilancio[5415,2012]",-4.525773104e-05,bilancio
"bilancio[5412OP,2012]",-4.534983888e-05,bilancio
"bilancio[55,2012]",-4.236906355e-05,bilancio
"bilancio[561,2012]",-8.885123289e-05,bilancio
"bilancio[562,2012]",-5.364429293e-05,bilancio
"bilancio[61,2012]",-7.476000999e-05,bilancio
"bilancio[621,2012]",-6.137417874e-05,bilancio
"bilancio[622,2012]",-6.460260742e-05,bilancio
"bilancio[623,2012]",-0.0001145000444,bilancio
"bilancio[624,2012]",-0.0001247055728,bilancio
"bilancio[711AS,2012]",-3.614807798e-05,bilancio
"bilancio[713,2012]",-7.620635645e-05,bilancio
"bilancio[721,2012]",-7.197483719e-05,bilancio
"bilancio[722,2012]",-0.000102966535,bilancio
"bilancio[81,2012]",-7.606659096e-05,bilancio
"bilancio[GFGD,2012]",-3.241949633e-05,bilancio
