anno,industria,x,x_oss
2012,111CA,464.1859841,404.166
2012,113FF,51.99103317,46.892
2012,211,413.3108187,362.616
2012,212,137.6467736,124.611
2012,213,144.5135884,126.19
2012,22,473.8415549,461.578
2012,23,1393.104922,1075.477
2012,321,101.3851227,80.398
2012,327,113.2191033,99.294
2012,331,278.1340963,269.218
2012,332,368.4215916,343.079
2012,333,372.1958356,404.552
2012,334,292.7272961,354.253
2012,335,126.7388392,122.794
2012,3361MV,486.0420921,516.699
2012,3364OT,291.1864121,290.815
2012,337,63.97670613,65.729
2012,339,143.0255073,156.592
2012,311FT,942.7763996,895.874
2012,313TT,54.99669521,51.802
2012,315AL,18.06841998,19.244
2012,322,184.8910422,179.235
2012,323,78.81475367,83.081
2012,324,988.7048465,833.174
2012,325,825.1915573,794.029
2012,326,227.8727259,216.486
2012,42,1638.860627,1655.028
2012,441,216.0417487,221.875
2012,445,207.6677993,207.679
2012,452,210.6380391,210.838
2012,4A0,772.0720407,763.319
2012,481,189.5092203,195.415
2012,482,84.08366951,79.141
2012,483,50.85830485,50.023
2012,484,307.7802277,297.774
2012,485,50.47670005,50.992
2012,486,42.3611229,36.442
2012,487OS,185.8177635,187.233
2012,493,107.9193148,108.888
2012,511,235.8875347,296.233
2012,512,98.55591757,131.699
2012,513,680.6075587,733.128
2012,514,189.6133308,221.543
2012,521CI,762.5141626,761.619
2012,523,478.7088148,478.47
2012,524,814.8432653,798.591
2012,525,117.0829317,117.259
2012,HS,1726.663,1726.663
2012,ORE,1055.172826,889.093
2012,532RL,298.6991814,298.617
2012,5411,334.2100027,306.935
2012,5415,224.7784458,354.223
2012,5412OP,891.1363854,1123.861
2012,55,466.7749863,478.846
2012,561,647.4284266,661.562
2012,562,85.69921978,83.564
2012,61,302.304876,309.61
2012,621,867.2639864,869.254
2012,622,706.138013,709.379
2012,623,208.5494538,208.979
2012,624,169.3655322,169.679
2012,711AS,139.8475988,144.767
2012,713,119.5719219,119.836
2012,721,213.8970701,214.978
