vincolo,duale,famiglia
"bilancio[111CA,2012]",-2.205728154e-05,bilancio
"bilancio[113FF,2012]",-6.533999952e-05,bilancio
"bilancio[211,2012]",-1.243969841e-05,bilancio
"bilancio[212,2012]",-2.400257198e-05,bilancio
"bilancio[213,2012]",-2.983236503e-05,bilancio
"bilancio[22,2012]",-2.605645366e-05,bilancio
"bilancio[23,2012]",-0.000102399877,bilancio
"bilancio[321,2012]",-4.822233617e-05,bilancio
"bilancio[327,2012]",-3.725639921e-05,bilancio
"bilancio[331,2012]",-2.59940601e-05,bilancio
"bilancio[332,2012]",-3.950630148e-05,bilancio
"bilancio[333,2012]",-3.175715741e-05,bilancio
"bilancio[334,2012]",-2.666993627e-05,bilancio
"bilancio[335,2012]",-3.145433014e-05,bilancio
"bilancio[3361MV,2012]",-2.697297936e-05,bilancio
"bilancio[3364OT,2012]",-2.766993773e-05,bilancio
"bilancio[337,2012]",-5.070920585e-05,bilancio
"bilancio[339,2012]",-3.436539746e-05,bilancio
"bilancio[311FT,2012]",-3.081451316e-05,bilancio
"bilancio[313TT,2012]",-4.21793833e-05,bilancio
"bilancio[315AL,2012]",-6.427725621e-05,bilancio
"bilancio[322,2012]",-3.301412641e-05,bilancio
"bilancio[323,2012]",-4.928417003e-05,bilancio
"bilancio[324,2012]",-1.245085549e-05,bilancio
"bilancio[325,2012]",-1.925364779e-05,bilancio
"bilancio[326,2012]",-3.403916685e-05,bilancio
"bilancio[42,2012]",-3.082054998e-05,bilancio
"bilancio[441,2012]",-4.179038048e-05,bilancio
"bilancio[445,2012]",-8.085950352e-05,bilancio
"bilancio[452,2012]",-8.292953398e-05,bilancio
"bilancio[4A0,2012]",-5.835625771e-05,bilancio
"bilancio[481,2012]",-3.030292539e-05,bilancio
"bilancio[482,2012]",-3.058991306e-05,bilancio
"bilancio[483,2012]",-3.364663053e-05,bilancio
"bilancio[484,2012]",-4.617769389e-05,bilancio
"bilancio[485,2012]",-5.702188808e-05,bilancio
"bilancio[486,2012]",-2.117807564e-05,bilancio
"bilancio[487OS,2012]",-5.315178889e-05,bilancio
"bilancio[493,2012]",-5.651997506e-05,bilancio
"bilancio[511,2012]",-2.761502782e-05,bilancio
"bilancio[512,2012]",-2.612745551e-05,bilancio
"bilancio[513,2012]",-2.53168999e-05,bilancio
"bilancio[514,2012]",-3.050670865e-05,bilancio
"bilancio[521CI,2012]",-3.169444691e-05,bilancio
"bilancio[523,2012]",-2.796559714e-05,bilancio
"bilancio[524,2012]",-3.319259962e-05,bilancio
