anno,industria,tipo,I
2012,111CA,E,27.39381971
2012,111CA,S,0
2012,111CA,N,0.02498310853
2012,113FF,E,2.553193306
2012,113FF,S,0
2012,113FF,N,0.05612707322
2012,211,E,8.798862365
2012,211,S,124.1189416
2012,211,N,0
2012,212,E,0.1233258998
2012,212,S,0
2012,212,N,0.2787185555
2012,213,E,39.44527785
2012,213,S,0
2012,213,N,0
2012,22,E,54.1527065
2012,22,S,0
2012,22,N,3.229221454
2012,23,E,71.67762225
2012,23,S,21.36822101
2012,23,N,3.812185623
2012,311FT,E,5.919486523
2012,311FT,S,0
2012,311FT,N,7.310097338
2012,313TT,E,0
2012,313TT,S,0
2012,313TT,N,0
2012,315AL,E,0
2012,315AL,S,0
2012,315AL,N,0
2012,321,E,0
2012,321,S,0
2012,321,N,0.08007863
2012,322,E,3.664788303
2012,322,S,0
2012,322,N,2.257159674
2012,323,E,0
2012,323,S,0
2012,323,N,0
2012,324,E,4.329987313
2012,324,S,0
2012,324,N,10.20456905
2012,325,E,2.455683212
2012,325,S,0
2012,325,N,4.928917792
2012,326,E,0
2012,326,S,0
2012,326,N,1.88872043
2012,327,E,0
2012,327,S,0
2012,327,N,0
2012,331,E,0
2012,331,S,0
2012,331,N,0
2012,332,E,0
2012,332,S,0
2012,332,N,1.907077425
2012,333,E,0
2012,333,S,0
2012,333,N,0
2012,334,E,0
2012,334,S,0
2012,334,N,0
2012,335,E,0
2012,335,S,0
2012,335,N,0
2012,3361MV,E,0
2012,3361MV,S,0
2012,3361MV,N,0
2012,3364OT,E,0
2012,3364OT,S,0
2012,3364OT,N,0
2012,337,E,0
2012,337,S,0
2012,337,N,0
2012,339,E,0.889833592
2012,339,S,0
2012,339,N,4.790626472
2012,42,E,0
2012,42,S,0
2012,42,N,4.657583205
2012,441,E,0.3108701345
2012,441,S,0
2012,441,N,0.5099551405
2012,445,E,9.00208175
2012,445,S,0
2012,445,N,0.5535718514
2012,452,E,8.343538254
2012,452,S,0
2012,452,N,1.711015267
2012,481,E,22.94556999
2012,481,S,0
2012,481,N,0.4855668384
2012,482,E,0
2012,482,S,0
2012,482,N,0.2649615026
2012,483,E,2.530089993
2012,483,S,0
2012,483,N,0.1627337845
2012,484,E,0
2012,484,S,0
2012,484,N,0.2464947255
2012,485,E,0
2012,485,S,0
2012,485,N,0.1403095601
2012,486,E,2.837556797
2012,486,S,0
2012,486,N,0.221037159
2012,487OS,E,3.126967491
2012,487OS,S,0
2012,487OS,N,0.5480149605
2012,493,E,0.8770912863
2012,493,S,0
2012,493,N,0.1428100935
2012,4A0,E,31.02061903
2012,4A0,S,0
2012,4A0,N,5.247488041
2012,511,E,0
2012,511,S,0
2012,511,N,53.45525391
2012,512,E,0.7030225478
2012,512,S,0
2012,512,N,0
2012,513,E,0
2012,513,S,0
2012,513,N,51.00219456
2012,514,E,0.3996101774
2012,514,S,0
2012,514,N,5.772943735
2012,521CI,E,0
2012,521CI,S,0
2012,521CI,N,9.900817095
2012,523,E,0
2012,523,S,0
2012,523,N,5.714014396
2012,524,E,0.5707658813
2012,524,S,0
2012,524,N,13.27857832
2012,525,E,0.4043723469
2012,525,S,0
2012,525,N,0.2743650496
2012,532RL,E,0
2012,532RL,S,0
2012,532RL,N,0.5709206588
2012,5411,E,0.3577657591
2012,5411,S,0
2012,5411,N,1.10871346
2012,5412OP,E,0
2012,5412OP,S,0
2012,5412OP,N,48.92504615
2012,5415,E,0
2012,5415,S,0
2012,5415,N,4.395731031
2012,55,E,6.684116424
2012,55,S,0
2012,55,N,7.268414758
2012,561,E,0
2012,561,S,0
2012,561,N,7.715489034
2012,562,E,4.151777357
2012,562,S,0
2012,562,N,0.1314143159
2012,61,E,0
2012,61,S,0
2012,61,N,2.235585525
2012,621,E,0
2012,621,S,0
2012,621,N,1.468107637
2012,622,E,0
2012,622,S,0
2012,622,N,3.325345748
2012,623,E,3.841715606
2012,623,S,0
2012,623,N,0.2095062056
2012,624,E,0
2012,624,S,0
2012,624,N,0.2925478464
2012,711AS,E,3.910227634
2012,711AS,S,0
2012,711AS,N,12.32979593
2012,713,E,7.648201642
2012,713,S,0
2012,713,N,0.3048686369
2012,721,E,7.984279608
2012,721,S,0
2012,721,N,0.4609802008
2012,722,E,15.89181871
2012,722,S,0
2012,722,N,0.4553947799
2012,81,E,8.841061981
2012,81,S,0
2012,81,N,1.406396268
2012,ORE,E,14.12270066
2012,ORE,S,86.04078102
2012,ORE,N,2.537099455
2012,HS,R,1165.833382
2013,111CA,E,0
2013,111CA,S,0
2013,111CA,N,0.0356578418
2013,113FF,E,0
2013,113FF,S,0
2013,113FF,N,0.07605101728
2013,211,E,0
2013,211,S,0
2013,211,N,2.701520834
2013,212,E,0
2013,212,S,0
2013,212,N,0
2013,213,E,0
2013,213,S,17.7758453
2013,213,N,1.659297718
2013,22,E,0
2013,22,S,0
2013,22,N,4.363285426
2013,23,E,0
2013,23,S,0
2013,23,N,0
2013,311FT,E,0
2013,311FT,S,0
2013,311FT,N,0
2013,313TT,E,0
2013,313TT,S,0
2013,313TT,N,0
2013,315AL,E,0
2013,315AL,S,0
2013,315AL,N,0
2013,321,E,0
2013,321,S,0
2013,321,N,0
2013,322,E,0
2013,322,S,0
2013,322,N,0
2013,323,E,0
2013,323,S,0
2013,323,N,0.521831339
2013,324,E,0
2013,324,S,0
2013,324,N,0
2013,325,E,0
2013,325,S,0
2013,325,N,0
2013,326,E,0
2013,326,S,0
2013,326,N,0
2013,327,E,0
2013,327,S,0
2013,327,N,0
2013,331,E,0
2013,331,S,0
2013,331,N,0
2013,332,E,0
2013,332,S,0
2013,332,N,0
2013,333,E,0
2013,333,S,0
2013,333,N,0
2013,334,E,0
2013,334,S,0
2013,334,N,27.07481848
2013,335,E,0
2013,335,S,0
2013,335,N,0
2013,3361MV,E,0
2013,3361MV,S,0
2013,3361MV,N,12.80827633
2013,3364OT,E,0
2013,3364OT,S,0
2013,3364OT,N,9.556746247
2013,337,E,0
2013,337,S,0
2013,337,N,0.2237848263
2013,339,E,0
2013,339,S,0
2013,339,N,0
2013,42,E,19.19865829
2013,42,S,0
2013,42,N,16.98745241
2013,441,E,7.774549095
2013,441,S,9.992301286
2013,441,N,1.346316636
2013,445,E,0
2013,445,S,0
2013,445,N,1.382939314
2013,452,E,0
2013,452,S,0
2013,452,N,2.627408872
2013,481,E,0
2013,481,S,0
2013,481,N,0.8268006221
2013,482,E,0
2013,482,S,0
2013,482,N,0.4988161581
2013,483,E,0
2013,483,S,0
2013,483,N,0.203814262
2013,484,E,11.99205122
2013,484,S,0
2013,484,N,0.4447406774
2013,485,E,4.22231688
2013,485,S,0.6280971468
2013,485,N,0.2204343642
2013,486,E,0
2013,486,S,0
2013,486,N,0.3945504935
2013,487OS,E,0
2013,487OS,S,0
2013,487OS,N,0.9285348441
2013,493,E,0
2013,493,S,0
2013,493,N,0.2131536897
2013,4A0,E,0
2013,4A0,S,0
2013,4A0,N,7.414921579
2013,511,E,5.45816383
2013,511,S,0
2013,511,N,0
2013,512,E,0
2013,512,S,0
2013,512,N,0
2013,513,E,33.70929597
2013,513,S,0
2013,513,N,0
2013,514,E,10.8598686
2013,514,S,0
2013,514,N,22.25586588
2013,521CI,E,56.14828776
2013,521CI,S,0
2013,521CI,N,14.66173866
2013,523,E,4.468847536
2013,523,S,0
2013,523,N,8.98726349
2013,524,E,10.41362254
2013,524,S,0
2013,524,N,19.83049914
2013,525,E,0
2013,525,S,2.411711084
2013,525,N,0.3698581602
2013,532RL,E,48.14899614
2013,532RL,S,0
2013,532RL,N,0.7623851332
2013,5411,E,1.288272435
2013,5411,S,0
2013,5411,N,1.090431392
2013,5412OP,E,8.518214039
2013,5412OP,S,0
2013,5412OP,N,0
2013,5415,E,6.277928265
2013,5415,S,0
2013,5415,N,17.94747479
2013,55,E,0
2013,55,S,0
2013,55,N,18.30036167
2013,561,E,14.52495558
2013,561,S,0
2013,561,N,13.18483716
2013,562,E,0
2013,562,S,0
2013,562,N,0.2664443486
2013,61,E,8.321546568
2013,61,S,0
2013,61,N,7.444470577
2013,621,E,27.72543875
2013,621,S,0
2013,621,N,4.204069202
2013,622,E,35.75303691
2013,622,S,0
2013,622,N,6.762741789
2013,623,E,0
2013,623,S,0
2013,623,N,0.6803136302
2013,624,E,2.499205662
2013,624,S,0
2013,624,N,0.4928121968
2013,711AS,E,0
2013,711AS,S,0
2013,711AS,N,0
2013,713,E,0
2013,713,S,0
2013,713,N,0.5278119237
2013,721,E,0
2013,721,S,0
2013,721,N,0.954233974
2013,722,E,0
2013,722,S,0
2013,722,N,0.7962913558
2013,81,E,7.578298126
2013,81,S,0
2013,81,N,8.003654671
2013,ORE,E,0
2013,ORE,S,0
2013,ORE,N,1.611469321
2013,HS,R,1683.927245
2014,111CA,E,26.82609155
2014,111CA,S,0
2014,111CA,N,0.03412438158
2014,113FF,E,2.899985601
2014,113FF,S,0
2014,113FF,N,0.06988893771
2014,211,E,6.036018524
2014,211,S,196.0797435
2014,211,N,1.780331225
2014,212,E,3.694306565
2014,212,S,0
2014,212,N,0.209759031
2014,213,E,39.1035169
2014,213,S,24.19457745
2014,213,N,1.675006105
2014,22,E,2.179777172
2014,22,S,0
2014,22,N,4.243196655
2014,23,E,0
2014,23,S,0
2014,23,N,0.1883071422
2014,311FT,E,17.43973905
2014,311FT,S,0
2014,311FT,N,5.143103682
2014,313TT,E,0
2014,313TT,S,0
2014,313TT,N,0.2512949844
2014,315AL,E,0
2014,315AL,S,0
2014,315AL,N,0
2014,321,E,0
2014,321,S,0
2014,321,N,0.1049802666
2014,322,E,7.663240909
2014,322,S,0
2014,322,N,1.523502139
2014,323,E,0
2014,323,S,0
2014,323,N,0.8791967654
2014,324,E,7.70949359
2014,324,S,0
2014,324,N,5.951135173
