vincolo,duale,famiglia
"bilancio[111CA,2012]",-2.454945656e-05,bilancio
"bilancio[113FF,2012]",-6.863515344e-05,bilancio
"bilancio[211,2012]",-1.288308484e-05,bilancio
"bilancio[212,2012]",-2.557316137e-05,bilancio
"bilancio[213,2012]",-2.850070378e-05,bilancio
"bilancio[22,2012]",-2.818386559e-05,bilancio
"bilancio[23,2012]",-0.0001287762934,bilancio
"bilancio[321,2012]",-5.07303126e-05,bilancio
"bilancio[327,2012]",-3.942871178e-05,bilancio
"bilancio[331,2012]",-2.73815457e-05,bilancio
"bilancio[332,2012]",-4.148174167e-05,bilancio
"bilancio[333,2012]",-3.321674613e-05,bilancio
"bilancio[334,2012]",-2.807422362e-05,bilancio
"bilancio[335,2012]",-3.292298806e-05,bilancio
"bilancio[3361MV,2012]",-2.777477872e-05,bilancio
"bilancio[3364OT,2012]",-2.895912198e-05,bilancio
"bilancio[337,2012]",-5.328514067e-05,bilancio
"bilancio[339,2012]",-3.620454844e-05,bilancio
"bilancio[311FT,2012]",-3.284713385e-05,bilancio
"bilancio[313TT,2012]",-4.401676229e-05,bilancio
"bilancio[315AL,2012]",-6.725434647e-05,bilancio
"bilancio[322,2012]",-3.471164465e-05,bilancio
"bilancio[323,2012]",-5.182655597e-05,bilancio
"bilancio[324,2012]",-1.190649565e-05,bilancio
"bilancio[325,2012]",-2.007508555e-05,bilancio
"bilancio[326,2012]",-3.556660869e-05,bilancio
"bilancio[42,2012]",-3.323166363e-05,bilancio
"bilancio[441,2012]",-4.550122e-05,bilancio
"bilancio[445,2012]",-8.565247524e-05,bilancio
"bilancio[452,2012]",-8.811336854e-05,bilancio
"bilancio[4A0,2012]",-6.208450524e-05,bilancio
"bilancio[481,2012]",-3.163587422e-05,bilancio
"bilancio[482,2012]",-3.254687028e-05,bilancio
"bilancio[483,2012]",-3.520312631e-05,bilancio
"bilancio[484,2012]",-4.837255229e-05,bilancio
"bilancio[485,2012]",-6.053932878e-05,bilancio
"bilancio[486,2012]",-2.28685171e-05,bilancio
