caso,stato,valore_obiettivo,variabili,vincoli,obiettivo,capacita,capacita_tipo,deriva,theta_non_g17,u_non_g17,sigma_fattore,accumulazione,terminale,crescita_terminale,terminale_scorte,sigma_max_fattore,scorte,lavoro,lavoro_scala,estero,bande_import,epsilon,import_scala,beta,gamma_min,obiettivi_o2,elastico,penalita_elastico,gamma_2016,consumo_cumulato,investimento_netto_min,anni_disinvestimento_netto,residuo_materiale_totale
riferimento,Optimal,5.620737744,3495,2565,O1,True,lineare,True,0,0.772,0.85,True,True,0,True,1.2,True,True,1,True,True,0.1,1,1,1,osservato,False,1000,1.19088087,62195.66085,-423.9610555,3,0
capacita_leontief,Optimal,5.588975463,3495,3215,O1,True,leontief,True,0,0.772,0.85,True,True,0,True,1.2,True,True,1,True,True,0.1,1,1,1,osservato,False,1000,1.184989158,61844.19879,-288.2101666,3,0
deriva_servizi_-1.8%,Optimal,5.522062313,3495,2565,O1,True,lineare,True,-0.018,0.772,0.85,True,True,0,True,1.2,True,True,1,True,True,0.1,1,1,1,osservato,False,1000,1.143990522,61103.77862,-737.4235436,2,0
senza_deriva,Optimal,5.624041899,3495,2565,O1,True,lineare,False,0,0.772,0.85,True,True,0,True,1.2,True,True,1,True,True,0.1,1,1,1,osservato,False,1000,1.192085291,62232.22261,-431.5022002,3,0
bande_import_0,Optimal,5.580117999,3495,2565,O1,True,lineare,True,0,0.772,0.85,True,True,0,True,1.2,True,True,1,True,True,0,1,1,1,osservato,False,1000,1.176984861,61746.18749,-297.6934461,3,0
bande_import_25%,Optimal,5.652281438,3495,2565,O1,True,lineare,True,0,0.772,0.85,True,True,0,True,1.2,True,True,1,True,True,0.25,1,1,1,osservato,False,1000,1.201644582,62544.70415,-530.1428371,3,0
lavoro_+2%,Optimal,5.715918919,3495,2565,O1,True,lineare,True,0,0.772,0.85,True,True,0,True,1.2,True,True,1.02,True,True,0.1,1,1,1,osservato,False,1000,1.223382792,63248.87777,-466.5184557,2,0
terminale_+5%,Optimal,5.576378379,3495,2565,O1,True,lineare,True,0,0.772,0.85,True,True,0.05,True,1.2,True,True,1,True,True,0.1,1,1,1,osservato,False,1000,1.176304474,61704.80712,-256.4068365,2,0
beta_0.97,Optimal,5.278370925,3495,2565,O1,True,lineare,True,0,0.772,0.85,True,True,0,True,1.2,True,True,1,True,True,0.1,1,0.97,1,osservato,False,1000,1.190842393,62195.62757,-413.4479624,3,0
senza_capacita,Optimal,5.847482544,3495,2235,O1,False,lineare,True,0,0.772,0.85,True,True,0,True,1.2,True,True,1,True,True,0.1,1,1,1,osservato,False,1000,1.037814016,64704.68071,-2094.259456,3,0
senza_terminale,Optimal,5.739114586,3495,2561,O1,True,lineare,True,0,0.772,0.85,True,False,0,True,1.2,True,True,1,True,True,0.1,1,1,1,osservato,False,1000,1.251591306,63505.54689,-1814.070468,4,351.3853309
senza_terminale_scorte,Optimal,5.632243529,3495,2554,O1,True,lineare,True,0,0.772,0.85,True,True,0,False,1.2,True,True,1,True,True,0.1,1,1,1,osservato,False,1000,1.193870907,62322.97686,-442.9327488,3,0
senza_massimo_scorte,Optimal,5.624711908,3495,2510,O1,True,lineare,True,0,0.772,0.85,True,True,0,True,,True,True,1,True,True,0.1,1,1,1,osservato,False,1000,1.191701551,62239.63652,-560.7332872,3,0
