vincolo,duale,famiglia
"bilancio[111CA,2012]",-2.861353012e-05,bilancio
"bilancio[113FF,2012]",-8.552420438e-05,bilancio
"bilancio[211,2012]",-1.594997409e-05,bilancio
"bilancio[212,2012]",-3.064191825e-05,bilancio
"bilancio[213,2012]",-3.474761673e-05,bilancio
"bilancio[22,2012]",-3.290980534e-05,bilancio
"bilancio[23,2012]",-0.0001094106929,bilancio
"bilancio[321,2012]",-6.296045301e-05,bilancio
"bilancio[327,2012]",-4.851520526e-05,bilancio
"bilancio[331,2012]",-3.374652062e-05,bilancio
"bilancio[332,2012]",-5.155683884e-05,bilancio
"bilancio[333,2012]",-4.145394521e-05,bilancio
"bilancio[334,2012]",-3.487249885e-05,bilancio
"bilancio[335,2012]",-4.105924819e-05,bilancio
"bilancio[3361MV,2012]",-3.514878881e-05,bilancio
"bilancio[3364OT,2012]",-3.613659753e-05,bilancio
"bilancio[337,2012]",-6.62411784e-05,bilancio
"bilancio[339,2012]",-4.490744163e-05,bilancio
"bilancio[311FT,2012]",-4.017213955e-05,bilancio
"bilancio[313TT,2012]",-5.503832107e-05,bilancio
"bilancio[315AL,2012]",-8.410470025e-05,bilancio
"bilancio[322,2012]",-4.29539869e-05,bilancio
"bilancio[323,2012]",-6.437754725e-05,bilancio
"bilancio[324,2012]",-1.581882521e-05,bilancio
"bilancio[325,2012]",-2.498761235e-05,bilancio
"bilancio[326,2012]",-4.435575072e-05,bilancio
"bilancio[42,2012]",-4.026803293e-05,bilancio
"bilancio[441,2012]",-5.471171268e-05,bilancio
"bilancio[445,2012]",-0.0001056758868,bilancio
"bilancio[452,2012]",-0.0001085429232,bilancio
"bilancio[4A0,2012]",-7.626948528e-05,bilancio
"bilancio[481,2012]",-3.948248634e-05,bilancio
"bilancio[482,2012]",-3.929422727e-05,bilancio
"bilancio[483,2012]",-4.380972595e-05,bilancio
"bilancio[484,2012]",-6.028477188e-05,bilancio
"bilancio[485,2012]",-7.378420054e-05,bilancio
"bilancio[486,2012]",-2.69833145e-05,bilancio
"bilancio[487OS,2012]",-6.91027724e-05,bilancio
"bilancio[493,2012]",-7.341093468e-05,bilancio
"bilancio[511,2012]",-3.609029749e-05,bilancio
"bilancio[512,2012]",-3.414598868e-05,bilancio
"bilancio[513,2012]",-3.298261326e-05,bilancio
"bilancio[514,2012]",-3.984063314e-05,bilancio
"bilancio[521CI,2012]",-4.132717813e-05,bilancio
"bilancio[523,2012]",-3.643508846e-05,bilancio
"bilancio[524,2012]",-4.339614121e-05,bilancio
"bilancio[525,2012]",-4.205459272e-05,bilancio
"bilancio[HS,2012]",-0.0002419064142,bilancio
"bilancio[ORE,2012]",-4.410427927e-05,bilancio
"bilancio[532RL,2012]",-3.791307231e-05,bilancio
"bilancio[5411,2012]",-4.230784153e-05,bilancio
"bilancio[5415,2012]",-5.038965662e-05,bilancio
"bilancio[5412OP,2012]",-5.008313848e-05,bilancio
"bilancio[55,2012]",-4.717318944e-05,bilancio
"bilancio[561,2012]",-9.959964492e-05,bilancio
"bilancio[562,2012]",-5.879679601e-05,bilancio
"bilancio[61,2012]",-8.355881764e-05,bilancio
"bilancio[621,2012]",-6.841777699e-05,bilancio
"bilancio[622,2012]",-7.176616712e-05,bilancio
"bilancio[623,2012]",-0.0001284505169,bilancio
"bilancio[624,2012]",-0.000139664342,bilancio
"bilancio[711AS,2012]",-4.039738362e-05,bilancio
"bilancio[713,2012]",-8.448330461e-05,bilancio
"bilancio[721,2012]",-8.048832488e-05,bilancio
"bilancio[722,2012]",-0.0001152794577,bilancio
"bilancio[81,2012]",-8.471925732e-05,bilancio
"bilancio[GFGD,2012]",-3.489821703e-05,bilancio
"bilancio[GFGN,2012]",-5.832293327e-05,bilancio
"bilancio[GFE,2012]",-6.658172035e-05,bilancio
"bilancio[GSLG,2012]",-7.277790649e-05,bilancio
"bilancio[GSLE,2012]",-6.036523944e-05,bilancio
"bilancio[111CA,2013]",-4.932023748e-05,bilancio
"bilancio[113FF,2013]",-0.0001195603949,bilancio
"bilancio[211,2013]",-2.25612105e-05,bilancio
"bilancio[212,2013]",-4.018513427e-05,bilancio
"bilancio[213,2013]",-4.634622599e-05,bilancio
"bilancio[22,2013]",-4.241846438e-05,bilancio
"bilancio[23,2013]",-8.682846508e-05,bilancio
"bilancio[321,2013]",-8.882490204e-05,bilancio
"bilancio[327,2013]",-6.758903081e-05,bilancio
"bilancio[331,2013]",-4.44347706e-05,bilancio
