anno,industria,x,x_oss
2012,111CA,481.3854602,404.166
2012,113FF,53.76738534,46.892
2012,211,415.2701432,362.616
2012,212,142.7053076,124.611
2012,213,140.7379553,126.19
2012,22,482.4891292,461.578
2012,23,1393.104922,1075.477
2012,321,104.4651635,80.398
2012,327,116.6156311,99.294
2012,331,297.4059741,269.218
2012,332,389.9973306,343.079
2012,333,431.1982953,404.552
2012,334,298.3652973,354.253
2012,335,132.5365325,122.794
2012,3361MV,525.3298732,516.699
2012,3364OT,301.6928188,290.815
2012,337,67.65426597,65.729
2012,339,148.388028,156.592
2012,311FT,961.3230668,895.874
2012,313TT,57.94224973,51.802
2012,315AL,20.33144239,19.244
2012,322,192.2521342,179.235
2012,323,82.88965335,83.081
2012,324,975.3424617,833.174
2012,325,1023.043018,794.029
2012,326,239.0878966,216.486
2012,42,1714.414474,1655.028
2012,441,218.1649746,221.875
2012,445,207.9634465,207.679
2012,452,211.1216597,210.838
2012,4A0,776.8729802,763.319
2012,481,191.1553405,195.415
2012,482,88.0260756,79.141
2012,483,51.49236301,50.023
2012,484,320.5206203,297.774
2012,485,51.01989694,50.992
2012,486,43.13682728,36.442
2012,487OS,190.7121854,187.233
2012,493,110.376266,108.888
2012,511,257.376964,296.233
2012,512,111.1215679,131.699
2012,513,701.2810146,733.128
2012,514,201.3376056,221.543
2012,521CI,772.4695315,761.619
2012,523,481.1733353,478.47
2012,524,822.1035131,798.591
2012,525,117.1467034,117.259
2012,HS,1726.663,1726.663
2012,ORE,1070.122004,889.093
2012,532RL,304.6389064,298.617
2012,5411,339.4579357,306.935
2012,5415,236.6800847,354.223
2012,5412OP,992.2051161,1123.861
2012,55,485.0278435,478.846
2012,561,665.9282778,661.562
2012,562,87.11380918,83.564
2012,61,305.1730988,309.61
2012,621,867.4289125,869.254
2012,622,706.7669886,709.379
2012,623,208.5619461,208.979
2012,624,169.3701436,169.679
2012,711AS,143.089281,144.767
2012,713,119.7646262,119.836
2012,721,215.3417797,214.978
2012,722,614.7155506,613.983
2012,81,579.9057939,576.029
2012,GFGD,672.8899896,676.303
2012,GFGN,368.075336,370.378
2012,GFE,100.1576026,98.913
2012,GSLG,1948.565803,1947.062
2012,GSLE,309.7413797,298.57
2013,111CA,343.0390088,420.0646127
2013,113FF,42.10381153,48.1981787
2013,211,282.5853826,391.494883
2013,212,117.1722241,118.9735655
2013,213,79.11372749,125.8668437
2013,22,483.3816904,466.0971225
2013,23,2118.482952,1128.512488
2013,321,105.2097028,83.89403777
2013,327,117.5929655,102.9350132
2013,331,184.440959,278.3293753
2013,332,297.3615451,348.5399126
2013,333,216.2841744,391.446297
2013,334,283.4685513,355.2192175
2013,335,116.2760589,123.7550645
2013,3361MV,331.236288,550.3998909
2013,3364OT,217.0463162,299.0793759
2013,337,59.74042017,66.59806607
2013,339,129.1201171,165.9540944
2013,311FT,831.2274552,913.0265358
2013,313TT,39.70053911,53.18469398
2013,315AL,1.020184902,18.89724949
2013,322,153.8611025,179.9165585
2013,323,70.70582582,82.72247182
2013,324,823.3920887,863.2053806
2013,325,684.0976516,823.2479886
2013,326,183.8612221,219.7654445
2013,42,1511.420527,1721.203425
2013,441,249.2072207,245.1925543
2013,445,214.8496539,207.6042028
2013,452,225.3348862,215.2028244
2013,4A0,883.4675361,799.0861312
2013,481,200.7065395,202.4961396
2013,482,71.58725909,80.11151624
2013,483,50.49718702,50.56052114
2013,484,279.5859076,304.5854531
2013,485,55.81771164,54.63903366
2013,486,31.256528,36.73040608
2013,487OS,182.6616652,190.8201192
2013,493,109.8019836,111.7750646
2013,511,221.8464765,310.9524895
2013,512,96.08374559,136.619994
2013,513,718.0284586,749.7202742
2013,514,203.030736,240.2347354
2013,521CI,794.9443013,777.0406913
2013,523,484.1819715,474.2308528
2013,524,876.70296,827.3564829
2013,525,140.9799158,135.5303097
2013,HS,1823.995197,1743.029863
2013,ORE,1364.685104,960.4627846
2013,532RL,315.761251,315.3567273
2013,5411,346.6084157,297.716879
2013,5415,241.2321968,369.3379096
2013,5412OP,893.5086203,1131.560509
2013,55,451.1931628,488.6777069
2013,561,675.922578,681.2134559
2013,562,90.45401326,85.47727804
2013,61,317.2570305,312.3842837
2013,621,900.1770314,865.5747508
2013,622,744.9233106,718.0263465
2013,623,220.076114,211.6676564
2013,624,178.1885695,171.2084374
2013,711AS,144.5699064,148.7714629
2013,713,127.8982764,122.9797275
2013,721,229.9249311,221.7037595
2013,722,649.8791818,625.6137757
2013,81,592.290965,574.6962508
2013,GFGD,627.6968752,633.1510606
2013,GFGN,357.1572846,360.5372605
2013,GFE,92.02994963,93.45068235
2013,GSLG,1973.207907,1962.204783
2013,GSLE,320.7104777,302.5492615
2014,111CA,456.112237,426.9591743
2014,113FF,50.825507,53.00329593
2014,211,450.1202407,426.7537306
2014,212,112.4019788,122.4624409
2014,213,220.4302147,159.7072121
2014,22,505.4734604,472.1610722
2014,23,727.7345428,1191.792556
2014,321,63.88201691,84.86816984
2014,327,86.05023664,107.0695856
2014,331,217.3851271,278.4018351
2014,332,288.0779743,355.5833421
2014,333,265.7396669,398.1527264
2014,334,307.1068396,354.7213471
2014,335,95.38857044,127.3907201
2014,3361MV,473.6648076,587.2035562
2014,3364OT,262.0322405,311.5349482
2014,337,54.40877506,67.44260484
2014,339,144.1785677,160.4764343
2014,311FT,996.9540303,910.5577956
2014,313TT,48.07425938,53.96859719
2014,315AL,1.718640649,18.15784282
2014,322,173.6809126,178.583728
2014,323,78.23822294,81.53338845
2014,324,942.7616286,834.613092
2014,325,792.5656937,810.5917251
2014,326,205.0504449,224.507892
2014,42,1737.340388,1802.327272
2014,441,302.7337172,271.6411199
2014,445,244.1014613,209.9680384
2014,452,251.8877904,219.1929247
2014,4A0,900.956561,827.1238123
2014,481,221.4391469,210.6764134
2014,482,80.96204215,84.81309337
2014,483,55.65191172,52.98547068
2014,484,314.9045063,326.4871626
2014,485,66.01108123,60.86070485
2014,486,41.45044405,39.1053764
2014,487OS,203.2897921,200.4218243
2014,493,116.9268773,112.3573748
2014,511,294.8957424,327.2902762
2014,512,109.263381,138.2572914
2014,513,819.8841103,792.944715
