vincolo,duale,famiglia
"bilancio[111CA,2012]",-2.258448764e-05,bilancio
"bilancio[113FF,2012]",-6.707065385e-05,bilancio
"bilancio[211,2012]",-3.213813265e-05,bilancio
"bilancio[212,2012]",-4.957997019e-05,bilancio
"bilancio[213,2012]",-3.465862476e-05,bilancio
"bilancio[22,2012]",-2.860380309e-05,bilancio
"bilancio[23,2012]",-0.0001085348887,bilancio
"bilancio[321,2012]",-5.029028431e-05,bilancio
"bilancio[327,2012]",-4.063539063e-05,bilancio
"bilancio[331,2012]",-2.928671694e-05,bilancio
"bilancio[332,2012]",-4.165129644e-05,bilancio
"bilancio[333,2012]",-3.392081124e-05,bilancio
"bilancio[334,2012]",-2.77306982e-05,bilancio
"bilancio[335,2012]",-3.359868327e-05,bilancio
"bilancio[3361MV,2012]",-3.011471051e-05,bilancio
"bilancio[3364OT,2012]",-2.941212798e-05,bilancio
"bilancio[337,2012]",-5.287708863e-05,bilancio
"bilancio[339,2012]",-3.579007932e-05,bilancio
"bilancio[311FT,2012]",-3.217544854e-05,bilancio
"bilancio[313TT,2012]",-4.495197759e-05,bilancio
"bilancio[315AL,2012]",-6.662163556e-05,bilancio
"bilancio[322,2012]",-3.527180587e-05,bilancio
"bilancio[323,2012]",-5.101801514e-05,bilancio
"bilancio[324,2012]",-2.197232207e-05,bilancio
"bilancio[325,2012]",-2.197232207e-05,bilancio
"bilancio[326,2012]",-3.647769131e-05,bilancio
"bilancio[42,2012]",-3.101258053e-05,bilancio
"bilancio[441,2012]",-4.131567617e-05,bilancio
"bilancio[445,2012]",-8.199156528e-05,bilancio
"bilancio[452,2012]",-8.360590906e-05,bilancio
"bilancio[4A0,2012]",-5.895480069e-05,bilancio
"bilancio[481,2012]",-3.279111201e-05,bilancio
"bilancio[482,2012]",-3.250826978e-05,bilancio
"bilancio[483,2012]",-3.605317246e-05,bilancio
"bilancio[484,2012]",-4.869771668e-05,bilancio
"bilancio[485,2012]",-5.894469217e-05,bilancio
"bilancio[486,2012]",-2.201380049e-05,bilancio
"bilancio[487OS,2012]",-5.5176181e-05,bilancio
"bilancio[493,2012]",-5.822129825e-05,bilancio
"bilancio[511,2012]",-2.835435074e-05,bilancio
"bilancio[512,2012]",-2.680688829e-05,bilancio
"bilancio[513,2012]",-2.623163887e-05,bilancio
"bilancio[514,2012]",-3.148462669e-05,bilancio
"bilancio[521CI,2012]",-3.243653993e-05,bilancio
"bilancio[523,2012]",-2.874984683e-05,bilancio
"bilancio[524,2012]",-3.41543303e-05,bilancio
"bilancio[525,2012]",-3.344836973e-05,bilancio
"bilancio[HS,2012]",-0.0003099590941,bilancio
"bilancio[ORE,2012]",-3.634388751e-05,bilancio
"bilancio[532RL,2012]",-2.983347321e-05,bilancio
"bilancio[5411,2012]",-3.307611035e-05,bilancio
"bilancio[5415,2012]",-3.942737375e-05,bilancio
"bilancio[5412OP,2012]",-3.945003623e-05,bilancio
"bilancio[55,2012]",-3.698235208e-05,bilancio
"bilancio[561,2012]",-7.753917851e-05,bilancio
"bilancio[562,2012]",-4.6662983e-05,bilancio
"bilancio[61,2012]",-6.536443063e-05,bilancio
"bilancio[621,2012]",-5.351184825e-05,bilancio
"bilancio[622,2012]",-5.634567878e-05,bilancio
"bilancio[623,2012]",-0.0001000128906,bilancio
"bilancio[624,2012]",-0.0001089063739,bilancio
"bilancio[711AS,2012]",-3.162333806e-05,bilancio
"bilancio[713,2012]",-6.695673833e-05,bilancio
"bilancio[721,2012]",-6.287179179e-05,bilancio
"bilancio[722,2012]",-8.987354093e-05,bilancio
"bilancio[81,2012]",-6.619427111e-05,bilancio
"bilancio[GFGD,2012]",-2.822644301e-05,bilancio
"bilancio[GFGN,2012]",-4.595912836e-05,bilancio
"bilancio[GFE,2012]",-5.295234315e-05,bilancio
"bilancio[GSLG,2012]",-5.754629066e-05,bilancio
"bilancio[GSLE,2012]",-5.248191262e-05,bilancio
"bilancio[111CA,2013]",-4.254041112e-05,bilancio
"bilancio[113FF,2013]",-0.0001059387468,bilancio
"bilancio[211,2013]",-1.988706069e-05,bilancio
"bilancio[212,2013]",-3.551246777e-05,bilancio
"bilancio[213,2013]",-4.099848963e-05,bilancio
"bilancio[22,2013]",-3.754890253e-05,bilancio
"bilancio[23,2013]",-7.721762092e-05,bilancio
"bilancio[321,2013]",-7.839792438e-05,bilancio
"bilancio[327,2013]",-5.961587765e-05,bilancio
"bilancio[331,2013]",-3.898844963e-05,bilancio
"bilancio[332,2013]",-6.341582526e-05,bilancio
"bilancio[333,2013]",-5.121941375e-05,bilancio
"bilancio[334,2013]",-4.207396841e-05,bilancio
"bilancio[335,2013]",-4.847090151e-05,bilancio
"bilancio[3361MV,2013]",-4.132504941e-05,bilancio
