vincolo,duale,famiglia
"bilancio[111CA,2012]",-2.421819386e-05,bilancio
"bilancio[113FF,2012]",-7.191345405e-05,bilancio
"bilancio[211,2012]",-1.365974158e-05,bilancio
"bilancio[212,2012]",-2.62493774e-05,bilancio
"bilancio[213,2012]",-3.325058131e-05,bilancio
"bilancio[22,2012]",-2.837973728e-05,bilancio
"bilancio[23,2012]",-0.0001065349764,bilancio
"bilancio[321,2012]",-5.303374737e-05,bilancio
"bilancio[327,2012]",-4.094472712e-05,bilancio
"bilancio[331,2012]",-2.854044983e-05,bilancio
"bilancio[332,2012]",-4.344877324e-05,bilancio
"bilancio[333,2012]",-3.492238921e-05,bilancio
"bilancio[334,2012]",-2.934383846e-05,bilancio
"bilancio[335,2012]",-3.458982162e-05,bilancio
"bilancio[3361MV,2012]",-2.964299418e-05,bilancio
"bilancio[3364OT,2012]",-3.043210382e-05,bilancio
"bilancio[337,2012]",-5.577707415e-05,bilancio
"bilancio[339,2012]",-3.780444708e-05,bilancio
"bilancio[311FT,2012]",-3.387609603e-05,bilancio
"bilancio[313TT,2012]",-4.637740294e-05,bilancio
"bilancio[315AL,2012]",-7.073434435e-05,bilancio
"bilancio[322,2012]",-3.627026668e-05,bilancio
"bilancio[323,2012]",-5.42091802e-05,bilancio
"bilancio[324,2012]",-1.35893438e-05,bilancio
"bilancio[325,2012]",-2.113682641e-05,bilancio
"bilancio[326,2012]",-3.741210307e-05,bilancio
"bilancio[42,2012]",-3.390812909e-05,bilancio
"bilancio[441,2012]",-4.600568312e-05,bilancio
"bilancio[445,2012]",-8.895658813e-05,bilancio
"bilancio[452,2012]",-9.127633618e-05,bilancio
"bilancio[4A0,2012]",-6.420208561e-05,bilancio
"bilancio[481,2012]",-3.330751511e-05,bilancio
"bilancio[482,2012]",-3.34812447e-05,bilancio
"bilancio[483,2012]",-3.697471312e-05,bilancio
"bilancio[484,2012]",-5.078512799e-05,bilancio
"bilancio[485,2012]",-6.254551602e-05,bilancio
"bilancio[486,2012]",-2.312440478e-05,bilancio
"bilancio[487OS,2012]",-5.838232152e-05,bilancio
"bilancio[493,2012]",-6.206358906e-05,bilancio
"bilancio[511,2012]",-3.03792453e-05,bilancio
"bilancio[512,2012]",-2.874255126e-05,bilancio
"bilancio[513,2012]",-2.782450211e-05,bilancio
"bilancio[514,2012]",-3.355291306e-05,bilancio
"bilancio[521CI,2012]",-3.48436078e-05,bilancio
"bilancio[523,2012]",-3.07365779e-05,bilancio
"bilancio[524,2012]",-3.651841254e-05,bilancio
"bilancio[525,2012]",-3.552996491e-05,bilancio
"bilancio[HS,2012]",-0.0002952300374,bilancio
"bilancio[ORE,2012]",-3.807169748e-05,bilancio
"bilancio[532RL,2012]",-3.194768658e-05,bilancio
"bilancio[5411,2012]",-3.563620831e-05,bilancio
"bilancio[5415,2012]",-4.23941295e-05,bilancio
"bilancio[5412OP,2012]",-4.21669541e-05,bilancio
"bilancio[55,2012]",-3.972270269e-05,bilancio
"bilancio[561,2012]",-8.372442118e-05,bilancio
"bilancio[562,2012]",-4.950609796e-05,bilancio
"bilancio[61,2012]",-7.03746024e-05,bilancio
"bilancio[621,2012]",-5.75656589e-05,bilancio
"bilancio[622,2012]",-6.042083788e-05,bilancio
"bilancio[623,2012]",-0.0001080524947,bilancio
"bilancio[624,2012]",-0.0001174889345,bilancio
"bilancio[711AS,2012]",-3.403694561e-05,bilancio
"bilancio[713,2012]",-7.146648167e-05,bilancio
"bilancio[721,2012]",-6.774609106e-05,bilancio
"bilancio[722,2012]",-9.699694114e-05,bilancio
"bilancio[81,2012]",-7.13416327e-05,bilancio
"bilancio[GFGD,2012]",-2.950697107e-05,bilancio
"bilancio[GFGN,2012]",-4.912624792e-05,bilancio
"bilancio[GFE,2012]",-5.611655796e-05,bilancio
"bilancio[GSLG,2012]",-6.140683552e-05,bilancio
"bilancio[GSLE,2012]",-5.286068124e-05,bilancio
