anno,industria,x,x_oss
2012,111CA,448.6384633,404.166
2012,113FF,43.92739226,46.892
2012,211,261.4163347,362.616
2012,212,93.71026022,124.611
2012,213,13.98661997,126.19
2012,22,495.6187828,461.578
2012,23,509.1412992,1075.477
2012,321,52.8395716,80.398
2012,327,70.27978399,99.294
2012,331,170.9786942,269.218
2012,332,235.4966551,343.079
2012,333,198.1346237,404.552
2012,334,237.8288594,354.253
2012,335,82.2798449,122.794
2012,3361MV,304.8810465,516.699
2012,3364OT,207.4641299,290.815
2012,337,45.39066425,65.729
2012,339,124.6603648,156.592
2012,311FT,995.612136,895.874
2012,313TT,43.88424125,51.802
2012,315AL,0.8506614099,19.244
2012,322,167.9674502,179.235
2012,323,75.70792966,83.081
2012,324,821.1895232,833.174
2012,325,743.8008411,794.029
2012,326,181.8212565,216.486
2012,42,1432.65793,1655.028
2012,441,246.1215731,221.875
2012,445,251.9486008,207.679
2012,452,251.3874128,210.838
2012,4A0,838.8746157,763.319
2012,481,206.9028237,195.415
2012,482,70.23588685,79.141
2012,483,52.55075122,50.023
2012,484,267.4432928,297.774
2012,485,56.28299196,50.992
2012,486,33.90372602,36.442
2012,487OS,184.7058884,187.233
2012,493,110.4834282,108.888
2012,511,220.8823776,296.233
2012,512,101.8108802,131.699
2012,513,739.8928917,733.128
2012,514,191.3198015,221.543
2012,521CI,825.5014366,761.619
2012,523,538.476936,478.47
2012,524,872.5245064,798.591
2012,525,142.4677035,117.259
2012,HS,2104.994411,1726.663
2012,ORE,817.4812928,889.093
2012,532RL,296.0092518,298.617
2012,5411,302.0551666,306.935
2012,5415,209.2032057,354.223
2012,5412OP,851.7497117,1123.861
2012,55,446.781035,478.846
2012,561,639.4432149,661.562
2012,562,87.25029748,83.564
2012,61,356.8136337,309.61
2012,621,1060.889485,869.254
2012,622,862.7730372,709.379
2012,623,255.2092837,208.979
2012,624,207.4799999,169.679
2012,711AS,152.8216963,144.767
2012,713,144.4586994,119.836
2012,721,248.4703798,214.978
2012,722,723.9308367,613.983
2012,81,663.8484847,576.029
2012,GFGD,670.242508,676.303
2012,GFGN,366.2318328,370.378
2012,GFE,102.8169724,98.913
2012,GSLG,1985.046311,1947.062
2012,GSLE,330.1787653,298.57
2013,111CA,411.7187313,420.0646127
2013,113FF,44.69249708,48.1981787
2013,211,896.5914613,391.494883
2013,212,219.6664585,118.9735655
2013,213,1338.946847,125.8668437
2013,22,484.5410118,466.0971225
2013,23,686.681202,1128.512488
2013,321,64.03583794,83.89403777
2013,327,86.17486062,102.9350132
2013,331,215.7748775,278.3293753
2013,332,281.1057247,348.5399126
2013,333,238.2112269,391.446297
2013,334,241.9811322,355.2192175
2013,335,88.46951101,123.7550645
2013,3361MV,355.0895837,550.3998909
2013,3364OT,232.1238172,299.0793759
2013,337,44.94717353,66.59806607
2013,339,128.8144752,165.9540944
2013,311FT,942.3347074,913.0265358
2013,313TT,45.2404539,53.18469398
2013,315AL,1.8108836,18.89724949
2013,322,167.9928278,179.9165585
2013,323,74.60423729,82.72247182
2013,324,898.522452,863.2053806
2013,325,788.1704989,823.2479886
2013,326,195.8508695,219.7654445
2013,42,1497.463396,1721.203425
2013,441,246.6896748,245.1925543
2013,445,224.276374,207.6042028
2013,452,229.0664226,215.2028244
2013,4A0,793.9957748,799.0861312
2013,481,205.4739975,202.4961396
2013,482,76.60575692,80.11151624
2013,483,52.38473722,50.56052114
2013,484,277.6032984,304.5854531
2013,485,56.81620524,54.63903366
2013,486,46.23517372,36.73040608
2013,487OS,184.0128264,190.8201192
2013,493,107.4241317,111.7750646
2013,511,225.5624561,310.9524895
2013,512,100.899617,136.619994
2013,513,723.3514568,749.7202742
2013,514,202.7180143,240.2347354
2013,521CI,812.1077106,777.0406913
2013,523,531.281929,474.2308528
2013,524,929.9672199,827.3564829
2013,525,147.1442019,135.5303097
2013,HS,1884.794042,1743.029863
2013,ORE,913.6091266,960.4627846
2013,532RL,343.0059498,315.3567273
2013,5411,305.8002586,297.716879
2013,5415,216.693104,369.3379096
2013,5412OP,890.5200851,1131.560509
2013,55,510.1497705,488.6777069
2013,561,663.9993581,681.2134559
2013,562,90.90557609,85.47727804
2013,61,325.5453043,312.3842837
2013,621,937.3041285,865.5747508
2013,622,775.4585755,718.0263465
2013,623,229.4172479,211.6676564
2013,624,185.6113795,171.2084374
2013,711AS,146.3208851,148.7714629
2013,713,132.5305389,122.9797275
2013,721,234.8459195,221.7037595
2013,722,668.3166681,625.6137757
2013,81,610.0790459,574.6962508
2013,GFGD,627.582304,633.1510606
2013,GFGN,356.656225,360.5372605
2013,GFE,93.09320943,93.45068235
2013,GSLG,1969.229915,1962.204783
2013,GSLE,314.9382958,302.5492615
2014,111CA,546.2302386,426.9591743
2014,113FF,61.857125,53.00329593
2014,211,450.5947806,426.7537306
2014,212,110.9674431,122.4624409
2014,213,23.39565974,159.7072121
2014,22,505.8446196,472.1610722
2014,23,499.845435,1191.792556
2014,321,75.31047146,84.86816984
2014,327,93.11286571,107.0695856
2014,331,278.3641903,278.4018351
2014,332,338.4217109,355.5833421
2014,333,265.6018352,398.1527264
2014,334,275.5184737,354.7213471
2014,335,111.3789095,127.3907201
2014,3361MV,568.5864013,587.2035562
2014,3364OT,300.663851,311.5349482
2014,337,55.1691451,67.44260484
2014,339,161.1330624,160.4764343
2014,311FT,1110.998242,910.5577956
2014,313TT,62.00565422,53.96859719
2014,315AL,23.85727463,18.15784282
2014,322,196.5220854,178.583728
2014,323,80.60528063,81.53338845
2014,324,925.969109,834.613092
2014,325,908.4657813,810.5917251
2014,326,239.2261565,224.507892
2014,42,1781.071929,1802.327272
2014,441,287.694398,271.6411199
2014,445,242.1234699,209.9680384
2014,452,247.3224629,219.1929247
2014,4A0,860.2978455,827.1238123
