vincolo,duale,famiglia
"bilancio[111CA,2012]",-6.271130069e-05,bilancio
"bilancio[113FF,2012]",-0.0001460077131,bilancio
"bilancio[211,2012]",-2.572439695e-05,bilancio
"bilancio[212,2012]",-4.937737291e-05,bilancio
"bilancio[213,2012]",-5.739913545e-05,bilancio
"bilancio[22,2012]",-5.108728225e-05,bilancio
"bilancio[23,2012]",-0.0001007863093,bilancio
"bilancio[321,2012]",-0.0001085639032,bilancio
"bilancio[327,2012]",-8.430634983e-05,bilancio
"bilancio[331,2012]",-5.826703518e-05,bilancio
"bilancio[332,2012]",-8.885562026e-05,bilancio
"bilancio[333,2012]",-7.121846137e-05,bilancio
"bilancio[334,2012]",-6.115015484e-05,bilancio
"bilancio[335,2012]",-7.061704425e-05,bilancio
"bilancio[3361MV,2012]",-5.802737826e-05,bilancio
"bilancio[3364OT,2012]",-6.248797456e-05,bilancio
"bilancio[337,2012]",-0.000113942883,bilancio
"bilancio[339,2012]",-7.850495603e-05,bilancio
"bilancio[311FT,2012]",-7.400240133e-05,bilancio
"bilancio[313TT,2012]",-9.239101493e-05,bilancio
"bilancio[315AL,2012]",-0.0001079119784,bilancio
"bilancio[322,2012]",-7.314045426e-05,bilancio
"bilancio[323,2012]",-0.0001099736024,bilancio
"bilancio[324,2012]",-1.770307863e-05,bilancio
"bilancio[325,2012]",-4.197686023e-05,bilancio
"bilancio[326,2012]",-7.457585936e-05,bilancio
"bilancio[42,2012]",-7.727653271e-05,bilancio
"bilancio[441,2012]",-0.0001106078638,bilancio
"bilancio[445,2012]",-0.000184508464,bilancio
"bilancio[452,2012]",-0.0001943341904,bilancio
"bilancio[4A0,2012]",-0.0001362680444,bilancio
"bilancio[481,2012]",-6.481870429e-05,bilancio
"bilancio[482,2012]",-6.324181835e-05,bilancio
"bilancio[483,2012]",-7.226567106e-05,bilancio
"bilancio[484,2012]",-0.0001007732125,bilancio
"bilancio[485,2012]",-0.0001217340105,bilancio
"bilancio[486,2012]",-4.355434191e-05,bilancio
"bilancio[487OS,2012]",-0.0001151709247,bilancio
"bilancio[493,2012]",-0.0001222982025,bilancio
"bilancio[511,2012]",-6.113168429e-05,bilancio
"bilancio[512,2012]",-5.763367293e-05,bilancio
"bilancio[513,2012]",-5.506409426e-05,bilancio
"bilancio[514,2012]",-6.702459375e-05,bilancio
"bilancio[521CI,2012]",-6.973598949e-05,bilancio
"bilancio[523,2012]",-6.118187292e-05,bilancio
"bilancio[524,2012]",-7.270850769e-05,bilancio
"bilancio[525,2012]",-7.019965718e-05,bilancio
"bilancio[HS,2012]",-8.78391305e-06,bilancio
"bilancio[ORE,2012]",-6.890807858e-05,bilancio
"bilancio[532RL,2012]",-6.450247318e-05,bilancio
"bilancio[5411,2012]",-7.15505462e-05,bilancio
"bilancio[5415,2012]",-8.556602401e-05,bilancio
"bilancio[5412OP,2012]",-8.471171989e-05,bilancio
"bilancio[55,2012]",-7.968873132e-05,bilancio
"bilancio[561,2012]",-0.0001691232804,bilancio
"bilancio[562,2012]",-9.854407105e-05,bilancio
"bilancio[61,2012]",-0.0001411542068,bilancio
"bilancio[621,2012]",-0.0001157252348,bilancio
"bilancio[622,2012]",-0.0001210213204,bilancio
"bilancio[623,2012]",-0.0002178948328,bilancio
"bilancio[624,2012]",-0.0002366469379,bilancio
"bilancio[711AS,2012]",-6.836309774e-05,bilancio
"bilancio[713,2012]",-0.0001410772268,bilancio
"bilancio[721,2012]",-0.0001364260768,bilancio
"bilancio[722,2012]",-0.000196192827,bilancio
"bilancio[81,2012]",-0.0001454549295,bilancio
"bilancio[GFGD,2012]",-5.712722116e-05,bilancio
"bilancio[GFGN,2012]",-9.784376833e-05,bilancio
"bilancio[GFE,2012]",-0.0001110453837,bilancio
"bilancio[GSLG,2012]",-0.0001217050772,bilancio
"bilancio[GSLE,2012]",-8.819483433e-05,bilancio
"bilancio[111CA,2013]",-5.893241467e-05,bilancio
"bilancio[113FF,2013]",-0.000147747671,bilancio
"bilancio[211,2013]",-2.758561596e-05,bilancio
"bilancio[212,2013]",-4.929208595e-05,bilancio
"bilancio[213,2013]",-5.695002231e-05,bilancio
"bilancio[22,2013]",-5.187584582e-05,bilancio
"bilancio[23,2013]",-0.0001005422643,bilancio
"bilancio[321,2013]",-0.000109272475,bilancio
"bilancio[327,2013]",-8.302025474e-05,bilancio
"bilancio[331,2013]",-5.431020641e-05,bilancio
"bilancio[332,2013]",-8.834818292e-05,bilancio
"bilancio[333,2013]",-7.139881412e-05,bilancio
"bilancio[334,2013]",-5.861672231e-05,bilancio
"bilancio[335,2013]",-6.759428974e-05,bilancio
"bilancio[3361MV,2013]",-5.760024473e-05,bilancio
"bilancio[3364OT,2013]",-6.1120507e-05,bilancio
"bilancio[337,2013]",-0.0001124778252,bilancio
"bilancio[339,2013]",-7.847559261e-05,bilancio
"bilancio[311FT,2013]",-7.147834655e-05,bilancio
"bilancio[313TT,2013]",-8.931032771e-05,bilancio
"bilancio[315AL,2013]",-0.0001394535091,bilancio
"bilancio[322,2013]",-7.24405211e-05,bilancio
"bilancio[323,2013]",-0.0001069050958,bilancio
"bilancio[324,2013]",-1.930342441e-05,bilancio
"bilancio[325,2013]",-4.217622521e-05,bilancio
"bilancio[326,2013]",-7.539833472e-05,bilancio
"bilancio[42,2013]",-7.693006428e-05,bilancio
"bilancio[441,2013]",-0.0001041844378,bilancio
"bilancio[445,2013]",-0.0001860680959,bilancio
"bilancio[452,2013]",-0.0001892422687,bilancio
"bilancio[4A0,2013]",-0.0001331014281,bilancio
"bilancio[481,2013]",-6.175498013e-05,bilancio
"bilancio[482,2013]",-6.284960303e-05,bilancio
"bilancio[483,2013]",-6.426771203e-05,bilancio
"bilancio[484,2013]",-9.904792596e-05,bilancio
"bilancio[485,2013]",-0.0001194312488,bilancio
"bilancio[486,2013]",-4.326710188e-05,bilancio
"bilancio[487OS,2013]",-0.0001147219711,bilancio
"bilancio[493,2013]",-0.000121758146,bilancio
"bilancio[511,2013]",-5.899131252e-05,bilancio
"bilancio[512,2013]",-5.74282867e-05,bilancio
"bilancio[513,2013]",-5.101094428e-05,bilancio
"bilancio[514,2013]",-6.132386254e-05,bilancio
"bilancio[521CI,2013]",-7.427498626e-05,bilancio
"bilancio[523,2013]",-6.421103406e-05,bilancio
"bilancio[524,2013]",-7.703565927e-05,bilancio
"bilancio[525,2013]",-6.99750998e-05,bilancio
"bilancio[HS,2013]",-9.461748697e-06,bilancio
"bilancio[ORE,2013]",-6.740430261e-05,bilancio
"bilancio[532RL,2013]",-6.493804811e-05,bilancio
"bilancio[5411,2013]",-7.311458977e-05,bilancio
"bilancio[5415,2013]",-8.656915968e-05,bilancio
"bilancio[5412OP,2013]",-8.476106237e-05,bilancio
"bilancio[55,2013]",-7.972337145e-05,bilancio
"bilancio[561,2013]",-0.0001695078697,bilancio
"bilancio[562,2013]",-9.953755728e-05,bilancio
"bilancio[61,2013]",-0.000142453517,bilancio
"bilancio[621,2013]",-0.0001154239114,bilancio
"bilancio[622,2013]",-0.0001198224011,bilancio
"bilancio[623,2013]",-0.0002153159994,bilancio
"bilancio[624,2013]",-0.0002482270031,bilancio
"bilancio[711AS,2013]",-6.974561019e-05,bilancio
"bilancio[713,2013]",-0.0001400697294,bilancio
"bilancio[721,2013]",-0.0001352320896,bilancio
"bilancio[722,2013]",-0.0001964995241,bilancio
"bilancio[81,2013]",-0.0001440629357,bilancio
"bilancio[GFGD,2013]",-5.595825583e-05,bilancio
"bilancio[GFGN,2013]",-9.828062574e-05,bilancio
"bilancio[GFE,2013]",-0.0001129118589,bilancio
"bilancio[GSLG,2013]",-0.0001203821299,bilancio
"bilancio[GSLE,2013]",-8.606242086e-05,bilancio
"bilancio[111CA,2014]",-6.103124061e-05,bilancio
"bilancio[113FF,2014]",-0.0001428327216,bilancio
"bilancio[211,2014]",-2.585979171e-05,bilancio
"bilancio[212,2014]",-5.0468468e-05,bilancio
"bilancio[213,2014]",-5.631889833e-05,bilancio
"bilancio[22,2014]",-5.361059225e-05,bilancio
"bilancio[23,2014]",-0.0001004050547,bilancio
"bilancio[321,2014]",-0.0001154004482,bilancio
"bilancio[327,2014]",-8.368746656e-05,bilancio
"bilancio[331,2014]",-5.296304972e-05,bilancio
"bilancio[332,2014]",-8.783978623e-05,bilancio
"bilancio[333,2014]",-7.14592732e-05,bilancio
"bilancio[334,2014]",-5.573964008e-05,bilancio
"bilancio[335,2014]",-6.843996757e-05,bilancio
"bilancio[3361MV,2014]",-5.649587241e-05,bilancio
"bilancio[3364OT,2014]",-5.94600222e-05,bilancio
"bilancio[337,2014]",-0.0001122418645,bilancio
"bilancio[339,2014]",-7.854513324e-05,bilancio
"bilancio[311FT,2014]",-7.303954119e-05,bilancio
"bilancio[313TT,2014]",-8.821859762e-05,bilancio
"bilancio[315AL,2014]",-0.0001397546402,bilancio
"bilancio[322,2014]",-7.140347535e-05,bilancio
"bilancio[323,2014]",-0.0001056665372,bilancio
"bilancio[324,2014]",-1.722796632e-05,bilancio
"bilancio[325,2014]",-4.283320592e-05,bilancio
"bilancio[326,2014]",-7.673940284e-05,bilancio
"bilancio[42,2014]",-7.538350111e-05,bilancio
"bilancio[441,2014]",-0.0001002750424,bilancio
"bilancio[445,2014]",-0.0001880992772,bilancio
"bilancio[452,2014]",-0.0001877615138,bilancio
"bilancio[4A0,2014]",-0.0001312490442,bilancio
"bilancio[481,2014]",-5.858961724e-05,bilancio
"bilancio[482,2014]",-6.169501357e-05,bilancio
"bilancio[483,2014]",-6.725005542e-05,bilancio
"bilancio[484,2014]",-9.792944138e-05,bilancio
"bilancio[485,2014]",-0.0001165972011,bilancio
"bilancio[486,2014]",-4.053830046e-05,bilancio
"bilancio[487OS,2014]",-0.0001160510135,bilancio
"bilancio[493,2014]",-0.0001239984322,bilancio
"bilancio[511,2014]",-5.748421736e-05,bilancio
"bilancio[512,2014]",-5.720572929e-05,bilancio
"bilancio[513,2014]",-5.264329218e-05,bilancio
"bilancio[514,2014]",-6.115026224e-05,bilancio
"bilancio[521CI,2014]",-7.192635362e-05,bilancio
"bilancio[523,2014]",-7.135498796e-05,bilancio
"bilancio[524,2014]",-6.649407254e-05,bilancio
"bilancio[525,2014]",-7.077534706e-05,bilancio
"bilancio[HS,2014]",-9.335784081e-06,bilancio
"bilancio[ORE,2014]",-6.782591804e-05,bilancio
"bilancio[532RL,2014]",-6.470381288e-05,bilancio
"bilancio[5411,2014]",-7.244573227e-05,bilancio
"bilancio[5415,2014]",-8.531446514e-05,bilancio
"bilancio[5412OP,2014]",-8.342398842e-05,bilancio
"bilancio[55,2014]",-7.715225211e-05,bilancio
"bilancio[561,2014]",-0.0001660264385,bilancio
